date_obj,Monocle price
2015-03-26,173087
2015-03-27,173087
2015-03-28,173087
2015-03-29,165014
2015-03-30,165014
2015-03-31,165014
2015-04-01,165014
2015-04-02,165014
2015-04-03,165014
2015-04-04,157283
2015-04-05,157283
2015-04-06,157283
2015-04-07,157283
2015-04-08,157283
2015-04-09,157283
2015-04-10,150204
2015-04-11,150204
2015-04-12,150204
2015-04-13,150204
2015-04-14,150204
2015-04-15,150204
2015-04-16,143352
2015-04-17,143352
2015-04-18,143352
2015-04-19,143352
2015-04-20,143352
2015-04-21,143352
2015-04-22,136703
2015-04-23,136703
2015-04-24,136703
2015-04-25,136703
2015-04-26,136703
2015-04-27,136703
2015-04-28,130146
2015-04-29,130146
2015-04-30,130146
2015-05-01,130146
2015-05-02,124416
2015-05-03,124416
2015-05-04,124416
2015-05-05,118861
2015-05-06,118861
2015-05-07,118861
2015-05-08,113472
2015-05-09,113472
2015-05-10,113472
2015-05-11,108200
2015-05-12,108200
2015-05-13,108200
2015-05-14,103055
2015-05-15,103055
2015-05-16,103055
2015-05-17,103055
2015-05-18,98549
2015-05-19,98549
2015-05-20,98549
2015-05-21,98549
2015-05-22,93846
2015-05-23,93846
2015-05-24,93846
2015-05-25,93846
2015-05-26,89480
2015-05-27,89480
2015-05-28,89480
2015-05-29,89480
2015-05-30,85094
2015-05-31,85094
2015-06-01,85094
2015-06-02,85094
2015-06-03,85094
2015-06-04,85094
2015-06-05,81831
2015-06-06,81831
2015-06-07,81831
2015-06-08,81831
2015-06-09,81831
2015-06-10,81831
2015-06-11,81831
2015-06-12,81831
2015-06-13,78459
2015-06-14,78459
2015-06-15,78459
2015-06-16,78459
2015-06-17,78459
2015-06-18,78459
2015-06-19,78459
2015-06-20,75096
2015-06-21,75096
2015-06-22,75096
2015-06-23,75096
2015-06-24,75096
2015-06-25,75096
2015-06-26,75096
2015-06-27,75096
2015-06-28,71554
2015-06-29,71554
2015-06-30,71554
2015-07-01,71554
2015-07-02,71554
2015-07-03,71554
2015-07-04,71554
2015-07-05,71554
2015-07-06,68169
2015-07-07,68169
2015-07-08,68169
2015-07-09,68169
2015-07-10,68169
2015-07-11,68169
2015-07-12,68169
2015-07-13,64993
2015-07-14,64993
2015-07-15,64993
2015-07-16,64993
2015-07-17,64993
2015-07-18,64993
2015-07-19,62067
2015-07-20,62067
2015-07-21,62067
2015-07-22,62067
2015-07-23,62067
2015-07-24,62067
2015-07-25,62067
2015-07-26,62067
2015-07-27,62067
2015-07-28,62067
2015-07-29,59136
2015-07-30,59136
2015-07-31,59136
2015-08-01,59136
2015-08-02,59136
2015-08-03,59136
2015-08-04,59136
2015-08-05,57482
2015-08-06,57482
2015-08-07,57482
2015-08-08,57482
2015-08-09,57482
2015-08-10,57482
2015-08-11,57482
2015-08-12,54802
2015-08-13,54802
2015-08-14,54802
2015-08-15,54802
2015-08-16,54802
2015-08-17,54802
2015-08-18,54802
2015-08-19,54802
2015-08-20,52131
2015-08-21,52131
2015-08-22,52131
2015-08-23,52131
2015-08-24,52131
2015-08-25,52131
2015-08-26,52131
2015-08-27,49779
2015-08-28,49779
2015-08-29,49779
2015-08-30,49779
2015-08-31,49779
2015-09-01,49779
2015-09-02,49779
2015-09-03,47582
2015-09-04,47582
2015-09-05,47582
2015-09-06,47582
2015-09-07,47582
2015-09-08,47582
2015-09-09,47582
2015-09-10,47582
2015-09-11,45717
2015-09-12,45717
2015-09-13,45717
2015-09-14,45717
2015-09-15,45717
2015-09-16,45717
2015-09-17,44347
2015-09-18,44347
2015-09-19,44347
2015-09-20,44347
2015-09-21,44347
2015-09-22,44347
2015-09-23,44347
2015-09-24,44347
2015-09-25,43855
2015-09-27,43855
2015-09-28,43855
2015-09-29,43855
2015-09-30,43855
2015-10-05,44646
2015-10-06,44646
2015-10-07,44646
2015-10-08,44646
2015-10-09,44646
2015-10-10,44646
2015-10-11,44646
2015-10-12,42994
2015-10-13,42994
2015-10-14,42994
2015-10-15,42994
2015-10-16,42994
2015-10-17,42994
2015-10-18,42994
2015-10-19,42994
2015-10-20,41829
2015-10-22,41829
2015-10-23,41829
2015-10-24,41829
2015-10-25,41829
2015-10-26,41829
2015-10-27,41829
2015-10-29,41658
2015-10-30,41658
2015-10-31,41658
2015-11-01,41658
2015-11-02,41658
2015-11-03,41658
2015-11-04,41658
2015-11-05,41658
2015-11-06,41658
2015-11-07,41658
2015-11-08,41658
2015-11-09,41570
2015-11-10,41570
2015-11-11,41570
2015-11-12,41570
2015-11-13,41570
2015-11-14,41570
2015-11-15,41570
2015-11-16,41570
2015-11-17,41570
2015-11-18,41570
2015-11-19,41570
2015-11-20,41106
2015-11-21,41106
2015-11-22,41106
2015-11-23,41106
2015-11-24,41106
2015-11-25,41106
2015-11-26,41106
2015-11-27,41106
2015-11-28,41106
2015-11-29,41106
2015-11-30,41106
2015-12-01,40954
2015-12-02,40954
2015-12-03,40954
2015-12-04,40954
2015-12-05,40954
2015-12-06,40954
2015-12-07,40954
2015-12-08,40954
2015-12-09,40954
2015-12-10,40954
2015-12-11,42799
2015-12-12,42799
2015-12-13,42799
2015-12-14,42799
2015-12-15,42799
2015-12-16,42799
2015-12-17,42799
2015-12-18,42799
2015-12-19,42799
2015-12-20,44273
2015-12-21,44273
2015-12-22,44273
2015-12-23,44273
2015-12-24,44273
2015-12-25,44273
2015-12-26,44273
2015-12-27,44273
2015-12-28,44273
2015-12-29,44273
2015-12-30,44273
2015-12-31,44944
2016-01-01,44944
2016-01-02,44944
2016-01-03,44944
2016-01-04,44944
2016-01-05,44944
2016-01-06,44944
2016-01-07,44944
2016-01-08,44290
2016-01-09,44290
2016-01-10,44290
2016-01-11,44290
2016-01-12,44290
2016-01-13,44290
2016-01-14,44290
2016-01-15,44290
2016-01-16,44290
2016-01-17,44290
2016-01-18,44737
2016-01-19,44737
2016-01-20,44737
2016-01-21,44737
2016-01-22,44737
2016-01-23,44737
2016-01-24,44737
2016-01-25,42654
2016-01-26,42654
2016-01-27,42654
2016-01-28,42654
2016-01-29,42654
2016-01-30,42654
2016-01-31,41434
2016-02-01,41434
2016-02-02,41434
2016-02-03,41434
2016-02-04,41434
2016-02-05,41434
2016-02-06,39802
2016-02-07,39802
2016-02-08,39802
2016-02-09,39802
2016-02-10,39802
2016-02-11,39802
2016-02-12,39802
2016-02-13,38949
2016-02-14,38949
2016-02-15,38949
2016-02-16,38949
2016-02-17,38949
2016-02-18,38949
2016-02-19,38949
2016-02-20,40533
2016-02-21,40533
2016-02-22,40533
2016-02-23,40533
2016-02-24,40533
2016-02-25,42202
2016-02-26,42202
2016-02-27,42202
2016-02-28,42202
2016-02-29,42202
2016-03-01,42202
2016-03-02,42202
2016-03-03,42202
2016-03-04,43846
2016-03-05,43846
2016-03-06,43846
2016-03-07,43846
2016-03-08,43846
2016-03-09,43846
2016-03-10,43846
2016-03-11,43846
2016-03-12,44710
2016-03-13,44710
2016-03-14,44710
2016-03-15,44710
2016-03-16,44710
2016-03-17,44710
2016-03-18,43374
2016-03-19,43374
2016-03-20,43374
2016-03-21,43374
2016-03-22,43374
2016-03-23,43374
2016-03-24,43374
2016-03-25,43374
2016-03-26,43374
2016-03-27,43374
2016-03-28,42743
2016-03-29,42743
2016-03-30,42743
2016-03-31,42743
2016-04-01,42743
2016-04-02,42743
2016-04-03,42743
2016-04-04,42743
2016-04-05,40671
2016-04-06,40671
2016-04-07,40671
2016-04-08,40671
