date_obj,Guthix%20stole price
2015-03-05,58299
2015-03-06,55384
2015-03-07,52614
2015-03-08,49983
2015-03-09,47562
2015-03-10,45416
2015-03-11,43279
2015-03-12,41248
2015-03-13,39327
2015-03-14,37360
2015-03-15,35599
2015-03-16,33957
2015-03-17,32259
2015-03-18,30780
2015-03-19,29370
2015-03-20,27901
2015-03-21,26521
2015-03-22,25194
2015-03-23,24027
2015-03-24,22825
2015-03-25,21683
2015-03-26,20598
2015-03-27,19661
2015-03-28,18677
2015-03-29,17743
2015-03-30,16855
2015-03-31,16012
2015-04-01,15236
2015-04-02,14474
2015-04-03,13750
2015-04-04,13062
2015-04-05,12437
2015-04-06,11815
2015-04-07,11224
2015-04-08,10713
2015-04-09,10213
2015-04-10,9702
2015-04-11,9216
2015-04-12,8759
2015-04-13,8321
2015-04-14,8099
2015-04-15,7704
2015-04-16,7320
2015-04-17,6954
2015-04-18,6606
2015-04-19,6275
2015-04-20,5981
2015-04-21,5681
2015-04-22,5512
2015-04-23,5413
2015-04-24,5148
2015-04-25,5153
2015-04-26,5161
2015-04-27,5057
2015-04-28,4863
2015-04-29,4863
2015-04-30,4758
2015-05-01,4586
2015-05-02,4563
2015-05-03,4482
2015-05-04,4288
2015-05-05,4120
2015-05-06,4084
2015-05-07,3935
2015-05-08,3945
2015-05-09,4049
2015-05-10,4121
2015-05-11,4121
2015-05-12,4222
2015-05-13,4071
2015-05-14,4018
2015-05-15,3938
2015-05-16,3977
2015-05-17,4051
2015-05-18,4017
2015-05-19,4093
2015-05-20,4093
2015-05-21,4078
2015-05-22,4028
2015-05-23,3970
2015-05-24,3885
2015-05-25,3879
2015-05-26,3864
2015-05-27,3712
2015-05-28,3678
2015-05-29,3683
2015-05-30,3594
2015-05-31,3566
2015-06-01,3502
2015-06-02,3502
2015-06-03,3476
2015-06-04,3430
2015-06-05,3374
2015-06-06,3348
2015-06-07,3318
2015-06-08,3318
2015-06-09,3287
2015-06-10,3236
2015-06-11,3236
2015-06-12,3173
2015-06-13,3107
2015-06-14,3106
2015-06-15,3106
2015-06-16,3098
2015-06-17,3098
2015-06-18,3078
2015-06-19,3079
2015-06-20,3073
2015-06-21,3073
2015-06-22,3073
2015-06-23,3037
2015-06-24,2984
2015-06-25,2984
2015-06-26,2930
2015-06-27,2930
2015-06-28,2918
