date_obj,Tzhaar-ket-em price
2015-03-26,122000
2015-03-27,122000
2015-03-28,122000
2015-03-29,122000
2015-03-30,122000
2015-03-31,122000
2015-04-01,122000
2015-04-02,122000
2015-04-03,122000
2015-04-04,122000
2015-04-05,122000
2015-04-06,122000
2015-04-07,122000
2015-04-08,122000
2015-04-09,122000
2015-04-10,124812
2015-04-11,124812
2015-04-12,124812
2015-04-13,124812
2015-04-14,124812
2015-04-15,124812
2015-04-16,124812
2015-04-17,124812
2015-04-18,124812
2015-04-19,124812
2015-04-20,124812
2015-04-21,124812
2015-04-22,124812
2015-04-23,124812
2015-04-24,124812
2015-04-25,124812
2015-04-26,124812
2015-04-27,124812
2015-04-28,124812
2015-04-29,124812
2015-04-30,124812
2015-05-01,124812
2015-05-02,124812
2015-05-03,124812
2015-05-04,124812
2015-05-05,124812
2015-05-06,124812
2015-05-07,124812
2015-05-08,124812
2015-05-09,124812
2015-05-10,124812
2015-05-11,124812
2015-05-12,124812
2015-05-13,124812
2015-05-14,124812
2015-05-15,124812
2015-05-16,124812
2015-05-17,124812
2015-05-18,124812
2015-05-19,124812
2015-05-20,124812
2015-05-21,124812
2015-05-22,124812
2015-05-23,124812
2015-05-24,124812
2015-05-25,124812
2015-05-26,124812
2015-05-27,128675
2015-05-28,128675
2015-05-29,128675
2015-05-30,128675
2015-05-31,128675
2015-06-01,128675
2015-06-02,128675
2015-06-03,128675
2015-06-04,128675
2015-06-05,128675
2015-06-06,128675
2015-06-07,128675
2015-06-08,128675
2015-06-09,128675
2015-06-10,128675
2015-06-11,128675
2015-06-12,128675
2015-06-13,128675
2015-06-14,128675
2015-06-15,128675
2015-06-16,128675
2015-06-17,128675
2015-06-18,128675
2015-06-19,128675
2015-06-20,128675
2015-06-21,128675
2015-06-22,128675
2015-06-23,128675
2015-06-24,128675
2015-06-25,128675
2015-06-26,131004
2015-06-27,131004
2015-06-28,131004
2015-06-29,131004
2015-06-30,131004
2015-07-01,131004
2015-07-02,131004
2015-07-03,131004
2015-07-04,131004
2015-07-05,131004
2015-07-06,131004
2015-07-07,131004
2015-07-08,131004
2015-07-09,131004
2015-07-10,131004
2015-07-11,131004
2015-07-12,131004
2015-07-13,131004
2015-07-14,131004
2015-07-15,131004
2015-07-16,131004
2015-07-17,131004
2015-07-18,131004
2015-07-19,131004
2015-07-20,131004
2015-07-21,131004
2015-07-22,131004
2015-07-23,131004
2015-07-24,131004
2015-07-25,131004
2015-07-26,131004
2015-07-27,131004
2015-07-28,134442
2015-07-29,134442
2015-07-30,134442
2015-07-31,134442
2015-08-01,134442
2015-08-02,134442
2015-08-03,134442
2015-08-04,134442
2015-08-05,134442
2015-08-06,134442
2015-08-07,134442
2015-08-08,134442
2015-08-09,134442
2015-08-10,134442
2015-08-11,134442
2015-08-12,134442
2015-08-13,134442
2015-08-14,134442
2015-08-15,134442
2015-08-16,134442
2015-08-17,134442
2015-08-18,134442
2015-08-19,134442
2015-08-20,134442
2015-08-21,134442
2015-08-22,134442
2015-08-23,134442
2015-08-24,134442
2015-08-25,134442
2015-08-26,134442
2015-08-27,136508
2015-08-28,136508
2015-08-29,136508
2015-08-30,136508
2015-08-31,136508
2015-09-01,136508
2015-09-02,136508
2015-09-03,136508
2015-09-04,136508
2015-09-05,136508
2015-09-06,136508
2015-09-07,136508
2015-09-08,136508
2015-09-09,136508
2015-09-10,136508
2015-09-11,136508
2015-09-12,136508
2015-09-13,136508
2015-09-14,136508
2015-09-15,136508
2015-09-16,136508
2015-09-17,136508
2015-09-18,136508
2015-09-19,136508
2015-09-20,136508
2015-09-21,136508
2015-09-22,136508
2015-09-23,136508
2015-09-24,136508
2015-09-25,136508
2015-09-27,138361
2015-09-28,138361
2015-09-29,138361
2015-09-30,138361
2015-10-05,138361
2015-10-06,138361
2015-10-07,138361
2015-10-08,138361
2015-10-09,138361
2015-10-10,138361
2015-10-11,138361
2015-10-12,138361
2015-10-13,138361
2015-10-14,138361
2015-10-15,138361
2015-10-16,138361
2015-10-17,138361
2015-10-18,138361
2015-10-19,138361
2015-10-20,139736
2015-10-22,139736
2015-10-23,139736
2015-10-24,139736
2015-10-25,139736
2015-10-26,139736
2015-10-27,139736
2015-10-29,139736
2015-10-30,139736
2015-10-31,139736
2015-11-01,139736
2015-11-02,139736
2015-11-03,139736
2015-11-04,139736
2015-11-05,139736
2015-11-06,139736
2015-11-07,139736
2015-11-08,139736
2015-11-09,139736
2015-11-10,139736
2015-11-11,139736
2015-11-12,139736
2015-11-13,139736
2015-11-14,139736
2015-11-15,139736
2015-11-16,139736
2015-11-17,139736
2015-11-18,139736
2015-11-19,139736
2015-11-20,143778
2015-11-21,143778
2015-11-22,143778
2015-11-23,143778
2015-11-24,143778
2015-11-25,143778
2015-11-26,143778
2015-11-27,143778
2015-11-28,143778
2015-11-29,143778
2015-11-30,143778
2015-12-01,143778
2015-12-02,143778
2015-12-03,143778
2015-12-04,143778
2015-12-05,143778
2015-12-06,143778
2015-12-07,143778
2015-12-08,143778
2015-12-09,143778
2015-12-10,143778
2015-12-11,143778
2015-12-13,143778
2015-12-14,143778
2015-12-15,143778
2015-12-16,143778
2015-12-17,143778
2015-12-18,143778
2015-12-19,149842
2015-12-20,149842
2015-12-21,149842
2015-12-22,149842
2015-12-23,149842
2015-12-24,149842
2015-12-25,149842
2015-12-26,149842
2015-12-27,149842
2015-12-28,149842
2015-12-29,149842
2015-12-30,149842
2015-12-31,149842
2016-01-01,149842
2016-01-02,149842
2016-01-03,149842
2016-01-04,149842
2016-01-05,149842
2016-01-07,149842
2016-01-08,149842
2016-01-09,149842
2016-01-10,149842
2016-01-11,149842
2016-01-12,149842
2016-01-13,149842
2016-01-14,155767
2016-01-15,155767
2016-01-16,155767
2016-01-17,155767
2016-01-18,155767
2016-01-19,155767
2016-01-20,155767
2016-01-21,155767
2016-01-22,155767
2016-01-23,155767
2016-01-24,155767
2016-01-25,155767
2016-01-26,155767
2016-01-27,155767
2016-01-28,155767
2016-01-29,155767
2016-01-30,155767
2016-01-31,155767
2016-02-01,155767
2016-02-02,155767
2016-02-03,155767
2016-02-04,155767
2016-02-05,155767
2016-02-06,162677
2016-02-07,162677
2016-02-08,162677
2016-02-09,162677
2016-02-10,162677
2016-02-11,162677
2016-02-12,162677
2016-02-13,162677
2016-02-14,162677
2016-02-15,162677
2016-02-16,162677
2016-02-17,162677
2016-02-18,162677
2016-02-19,162677
2016-02-20,162677
2016-02-21,162677
2016-02-22,162677
2016-02-23,162677
2016-02-24,162677
2016-02-25,162677
2016-02-26,162677
2016-02-27,162677
2016-02-28,162677
2016-02-29,162677
2016-03-01,162677
2016-03-02,162677
2016-03-03,162677
2016-03-04,162677
2016-03-05,167864
2016-03-06,167864
2016-03-07,167864
2016-03-08,167864
2016-03-09,167864
2016-03-10,167864
2016-03-11,167864
2016-03-12,167864
