date_obj,Red%20d'hide%20chaps%20(g) price
2015-03-26,31456
2015-03-27,31456
2015-03-28,31081
2015-03-29,30845
2015-03-30,30289
2015-03-31,29962
2015-04-01,29836
2015-04-02,29384
2015-04-03,29248
2015-04-04,29791
2015-04-05,30264
2015-04-06,30616
2015-04-07,30344
2015-04-08,30434
2015-04-09,30290
2015-04-10,30066
2015-04-11,30046
2015-04-12,30013
2015-04-13,30490
2015-04-14,30497
2015-04-15,30475
2015-04-16,30634
2015-04-17,30661
2015-04-18,30612
2015-04-19,31244
2015-04-20,31015
2015-04-21,30990
2015-04-22,31729
2015-04-23,32304
2015-04-24,32935
2015-04-25,33244
2015-04-26,33464
2015-04-27,33259
2015-04-28,32994
2015-04-29,32958
2015-04-30,32560
2015-05-01,31929
2015-05-02,31582
2015-05-03,31277
2015-05-04,31089
2015-05-05,30851
2015-05-06,30312
2015-05-07,29885
2015-05-08,29327
2015-05-09,28863
2015-05-10,28485
2015-05-11,27998
2015-05-12,28076
2015-05-13,27490
2015-05-14,27593
2015-05-15,27339
2015-05-16,27045
2015-05-17,26671
2015-05-18,26720
2015-05-19,27171
2015-05-20,27422
2015-05-21,27073
2015-05-22,27061
2015-05-23,26977
2015-05-24,26972
2015-05-25,26944
2015-05-26,27156
2015-05-27,27269
2015-05-28,27226
2015-05-29,26863
2015-05-30,26714
2015-05-31,26916
2015-06-01,26779
2015-06-02,26795
2015-06-03,26953
2015-06-04,26990
2015-06-05,27062
2015-06-06,27048
2015-06-07,27128
2015-06-08,26922
2015-06-09,26872
2015-06-10,26611
2015-06-11,26611
2015-06-12,26826
2015-06-13,26417
2015-06-14,26012
2015-06-15,25825
2015-06-16,25870
2015-06-17,25818
2015-06-18,25864
2015-06-19,25628
2015-06-20,25588
2015-06-21,25245
2015-06-22,25387
2015-06-23,25276
2015-06-24,25651
2015-06-25,25317
2015-06-26,25522
2015-06-27,25496
2015-06-28,25867
2015-06-29,26086
2015-06-30,26602
2015-07-01,27370
2015-07-02,27501
2015-07-03,27824
2015-07-04,27992
2015-07-05,27652
2015-07-06,27477
2015-07-07,27338
2015-07-08,27484
2015-07-09,27439
2015-07-10,27425
2015-07-11,27476
2015-07-12,26928
2015-07-13,27303
2015-07-14,27123
2015-07-15,27040
2015-07-16,27026
2015-07-17,27840
2015-07-18,28215
2015-07-19,28902
2015-07-20,29129
2015-07-21,29132
2015-07-22,29613
2015-07-23,29781
2015-07-24,30394
2015-07-25,30496
2015-07-26,30768
2015-07-27,31303
2015-07-28,31795
2015-07-29,32048
2015-07-30,32211
2015-07-31,32001
2015-08-01,32224
2015-08-02,32369
2015-08-03,32724
2015-08-04,32763
2015-08-05,32453
2015-08-06,32634
2015-08-07,32868
2015-08-08,33134
2015-08-09,33229
2015-08-10,33114
2015-08-11,32738
2015-08-12,32363
2015-08-13,32507
2015-08-14,32562
2015-08-15,31417
2015-08-16,31209
2015-08-17,32190
2015-08-18,33291
2015-08-19,33384
2015-08-20,32431
2015-08-21,32141
2015-08-22,31974
2015-08-23,32443
2015-08-24,31954
2015-08-25,31727
2015-08-26,31751
2015-08-27,31191
2015-08-28,30351
2015-08-29,30026
2015-08-30,29943
2015-08-31,29802
2015-09-01,29557
2015-09-02,29249
2015-09-03,29670
2015-09-04,29702
2015-09-05,30232
2015-09-06,30302
2015-09-07,29982
2015-09-08,30085
2015-09-09,29992
2015-09-10,30054
2015-09-11,30852
2015-09-12,30782
