date_obj,Hydra's%20claw price
2019-01-10,1000000
2019-01-10,1050000
2019-01-11,1102500
2019-01-12,1157625
2019-01-13,1215507
2019-01-14,1276283
2019-01-15,1340098
2019-01-16,1407047
2019-01-17,1477400
2019-01-18,1549307
2019-01-19,1624801
2019-01-20,1703995
2019-01-21,1785858
2019-01-22,1873096
2019-01-23,1963609
2019-01-24,2050694
2019-01-25,2148890
2019-01-26,2251501
2019-01-27,2360124
2019-01-28,2474217
2019-01-29,2591459
2019-01-30,2716085
2019-01-31,2845821
2019-02-01,2982294
2019-02-02,3111102
2019-02-03,3258746
2019-02-04,3417709
2019-02-05,3585263
2019-02-06,3757305
2019-02-07,3940249
2019-02-08,4113549
2019-02-09,4297821
2019-02-10,4504220
2019-02-11,4719053
2019-02-12,4946134
2019-02-13,5166205
2019-02-14,5166205
2019-02-15,5410115
2019-02-16,5664213
2019-02-17,5927200
2019-02-18,6195725
2019-02-19,6477533
2019-02-20,6779625
2019-02-21,7089041
2019-02-22,7418916
2019-02-23,7770675
2019-02-24,8135381
2019-02-25,8496642
2019-02-26,8496642
2019-02-27,8887458
2019-02-28,8887458
2019-03-01,9291698
2019-03-02,9714780
2019-03-03,10156512
2019-03-04,10638878
2019-03-05,11119589
2019-03-06,11639613
2019-03-07,12187166
2019-03-08,12187166
2019-03-09,12758575
2019-03-10,13348740
2019-03-11,13992835
2019-03-12,14636971
2019-03-13,14636971
2019-03-14,15294761
2019-03-15,15294761
2019-03-16,16012147
2019-03-17,16775158
2019-03-18,16775158
2019-03-19,17539026
2019-03-20,18344382
2019-03-21,18344382
2019-03-22,19184399
2019-03-23,20061201
2019-03-24,20061201
2019-03-25,20970117
2019-03-26,20970117
2019-03-27,21944493
2019-03-28,21944493
2019-03-29,22966389
2019-03-30,22966389
2019-03-31,24012505
2019-04-01,24012505
2019-04-02,25119036
2019-04-03,25119036
2019-04-04,26294578
2019-04-05,26294578
2019-04-06,26294578
2019-04-07,27524451
2019-04-08,27524451
2019-04-09,28768400
2019-04-10,28768400
2019-04-11,28768400
2019-04-12,30088892
2019-04-13,30088892
2019-04-14,31476723
2019-04-15,31476723
2019-04-16,31476723
2019-04-17,32916079
2019-04-18,32916079
2019-04-19,34444604
2019-04-20,34444604
2019-04-21,34444604
2019-04-22,36046053
2019-04-23,36046053
2019-04-24,36046053
2019-04-25,37733601
2019-04-26,37733601
2019-04-27,37733601
2019-04-28,39424865
2019-04-29,39424865
2019-04-30,39424865
2019-05-01,39424865
2019-05-02,41197386
2019-05-03,41197386
2019-05-04,41197386
2019-05-05,43088985
2019-05-06,43088985
2019-05-07,43088985
2019-05-08,43088985
2019-05-09,45031224
2019-05-10,45031224
2019-05-11,45031224
2019-05-12,47083485
2019-05-13,47083485
2019-05-14,47083485
2019-05-15,47083485
2019-05-16,49270491
2019-05-17,49270491
2019-05-18,49270491
2019-05-19,49270491
2019-05-20,51487471
2019-05-21,51487471
2019-05-22,51487471
2019-05-23,51487471
2019-05-24,53837293
2019-05-25,53837293
2019-05-26,53837293
2019-05-27,53837293
2019-05-28,56317804
2019-05-29,56317804
2019-05-30,56317804
2019-05-31,56317804
2019-06-01,58911323
2019-06-02,58911323
2019-06-03,58911323
2019-06-04,58911323
2019-06-05,61576006
2019-06-06,61576006
2019-06-07,61576006
2019-06-08,61576006
2019-06-09,64318997
2019-06-10,64318997
2019-06-11,64318997
2019-06-12,64318997
2019-06-13,64318997
2019-06-14,67247561
2019-06-15,67247561
2019-06-16,67247561
2019-06-17,67247561
2019-06-18,67247561
2019-06-19,69961936
2019-06-20,69961936
2019-06-21,69961936
2019-06-22,69961936
2019-06-23,69961936
2019-06-24,66862366
2019-06-25,66862366
2019-06-26,66862366
2019-06-27,66862366
2019-06-28,66862366
2019-06-29,67369565
2019-06-30,67369565
2019-07-01,67369565
2019-07-02,67369565
2019-07-03,67369565
2019-07-04,67369565
2019-07-05,66199452
2019-07-06,66199452
2019-07-07,66199452
2019-07-08,66199452
2019-07-09,66199452
2019-07-10,65765149
2019-07-11,65765149
2019-07-12,65765149
2019-07-13,65765149
2019-07-14,66009947
2019-07-15,66009947
2019-07-16,66009947
2019-07-17,66009947
2019-07-18,66009947
2019-07-19,66009947
2019-07-20,66670295
2019-07-21,66670295
2019-07-22,66670295
2019-07-23,66670295
2019-07-24,68822875
2019-07-25,68822875
2019-07-26,68822875
2019-07-27,68822875
2019-07-28,68822875
2019-07-29,68822875
2019-07-30,68822875
2019-07-31,67325807
2019-08-01,67325807
2019-08-02,67325807
2019-08-03,67325807
2019-08-04,67325807
2019-08-05,67325807
2019-08-06,67428160
2019-08-07,67428160
2019-08-08,67428160
2019-08-09,67428160
2019-08-10,67428160
2019-08-11,67428160
2019-08-12,68168487
2019-08-13,68168487
2019-08-14,68168487
2019-08-15,68168487
2019-08-16,68168487
2019-08-17,68168487
2019-08-18,69475383
2019-08-19,69475383
2019-08-20,69475383
2019-08-21,69475383
2019-08-22,69475383
2019-08-23,69475383
2019-08-24,68536759
2019-08-24,68536759
2019-08-25,68536759
2019-08-25,68536759
2019-08-26,68536759
2019-08-26,68536759
2019-08-27,68536759
2019-08-27,68536759
2019-08-28,68536759
2019-08-29,68536759
2019-08-30,68741190
2019-08-31,68741190
2019-09-01,68741190
2019-09-02,68741190
2019-09-03,68741190
2019-09-04,68741190
2019-09-05,69245152
2019-09-06,69245152
2019-09-07,69245152
2019-09-08,69245152
2019-09-09,69245152
2019-09-10,69245152
2019-09-11,69245152
2019-09-12,70911055
2019-09-13,70911055
2019-09-14,70911055
2019-09-15,70911055
2019-09-16,72892961
2019-09-17,72892961
2019-09-18,72892961
2019-09-19,72892961
2019-09-20,72892961
2019-09-21,72892961
2019-09-22,74139782
2019-09-23,74139782
2019-09-24,74139782
2019-09-25,74139782
2019-09-26,74139782
2019-09-27,74139782
2019-09-28,74139782
2019-09-29,72432346
2019-09-30,72432346
2019-10-01,72432346
2019-10-02,72432346
2019-10-03,72432346
2019-10-04,72432346
2019-10-05,71782935
2019-10-06,71782935
2019-10-07,71782935
2019-10-08,71782935
2019-10-09,71782935
2019-10-10,72807835
2019-10-11,72807835
2019-10-12,72807835
