date_obj,3rd%20age%20range%20top price
2016-01-15,34343983
2016-01-16,34343983
2016-01-17,34343983
2016-01-18,35642083
2016-01-19,35642083
2016-01-20,35642083
2016-01-21,35642083
2016-01-22,36167600
2016-01-23,36167600
2016-01-24,36167600
2016-01-25,36167600
2016-01-26,36167600
2016-01-27,36674029
2016-01-28,36674029
2016-01-29,36674029
2016-01-30,36674029
2016-01-31,36991645
2016-02-01,36991645
2016-02-02,36991645
2016-02-03,35142062
2016-02-04,35142062
2016-02-05,35142062
2016-02-06,33835678
2016-02-07,33835678
2016-02-08,33835678
2016-02-09,32143894
2016-02-10,32143894
2016-02-11,32143894
2016-02-12,32143894
2016-02-13,32113432
2016-02-14,32113432
2016-02-15,32113432
2016-02-16,32113432
2016-02-17,32113432
2016-02-18,31782126
2016-02-19,31782126
2016-02-20,31782126
2016-02-21,30208381
2016-02-22,30208381
2016-02-23,30208381
2016-02-24,30208381
2016-02-25,28717518
2016-02-26,28717518
2016-02-27,28717518
2016-02-28,28956657
2016-02-29,28956657
2016-03-01,29264322
2016-03-02,29264322
2016-03-03,29264322
2016-03-04,29028667
2016-03-05,29028667
2016-03-06,29877737
2016-03-07,29877737
2016-03-08,29877737
2016-03-09,30150385
2016-03-10,30150385
2016-03-11,30150385
2016-03-12,30055936
2016-03-13,30055936
2016-03-14,30055936
2016-03-15,29877112
2016-03-16,29877112
2016-03-17,29877112
2016-03-18,29404292
2016-03-19,29404292
2016-03-20,29404292
2016-03-21,29240719
2016-03-22,29240719
2016-03-23,29240719
2016-03-24,28917772
2016-03-25,28917772
2016-03-26,28917772
2016-03-27,28796503
2016-03-28,28796503
2016-03-29,28796503
2016-03-30,28727663
2016-03-31,28727663
2016-04-01,28727663
2016-04-02,29714116
2016-04-03,29714116
2016-04-04,30806607
2016-04-05,30806607
2016-04-06,30841326
2016-04-07,30841326
2016-04-08,30841326
2016-04-09,31008003
2016-04-10,31008003
2016-04-11,31008003
2016-04-12,30676766
2016-04-13,30676766
2016-04-14,30676766
2016-04-15,30409375
2016-04-16,30409375
2016-04-17,30409375
2016-04-18,30303939
2016-04-19,30303939
2016-04-20,30303939
2016-04-21,30303939
2016-04-22,30125715
2016-04-23,30125715
2016-04-24,29988116
2016-04-25,29988116
2016-04-26,29964377
2016-04-27,29964377
2016-04-28,30185931
2016-04-29,30185931
2016-04-30,30185931
2016-05-01,30439056
2016-05-02,30439056
2016-05-03,30439056
2016-05-04,30514318
2016-05-05,30514318
2016-05-06,30514318
2016-05-07,29799845
2016-05-08,29799845
2016-05-09,29799845
2016-05-10,29721960
2016-05-11,29721960
2016-05-12,29721960
