date_obj,Samurai%20kasa price
2016-07-06,5162282
2016-07-07,5162282
2016-07-08,5162282
2016-07-09,5379586
2016-07-10,5379586
2016-07-11,5379586
2016-07-12,5379586
2016-07-13,5379586
2016-07-14,5184524
2016-07-15,5184524
2016-07-16,5184524
2016-07-17,5184524
2016-07-18,5184524
2016-07-23,4925297
2016-07-24,4925297
2016-07-25,4925297
2016-07-26,4925297
2016-07-27,4925297
2016-07-28,4679032
2016-07-29,4679032
2016-07-30,4679032
2016-07-31,4679032
2016-08-01,4679032
2016-08-02,4679032
2016-08-03,4446813
2016-08-04,4446813
2016-08-05,4446813
2016-08-06,4446813
2016-08-07,4446813
2016-08-08,4446813
2016-08-09,4446813
2016-08-10,4227864
2016-08-11,4227864
2016-08-12,4227864
2016-08-13,4227864
2016-08-14,4227864
2016-08-15,4227864
2016-08-16,4227864
2016-08-17,4227864
2016-08-18,4017702
2016-08-19,4017702
2016-08-20,4017702
2016-08-21,4017702
2016-08-22,4017702
2016-08-23,4017702
2016-08-24,3820418
2016-08-25,3820418
2016-08-26,3820418
2016-08-28,3820418
2016-08-31,3629397
2016-09-01,3629397
2016-09-02,3629397
2016-09-03,3629397
2016-09-04,3629397
2016-09-05,3629397
2016-09-06,3629397
2016-09-07,3629397
2016-09-08,3629397
2016-09-09,3449484
2016-09-10,3449484
2016-09-11,3449484
2016-09-12,3449484
2016-09-13,3449484
2016-09-14,3449484
2016-09-15,3449484
2016-09-16,3449484
2016-09-17,3278381
2016-09-18,3278381
2016-09-19,3278381
2016-09-20,3278381
2016-09-21,3278381
2016-09-22,3278381
2016-09-23,3278381
2016-09-24,3278381
2016-09-25,3114879
2016-09-26,3114879
2016-09-27,3114879
2016-09-28,3114879
2016-09-29,3114879
2016-09-30,3114879
2016-10-01,3114879
2016-10-02,3114879
2016-10-03,3114879
2016-10-04,2959135
2016-10-05,2959135
2016-10-06,2959135
2016-10-07,2959135
2016-10-08,2959135
2016-10-09,2959135
2016-10-10,2959135
2016-10-11,2959135
2016-10-12,2959135
2016-10-13,2811564
2016-10-14,2811564
2016-10-15,2811564
2016-10-16,2811564
2016-10-17,2811564
2016-10-18,2811564
2016-10-19,2811564
2016-10-20,2811564
2016-10-21,2672293
2016-10-22,2672293
2016-10-23,2672293
2016-10-24,2672293
2016-10-25,2672293
2016-10-26,2672293
2016-10-27,2672293
2016-10-28,2539788
2016-10-29,2539788
2016-10-30,2539788
2016-10-31,2539788
2016-11-01,2539788
2016-11-02,2539788
2016-11-03,2539788
2016-11-04,2413413
2016-11-05,2413413
2016-11-06,2413413
2016-11-07,2413413
2016-11-08,2413413
2016-11-09,2413413
2016-11-10,2413413
2016-11-11,2294494
2016-11-12,2294494
2016-11-13,2294494
2016-11-14,2294494
2016-12-08,1971183
2016-12-09,1874174
2016-12-10,1874174
2016-12-11,1874174
2016-12-12,1874174
2016-12-13,1874174
2016-12-14,1874174
2016-12-15,1874174
2016-12-16,1781259
2016-12-17,1781259
2016-12-18,1781259
2016-12-19,1781259
2016-12-20,1781259
2016-12-21,1781259
2016-12-22,1781259
2016-12-23,1781259
2016-12-24,1693558
2016-12-25,1693558
2016-12-26,1693558
2016-12-27,1693558
2016-12-28,1693558
2016-12-29,1693558
2016-12-30,1693558
2016-12-31,1609401
2017-01-01,1609401
2017-01-02,1609401
2017-01-03,1609401
2017-01-04,1609401
2017-01-05,1609401
2017-01-06,1609401
2017-01-07,1528930
2017-01-08,1528930
2017-01-09,1528930
2017-01-10,1528930
2017-01-11,1528930
2017-01-12,1528930
2017-01-13,1453125
2017-01-14,1453125
2017-01-15,1453125
2017-01-16,1453125
2017-01-17,1453125
2017-01-18,1380858
2017-01-19,1380858
2017-01-20,1380858
2017-01-21,1380858
2017-01-22,1380858
2017-01-27,1312781
2017-01-28,1312781
2017-01-29,1248076
2017-01-30,1248076
2017-01-31,1248076
2017-02-01,1248076
2017-02-02,1248076
2017-02-03,1186895
2017-02-04,1186895
2017-02-05,1186895
2017-02-06,1186895
2017-02-07,1186895
2017-02-08,1127550
2017-02-09,1127550
2017-02-10,1127550
2017-02-11,1127550
2017-02-12,1127550
2017-02-13,1127550
2017-02-14,1076179
2017-02-15,1076179
2017-02-16,1076179
2017-02-18,1076179
2017-02-19,1076179
2017-02-20,1032412
2017-02-21,1032412
2017-02-22,1032412
2017-02-23,1032412
2017-02-24,1032412
2017-02-25,1032412
2017-02-26,1032412
2017-02-27,982016
2017-02-28,982016
2017-03-01,982016
2017-03-02,982016
2017-03-03,982016
2017-03-04,982016
2017-03-05,932915
2017-03-06,932915
2017-03-07,932915
2017-03-08,932915
2017-03-09,932915
2017-03-10,887116
2017-03-11,887116
2017-03-12,887116
2017-03-13,887116
2017-03-14,887116
2017-03-15,842760
2017-03-16,842760
2017-03-17,842760
2017-03-18,842760
2017-03-19,842760
2017-03-20,842760
2017-03-21,800622
2017-03-22,800622
2017-03-23,800622
2017-03-24,800622
2017-03-25,800622
2017-03-26,822038
2017-03-27,822038
2017-03-28,822038
2017-03-29,822038
2017-03-30,822038
2017-03-31,822038
2017-04-01,814253
2017-04-02,814253
2017-04-03,814253
2017-04-04,814253
2017-04-12,710000
2017-04-13,710000
2017-04-14,710000
2017-04-15,710000
2017-04-16,710000
2017-04-17,676153
2017-04-18,676153
2017-04-19,676153
2017-04-20,676153
2017-04-21,676153
2017-04-22,644657
2017-04-23,644657
2017-04-24,644657
2017-04-25,644657
2017-04-26,644657
2017-04-27,639575
2017-04-28,639575
2017-04-29,639575
2017-04-30,639575
2017-05-01,639575
2017-05-02,634473
2017-05-03,634473
2017-05-04,634473
2017-05-05,634473
2017-05-06,618068
2017-05-07,618068
2017-05-08,618068
2017-05-09,618068
2017-05-10,591936
2017-05-11,591936
2017-05-12,591936
2017-05-13,591936
2017-05-14,563324
2017-05-15,563324
2017-05-16,563324
2017-05-17,563324
2017-05-18,563324
2017-05-19,536401
2017-05-20,536401
2017-05-21,536401
2017-05-22,536401
2017-05-23,536401
2017-05-24,510770
2017-05-25,510770
2017-05-26,510770
2017-05-27,510770
2017-05-28,510770
2017-05-29,485231
2017-05-30,485231
2017-05-31,485231
2017-06-01,485231
2017-06-02,461447
2017-06-03,461447
2017-06-06,439797
2017-06-07,439797
2017-06-08,439797
2017-06-09,439797
2017-06-10,433905
2017-06-11,433905
2017-06-12,433905
2017-06-13,433905
2017-06-14,447548
2017-06-15,447548
2017-06-16,447548
2017-06-17,447548
2017-06-18,447548
2017-06-19,441594
2017-06-20,441594
2017-06-21,441594
2017-06-22,441594
2017-06-23,441594
2017-06-24,431548
2017-06-25,431548
2017-06-26,431548
2017-06-27,431548
2017-06-28,431548
2017-06-29,432235
2017-06-30,432235
2017-07-01,432235
2017-07-02,432235
2017-07-03,432235
2017-07-04,432235
2017-07-05,435700
2017-07-06,435700
2017-07-07,435700
2017-07-08,435700
2017-07-13,430417
2017-07-14,450805
2017-07-15,450805
2017-07-16,450805
2017-07-17,450805
2017-07-18,450805
2017-07-19,450022
2017-07-20,450022
2017-07-21,450022
2017-07-22,450022
2017-07-23,450022
2017-07-24,435309
2017-07-25,435309
2017-07-26,435309
2017-07-27,435309
2017-07-28,427171
2017-07-29,427171
2017-07-30,427171
2017-07-31,427171
2017-08-01,447699
2017-08-02,447699
2017-08-03,447699
2017-08-04,447699
2017-08-05,451082
2017-08-06,451082
2017-08-09,451082
2017-08-10,454199
2017-08-11,454199
2017-08-12,454199
2017-08-13,454199
2017-08-14,454199
2017-08-15,475718
2017-08-17,475718
2017-08-18,475718
2017-08-19,475718
2017-08-20,498144
2017-08-21,498144
2017-08-22,498144
2017-08-23,498144
2017-08-24,521839
2017-08-25,521839
2017-08-26,521839
2017-08-27,521839
2017-08-28,521839
2017-08-29,537459
2017-08-30,537459
2017-08-31,537459
2017-09-01,537459
2017-09-02,537459
2017-09-03,527233
2017-09-04,527233
2017-09-05,527233
2017-09-06,527233
2017-09-07,501136
2017-09-08,501136
2017-09-09,501136
2017-09-10,501136
2017-09-11,477568
2017-09-12,477568
2017-09-13,477568
2017-09-14,477568
2017-09-15,477568
2017-09-16,457417
2017-09-17,457417
2017-09-19,457417
2017-09-20,457417
2017-09-21,434837
2017-09-22,434837
2017-09-23,434837
2017-09-24,434837
2017-09-25,434837
2017-09-26,414235
2017-09-27,414235
2017-09-28,414235
2017-09-29,414235
2017-09-30,414235
2017-10-01,395164
2017-10-02,395164
2017-10-03,395164
2017-10-04,395164
2017-10-05,395164
2017-10-06,381465
2017-10-07,381465
2017-10-08,381465
2017-10-09,381465
2017-10-10,381465
2017-10-11,383719
2017-10-12,383719
2017-10-13,383719
2017-10-14,383719
2017-10-15,391069
2017-10-16,391069
2017-10-17,391069
2017-10-18,391069
2017-10-19,391069
2017-10-20,409836
2017-10-21,409836
