date_obj,Raw%20sea%20turtle price
2015-03-26,2852
2015-03-27,2852
2015-03-28,2852
2015-03-29,2852
2015-03-30,2852
2015-03-31,2852
2015-04-01,2852
2015-04-02,2852
2015-04-03,2852
2015-04-04,2933
2015-04-05,2933
2015-04-06,2933
2015-04-07,2933
2015-04-08,2933
2015-04-09,2933
2015-04-10,2933
2015-04-11,2933
2015-04-12,2933
2015-04-13,2933
2015-04-14,2933
2015-04-15,2933
2015-04-16,2933
2015-04-17,2933
2015-04-18,2933
2015-04-19,2933
2015-04-20,2933
2015-04-21,2933
2015-04-22,3015
2015-04-23,3015
2015-04-24,3015
2015-04-25,3015
2015-04-26,3015
2015-04-27,3015
2015-04-28,3015
2015-04-29,3015
2015-04-30,3015
2015-05-01,3015
2015-05-02,3015
2015-05-03,3015
2015-05-04,3015
2015-05-05,3015
2015-05-06,3015
2015-05-07,3015
2015-05-08,3015
2015-05-09,3015
2015-05-10,3015
2015-05-11,3015
2015-05-12,3137
2015-05-13,3137
2015-05-14,3137
2015-05-15,3137
2015-05-16,3137
2015-05-17,3137
2015-05-18,3137
2015-05-19,3137
2015-05-20,3137
2015-05-21,3137
2015-05-22,3137
2015-05-23,3137
2015-05-24,3137
2015-05-25,3137
2015-05-26,3137
2015-05-27,3137
2015-05-28,3209
2015-05-29,3209
2015-05-30,3209
2015-05-31,3209
2015-06-01,3209
2015-06-02,3209
2015-06-03,3209
2015-06-04,3209
2015-06-05,3209
2015-06-06,3209
2015-06-07,3209
2015-06-08,3209
2015-06-09,3209
2015-06-10,3209
2015-06-11,3209
2015-06-12,3209
2015-06-13,3251
2015-06-14,3251
2015-06-15,3251
2015-06-16,3251
2015-06-17,3251
2015-06-18,3251
2015-06-19,3251
2015-06-20,3251
2015-06-21,3251
2015-06-22,3251
2015-06-23,3251
2015-06-24,3251
2015-06-25,3251
2015-06-26,3251
2015-06-27,3251
2015-06-28,3251
2015-06-29,3392
2015-06-30,3392
2015-07-01,3392
2015-07-02,3392
2015-07-03,3392
2015-07-04,3392
2015-07-05,3392
2015-07-06,3392
2015-07-07,3392
2015-07-08,3392
2015-07-09,3392
2015-07-10,3392
2015-07-11,3392
2015-07-12,3392
2015-07-13,3392
2015-07-14,3392
2015-07-15,3392
2015-07-16,3392
2015-07-17,3486
2015-07-18,3486
2015-07-19,3486
2015-07-20,3486
2015-07-21,3486
2015-07-22,3486
2015-07-23,3486
2015-07-24,3486
2015-07-25,3486
2015-07-26,3486
2015-07-27,3486
2015-07-28,3486
2015-07-29,3486
2015-07-30,3486
2015-07-31,3486
2015-08-01,3486
2015-08-02,3637
2015-08-03,3637
2015-08-04,3637
2015-08-05,3637
2015-08-06,3637
2015-08-07,3637
2015-08-08,3637
2015-08-09,3637
2015-08-10,3637
2015-08-11,3637
2015-08-12,3637
2015-08-13,3637
2015-08-14,3637
2015-08-15,3637
2015-08-16,3637
2015-08-17,3814
2015-08-18,3814
2015-08-19,3814
2015-08-20,3814
2015-08-21,3814
2015-08-22,3814
2015-08-23,3814
2015-08-24,3814
2015-08-25,3814
2015-08-26,3814
2015-08-27,3814
2015-08-28,3814
2015-08-29,3814
2015-08-30,3814
2015-08-31,3814
2015-09-01,3814
2015-09-02,3814
2015-09-03,3855
2015-09-04,3855
2015-09-05,3855
2015-09-06,3855
2015-09-07,3855
2015-09-08,3855
2015-09-09,3855
