date_obj,Redberry%20pie price
2015-03-26,2371
2015-03-27,2371
2015-03-28,2252
2015-03-29,2139
2015-03-30,2032
2015-03-31,1930
2015-04-01,1838
2015-04-02,1746
2015-04-03,1658
2015-04-04,1575
2015-04-05,1496
2015-04-06,1421
2015-04-07,1349
2015-04-08,1349
2015-04-09,1281
2015-04-10,1216
2015-04-11,1155
2015-04-12,1097
2015-04-13,1042
2015-04-14,1042
2015-04-15,989
2015-04-16,939
2015-04-17,904
2015-04-18,886
2015-04-19,883
2015-04-20,883
2015-04-21,866
2015-04-22,874
2015-04-23,862
2015-04-24,876
2015-04-25,860
2015-04-26,875
2015-04-27,868
2015-04-28,861
2015-04-29,861
2015-04-30,841
2015-05-01,810
2015-05-02,769
2015-05-03,769
2015-05-04,733
2015-05-05,705
2015-05-06,691
2015-05-07,687
2015-05-08,698
2015-05-09,707
2015-05-10,708
2015-05-11,708
2015-05-12,720
2015-05-13,720
2015-05-14,718
2015-05-15,718
2015-05-16,736
2015-05-17,734
2015-05-18,743
2015-05-19,752
2015-05-20,752
2015-05-21,746
2015-05-22,732
2015-05-23,737
2015-05-24,700
2015-05-25,697
2015-05-26,689
2015-05-27,689
2015-05-28,674
2015-05-29,683
2015-05-30,701
2015-05-31,712
2015-06-01,728
2015-06-02,728
2015-06-03,692
2015-06-04,661
2015-06-05,633
2015-06-06,615
2015-06-07,607
2015-06-08,597
2015-06-09,577
2015-06-10,578
2015-06-11,574
2015-06-12,567
2015-06-13,557
2015-06-14,565
2015-06-15,568
2015-06-16,559
2015-06-17,567
2015-06-18,567
2015-06-19,572
2015-06-20,567
2015-06-21,550
2015-06-22,534
2015-06-23,523
2015-06-24,529
2015-06-25,529
2015-06-26,527
2015-06-27,527
2015-06-28,526
2015-06-29,500
2015-06-30,496
2015-07-01,494
2015-07-02,494
2015-07-03,493
2015-07-04,496
2015-07-05,495
2015-07-06,492
2015-07-07,492
2015-07-08,493
2015-07-09,493
2015-07-10,492
2015-07-11,492
2015-07-12,486
2015-07-13,487
2015-07-14,487
2015-07-15,484
2015-07-16,467
2015-07-17,457
2015-07-18,457
2015-07-19,451
2015-07-20,431
2015-07-21,443
2015-07-22,439
2015-07-23,439
2015-07-24,440
2015-07-25,452
2015-07-26,472
2015-07-27,484
2015-07-28,507
2015-07-29,521
2015-07-30,546
2015-07-31,561
2015-08-01,587
2015-08-02,595
2015-08-03,614
2015-08-04,616
2015-08-05,622
2015-08-06,645
2015-08-07,661
2015-08-08,672
