date_obj,Papyrus price
2015-03-26,463
2015-03-27,463
2015-03-28,462
2015-03-29,460
2015-03-30,444
2015-03-31,435
2015-04-01,435
2015-04-02,426
2015-04-03,404
2015-04-04,393
2015-04-05,393
2015-04-06,383
2015-04-07,391
2015-04-08,391
2015-04-09,399
2015-04-10,395
2015-04-11,384
2015-04-12,364
2015-04-13,345
2015-04-14,345
2015-04-15,329
2015-04-16,329
2015-04-17,331
2015-04-18,321
2015-04-19,306
2015-04-20,306
2015-04-21,292
2015-04-22,292
2015-04-23,293
2015-04-24,287
2015-04-25,296
2015-04-26,289
2015-04-27,296
2015-04-28,306
2015-04-29,306
2015-04-30,308
2015-05-01,308
2015-05-02,307
2015-05-03,307
2015-05-04,300
2015-05-05,289
2015-05-06,279
2015-05-07,265
2015-05-08,253
2015-05-09,243
2015-05-10,236
2015-05-11,236
2015-05-12,235
2015-05-13,235
2015-05-14,241
2015-05-15,241
2015-05-16,228
2015-05-17,216
2015-05-18,206
2015-05-19,206
2015-05-20,212
2015-05-21,212
2015-05-22,214
2015-05-23,221
2015-05-24,229
2015-05-25,228
2015-05-26,220
2015-05-27,213
2015-05-28,223
2015-05-29,235
2015-05-30,226
2015-05-31,214
2015-06-01,203
2015-06-02,203
2015-06-03,201
2015-06-04,206
2015-06-05,196
2015-06-06,194
2015-06-07,200
2015-06-08,207
2015-06-09,209
2015-06-10,216
2015-06-11,222
2015-06-12,232
2015-06-13,227
2015-06-14,237
2015-06-15,245
2015-06-16,250
2015-06-17,259
2015-06-18,266
2015-06-19,277
2015-06-20,276
2015-06-21,262
2015-06-22,260
2015-06-23,249
2015-06-24,259
2015-06-25,259
2015-06-26,265
2015-06-27,265
2015-06-28,265
2015-06-29,256
2015-06-30,253
2015-07-01,248
2015-07-02,248
2015-07-03,243
2015-07-04,233
2015-07-05,227
2015-07-06,221
2015-07-07,213
2015-07-08,207
2015-07-09,207
2015-07-10,209
2015-07-11,220
2015-07-12,220
2015-07-13,210
2015-07-14,220
2015-07-15,229
2015-07-16,232
2015-07-17,240
2015-07-18,245
2015-07-19,237
2015-07-20,233
2015-07-21,221
2015-07-22,210
2015-07-23,210
2015-07-24,201
2015-07-25,190
2015-07-26,189
2015-07-27,194
2015-07-28,202
2015-07-29,209
2015-07-30,210
2015-07-31,203
2015-08-01,199
2015-08-02,198
2015-08-03,206
2015-08-04,213
2015-08-05,216
2015-08-06,210
2015-08-07,212
2015-08-08,211
2015-08-09,215
2015-08-10,206
2015-08-11,205
2015-08-12,205
2015-08-13,216
2015-08-14,227
2015-08-15,239
2015-08-16,250
2015-08-17,258
2015-08-18,262
2015-08-19,263
2015-08-20,275
2015-08-21,279
2015-08-22,287
2015-08-23,296
2015-08-24,310
2015-08-25,310
2015-08-26,303
2015-08-27,296
2015-08-28,286
2015-08-29,280
2015-08-30,274
2015-08-31,277
2015-09-01,276
2015-09-02,276
2015-09-03,274
2015-09-04,269
2015-09-05,261
2015-09-06,273
2015-09-07,270
2015-09-08,276
2015-09-09,285
2015-09-10,295
2015-09-11,304
2015-09-12,313
2015-09-13,322
2015-09-14,334
2015-09-15,343
2015-09-16,343
2015-09-17,350
2015-09-18,363
2015-09-19,354
2015-09-20,352
2015-09-21,360
2015-09-22,365
2015-09-23,366
2015-09-24,366
2015-09-25,355
2015-09-27,350
2015-09-28,348
2015-09-29,333
2015-09-30,330
