date_obj,Cream%20robe%20top price
2015-03-04,10938
2015-03-05,10938
2015-03-06,10938
2015-03-07,10938
2015-03-08,10938
2015-03-09,10938
2015-03-10,10938
2015-03-11,10399
2015-03-12,10399
2015-03-13,10399
2015-03-14,10399
2015-03-15,10399
2015-03-16,10399
2015-03-17,10399
2015-03-18,10399
2015-03-19,9879
2015-03-20,9879
2015-03-21,9879
2015-03-22,9879
2015-03-23,9879
2015-03-24,9879
2015-03-25,9388
2015-03-26,9388
2015-03-27,9388
2015-03-28,9388
2015-03-29,9388
2015-03-30,9388
2015-03-31,8922
2015-04-01,8922
2015-04-02,8922
2015-04-03,8922
2015-04-04,8922
2015-04-05,8922
2015-04-06,8922
2015-04-07,8475
2015-04-08,8475
2015-04-09,8475
2015-04-10,8475
2015-04-11,8475
2015-04-12,8475
2015-04-13,8054
2015-04-14,8054
2015-04-15,8054
2015-04-16,8054
2015-04-17,8054
2015-04-18,8054
2015-04-19,8054
2015-04-20,7658
2015-04-21,7658
2015-04-22,7658
2015-04-23,7658
2015-04-24,7658
2015-04-25,7658
2015-04-26,7658
2015-04-27,7275
2015-04-28,7275
2015-04-29,7275
2015-04-30,7275
2015-05-01,7275
2015-05-02,6911
2015-05-03,6911
2015-05-04,6911
2015-05-05,6911
2015-05-06,6566
2015-05-07,6566
2015-05-08,6566
2015-05-09,6566
2015-05-10,6237
2015-05-11,6237
2015-05-12,6237
2015-05-13,6237
2015-05-14,6237
2015-05-15,5930
2015-05-16,5930
2015-05-17,5930
2015-05-18,5930
2015-05-19,5930
2015-05-20,5930
2015-05-21,5638
2015-05-22,5638
2015-05-23,5638
2015-05-24,5638
2015-05-25,5638
2015-05-26,5361
2015-05-27,5361
2015-05-28,5361
2015-05-29,5361
2015-05-30,5097
2015-05-31,5097
2015-06-01,5097
2015-06-02,5097
2015-06-03,5097
2015-06-04,5097
2015-06-05,4844
2015-06-06,4844
2015-06-07,4844
2015-06-08,4844
2015-06-09,4844
2015-06-10,4844
2015-06-11,4610
2015-06-12,4610
2015-06-13,4610
2015-06-14,4610
2015-06-15,4610
2015-06-16,4610
2015-06-17,4382
2015-06-18,4382
2015-06-19,4382
2015-06-20,4382
2015-06-21,4382
2015-06-22,4168
2015-06-23,4168
2015-06-24,4168
2015-06-25,4168
2015-06-26,4168
2015-06-27,4168
2015-06-28,3961
2015-06-29,3961
2015-06-30,3961
2015-07-01,3961
2015-07-02,3961
2015-07-03,3961
2015-07-04,3767
