date_obj,Ogre%20coffin%20key price
2015-03-26,49471
2015-03-27,49471
2015-03-28,49471
2015-03-29,49471
2015-03-30,49471
2015-03-31,49471
2015-04-01,49471
2015-04-02,49471
2015-04-03,47127
2015-04-04,47127
2015-04-05,47127
2015-04-06,47127
2015-04-07,47127
2015-04-08,47127
2015-04-09,47127
2015-04-10,47127
2015-04-11,47127
2015-04-12,47127
2015-04-13,47127
2015-04-14,47127
2015-04-15,47127
2015-04-16,47127
2015-04-17,44915
2015-04-18,44915
2015-04-19,44915
2015-04-20,44915
2015-04-21,44915
2015-04-22,44915
2015-04-23,44915
2015-04-24,44915
2015-04-25,44915
2015-04-26,44915
2015-04-27,44915
2015-04-28,44915
2015-04-29,44915
2015-04-30,42690
2015-05-01,42690
2015-05-02,42690
2015-05-03,42690
2015-05-04,42690
2015-05-05,42690
2015-05-06,42690
2015-05-07,42690
2015-05-08,42690
2015-05-09,42690
2015-05-10,42690
2015-05-11,40586
2015-05-12,40586
2015-05-13,40586
2015-05-14,40586
2015-05-15,40586
2015-05-16,40586
2015-05-17,40586
2015-05-18,40586
2015-05-19,40586
2015-05-20,40586
2015-05-21,40586
2015-05-22,38703
2015-05-23,38703
2015-05-24,38703
2015-05-25,38703
2015-05-26,38703
2015-05-27,38703
2015-05-28,36942
2015-05-29,36942
2015-05-30,36942
2015-05-31,36942
2015-06-01,35268
2015-06-02,35268
2015-06-03,35268
2015-06-04,35268
2015-06-05,35268
2015-06-06,35268
2015-06-07,33647
2015-06-08,33647
2015-06-09,33647
2015-06-10,33647
2015-06-11,33647
2015-06-12,33647
2015-06-13,33647
2015-06-14,31976
2015-06-15,31976
2015-06-16,31976
2015-06-17,31976
2015-06-18,31976
2015-06-19,31976
2015-06-20,30384
2015-06-21,30384
2015-06-22,30384
2015-06-23,30384
2015-06-24,30384
2015-06-25,30384
2015-06-26,28895
2015-06-27,28895
2015-06-28,28895
2015-06-29,28895
2015-06-30,28895
2015-07-01,28895
2015-07-02,28895
2015-07-03,27461
2015-07-04,27461
2015-07-05,27461
2015-07-06,27461
2015-07-07,27461
2015-07-08,27461
2015-07-09,27461
2015-07-10,26107
2015-07-11,26107
2015-07-12,26107
2015-07-13,26107
2015-07-14,26107
2015-07-15,24822
2015-07-16,24822
2015-07-17,24822
