date_obj,Citizen%20top price
2015-03-26,13000
2015-03-27,13000
2015-03-28,13000
2015-03-29,13000
2015-03-30,13000
2015-03-31,13000
2015-04-01,13000
2015-04-02,13000
2015-04-03,13000
2015-04-04,13000
2015-04-05,13000
2015-04-06,13000
2015-04-07,13000
2015-04-08,13000
2015-04-09,13000
2015-04-10,13000
2015-04-11,13000
2015-04-12,13000
2015-04-13,13000
2015-04-14,13000
2015-04-15,13227
2015-04-16,13227
2015-04-17,13227
2015-04-18,13227
2015-04-19,13227
2015-04-20,13227
2015-04-21,13227
2015-04-22,13227
2015-04-23,13227
2015-04-24,13227
2015-04-25,13227
2015-04-26,13227
2015-04-27,13227
2015-04-28,13227
2015-04-29,13227
2015-04-30,13227
2015-05-01,13227
2015-05-02,13227
2015-05-03,13227
2015-05-04,13227
2015-05-05,13227
2015-05-06,13227
2015-05-07,13227
2015-05-08,13227
2015-05-09,13227
2015-05-10,13227
2015-05-11,13227
2015-05-12,13227
2015-05-13,13227
2015-05-14,13227
2015-05-15,13227
2015-05-16,13227
2015-05-17,13227
2015-05-18,13227
2015-05-19,13227
2015-05-20,13227
2015-05-21,13227
2015-05-22,13227
2015-05-23,13227
2015-05-24,13227
2015-05-25,13227
2015-05-26,13227
2015-05-27,13227
2015-05-28,12691
2015-05-29,12691
2015-05-30,12691
2015-05-31,12691
2015-06-01,12691
2015-06-02,12691
2015-06-03,12691
2015-06-04,12691
2015-06-05,12691
2015-06-06,12691
2015-06-07,12691
2015-06-08,12691
2015-06-09,12691
2015-06-10,12691
2015-06-11,12691
2015-06-12,12691
2015-06-13,12691
2015-06-14,12691
2015-06-15,12691
2015-06-16,12691
2015-06-17,12691
2015-06-18,12691
2015-06-19,12691
2015-06-20,12691
2015-06-21,12691
2015-06-22,12691
2015-06-23,12691
2015-06-24,12691
2015-06-25,12691
2015-06-26,12691
2015-06-27,12691
2015-06-28,12691
2015-06-29,12691
2015-06-30,12691
2015-07-01,12569
2015-07-02,12569
2015-07-03,12569
2015-07-04,12569
2015-07-05,12569
2015-07-06,12569
2015-07-07,12569
2015-07-08,12569
2015-07-09,12569
2015-07-10,12569
2015-07-11,12569
2015-07-12,12569
2015-07-13,12569
2015-07-14,12569
2015-07-15,12569
2015-07-16,12569
2015-07-17,12569
2015-07-18,12569
2015-07-19,12569
2015-07-20,12569
2015-07-21,12569
2015-07-22,12569
2015-07-23,12569
2015-07-24,12569
2015-07-25,12569
2015-07-26,12569
2015-07-27,12569
2015-07-28,12569
2015-07-29,12569
2015-07-30,12569
2015-07-31,12569
2015-08-01,12569
2015-08-02,12095
2015-08-03,12095
2015-08-04,12095
2015-08-05,12095
2015-08-06,12095
2015-08-07,12095
2015-08-08,12095
2015-08-09,12095
2015-08-10,12095
2015-08-11,12095
2015-08-12,12095
2015-08-13,12095
2015-08-14,12095
2015-08-15,12095
2015-08-16,12095
2015-08-17,12095
2015-08-18,12095
2015-08-19,12095
2015-08-20,12095
2015-08-21,12095
2015-08-22,12095
2015-08-23,12095
2015-08-24,12095
2015-08-25,12095
2015-08-26,12095
2015-08-27,12095
2015-08-28,12095
2015-08-29,12095
2015-08-30,11612
2015-08-31,11612
2015-09-01,11612
2015-09-02,11612
2015-09-03,11612
2015-09-04,11612
2015-09-05,11612
2015-09-06,11612
2015-09-07,11612
2015-09-08,11612
2015-09-09,11612
2015-09-10,11612
2015-09-11,11612
2015-09-12,11612
2015-09-13,11612
2015-09-14,11612
2015-09-15,11612
2015-09-16,11612
2015-09-17,11612
2015-09-18,11612
2015-09-19,11612
2015-09-20,11612
2015-09-21,11612
2015-09-22,11612
2015-09-23,11612
2015-09-24,11074
2015-09-25,11074
2015-09-27,11074
2015-09-28,11074
2015-09-29,11074
