date_obj,Axeman's%20folly(m) price
2015-03-05,75000
2015-03-06,75000
2015-03-07,75000
2015-03-08,75000
2015-03-09,75000
2015-03-10,75000
2015-03-11,75000
2015-03-12,75000
2015-03-13,75000
2015-03-14,75000
2015-03-15,75000
2015-03-16,75000
2015-03-17,75000
2015-03-18,75000
2015-03-19,75000
2015-03-20,75000
2015-03-21,75000
2015-03-22,75000
2015-03-23,75000
2015-03-24,75000
2015-03-25,75000
2015-03-26,75000
2015-03-27,75000
2015-03-28,75000
2015-03-29,75000
2015-03-30,75000
2015-03-31,75000
2015-04-01,75000
2015-04-02,75000
2015-04-03,75000
2015-04-04,75000
2015-04-05,75000
2015-04-06,75000
2015-04-07,75000
2015-04-08,75000
2015-04-09,75000
2015-04-10,75000
2015-04-11,75000
2015-04-12,75000
2015-04-13,75000
2015-04-14,75000
2015-04-15,75000
2015-04-16,75000
2015-04-17,75000
2015-04-18,75000
2015-04-19,75000
2015-04-20,75000
2015-04-21,75000
2015-04-22,75000
2015-04-23,75000
2015-04-24,75000
2015-04-25,75000
2015-04-26,75000
2015-04-27,75000
2015-04-28,75000
2015-04-29,75000
2015-04-30,75000
2015-05-01,75000
2015-05-02,75000
2015-05-03,75000
2015-05-04,76630
2015-05-05,76630
2015-05-06,76630
2015-05-07,76630
2015-05-08,76630
2015-05-09,76630
2015-05-10,76630
2015-05-11,76630
2015-05-12,76630
2015-05-13,76630
2015-05-14,76630
2015-05-15,76630
2015-05-16,76630
2015-05-17,76630
2015-05-18,76630
2015-05-19,76630
2015-05-20,76630
2015-05-21,76630
2015-05-22,76630
2015-05-23,76630
2015-05-24,76630
2015-05-25,76630
2015-05-26,76630
2015-05-27,76630
2015-05-28,78973
2015-05-29,78973
2015-05-30,78973
2015-05-31,78973
2015-06-01,78973
2015-06-02,78973
2015-06-03,78973
2015-06-04,78973
2015-06-05,78973
2015-06-06,78973
2015-06-07,78973
2015-06-08,78973
2015-06-09,78973
2015-06-10,78973
2015-06-11,78973
2015-06-12,78973
2015-06-13,78973
2015-06-14,78973
2015-06-15,78973
2015-06-16,78973
2015-06-17,78973
2015-06-18,78973
2015-06-19,78973
2015-06-20,78973
2015-06-21,78973
2015-06-22,78973
2015-06-23,78973
2015-06-24,78973
2015-06-25,78973
2015-06-26,78973
2015-06-27,78973
2015-06-28,78973
2015-06-29,78973
2015-06-30,78973
2015-07-01,78973
2015-07-02,78973
2015-07-03,78973
2015-07-04,78973
2015-07-05,78973
2015-07-06,78973
2015-07-07,78973
2015-07-08,78973
2015-07-09,78973
2015-07-10,78973
2015-07-11,78973
2015-07-12,78973
2015-07-13,78973
2015-07-14,78973
2015-07-15,78973
2015-07-16,78973
2015-07-17,78973
2015-07-18,78973
2015-07-19,78973
2015-07-20,80147
2015-07-21,80147
2015-07-22,80147
2015-07-23,80147
2015-07-24,80147
2015-07-25,80147
2015-07-26,80147
2015-07-27,80147
2015-07-28,80147
2015-07-29,80147
2015-07-30,80147
2015-07-31,80147
2015-08-01,80147
2015-08-02,80147
2015-08-03,80147
2015-08-04,80147
2015-08-05,80147
2015-08-06,80147
2015-08-07,80147
2015-08-08,80147
2015-08-09,80147
2015-08-10,80147
2015-08-11,80147
2015-08-12,80147
2015-08-13,80147
2015-08-14,80147
2015-08-15,80147
2015-08-16,80147
2015-08-17,80147
2015-08-18,80147
2015-08-19,80147
2015-08-20,80147
2015-08-21,80147
2015-08-22,80147
2015-08-23,80147
2015-08-24,80147
2015-08-25,80147
2015-08-26,80147
2015-08-27,80147
2015-08-28,80147
2015-08-29,80147
2015-08-30,80147
2015-08-31,80147
2015-09-02,80147
2015-09-07,80147
2015-09-08,80147
2015-09-10,79152
2015-09-14,79152
2015-09-16,79152
2015-09-22,79152
2015-09-23,79152
2015-09-24,79152
2015-09-25,79152
2015-09-27,79152
2015-09-28,79152
2015-09-29,79152
2015-09-30,79152
2015-10-05,79152
2015-10-06,79152
2015-10-07,79152
2015-10-08,79152
2015-10-09,79152
2015-10-10,79152
2015-10-11,79152
2015-10-12,79152
2015-10-13,79152
2015-10-14,79152
2015-10-15,79152
2015-10-16,79152
2015-10-17,79152
2015-10-18,79152
2015-10-19,79152
2015-10-20,79152
2015-10-22,79152
2015-10-23,79152
2015-10-24,79152
2015-10-25,79152
2015-10-26,79152
2015-10-27,79152
2015-10-28,79152
2015-10-29,79152
2015-10-30,79152
2015-10-31,79152
2015-11-01,79152
2015-11-02,79152
2015-11-03,79152
2015-11-04,79152
2015-11-05,79152
2015-11-06,79152
2015-11-07,79152
2015-11-08,79152
2015-11-09,79152
2015-11-10,79152
2015-11-11,79152
2015-11-12,79152
2015-11-13,78702
2015-11-14,78702
2015-11-15,78702
2015-11-16,78702
2015-11-17,78702
2015-11-18,78702
2015-11-19,78702
2015-11-20,78702
2015-11-21,78702
2015-11-22,78702
2015-11-23,78702
2015-11-24,78702
