date_obj,Rune%20axe price
2015-03-26,7402
2015-03-27,7402
2015-03-28,7359
2015-03-29,7311
2015-03-30,7259
2015-03-31,7337
2015-04-01,7392
2015-04-02,7405
2015-04-03,7434
2015-04-04,7380
2015-04-05,7442
2015-04-06,7398
2015-04-07,7415
2015-04-08,7462
2015-04-09,7454
2015-04-10,7433
2015-04-11,7453
2015-04-12,7420
2015-04-13,7444
2015-04-14,7422
2015-04-15,7388
2015-04-16,7414
2015-04-17,7422
2015-04-18,7415
2015-04-19,7393
2015-04-20,7413
2015-04-21,7419
2015-04-22,7401
2015-04-23,7438
2015-04-24,7428
2015-04-25,7403
2015-04-26,7469
2015-04-27,7480
2015-04-28,7449
2015-04-29,7425
2015-04-30,7393
2015-05-01,7366
2015-05-02,7384
2015-05-03,7358
2015-05-04,7418
2015-05-05,7443
2015-05-06,7355
2015-05-07,7363
2015-05-08,7431
2015-05-09,7412
2015-05-10,7318
2015-05-11,7377
2015-05-12,7429
2015-05-13,7455
2015-05-14,7420
2015-05-15,7391
2015-05-16,7352
2015-05-17,7375
2015-05-18,7392
2015-05-19,7430
2015-05-20,7440
2015-05-21,7476
2015-05-22,7480
2015-05-23,7388
2015-05-24,7383
2015-05-25,7439
2015-05-26,7434
2015-05-27,7410
2015-05-28,7458
2015-05-29,7412
2015-05-30,7395
2015-05-31,7370
2015-06-01,7368
2015-06-02,7407
2015-06-03,7438
2015-06-04,7427
2015-06-05,7430
2015-06-06,7466
2015-06-07,7482
2015-06-08,7427
2015-06-09,7423
2015-06-10,7528
2015-06-11,7471
2015-06-12,7456
2015-06-13,7427
2015-06-14,7394
2015-06-15,7458
2015-06-16,7450
2015-06-17,7398
2015-06-18,7464
2015-06-19,7445
2015-06-20,7422
2015-06-21,7439
2015-06-22,7452
2015-06-23,7432
2015-06-24,7408
2015-06-25,7495
2015-06-26,7441
2015-06-27,7435
2015-06-28,7452
2015-06-29,7462
2015-06-30,7449
2015-07-01,7465
2015-07-02,7446
2015-07-03,7444
2015-07-04,7439
2015-07-05,7459
2015-07-06,7476
2015-07-07,7432
2015-07-08,7467
2015-07-09,7447
2015-07-10,7456
2015-07-11,7475
2015-07-12,7468
2015-07-13,7491
2015-07-14,7502
2015-07-15,7510
2015-07-16,7469
2015-07-17,7438
2015-07-18,7467
2015-07-19,7425
2015-07-20,7485
2015-07-21,7446
2015-07-22,7457
2015-07-23,7460
2015-07-24,7403
2015-07-25,7433
2015-07-26,7339
2015-07-27,7316
2015-07-28,7375
2015-07-29,7446
2015-07-30,7455
2015-07-31,7466
2015-08-01,7466
2015-08-02,7444
2015-08-03,7415
2015-08-04,7435
2015-08-05,7473
2015-08-06,7537
2015-08-07,7477
2015-08-08,7502
2015-08-09,7470
2015-08-10,7466
2015-08-11,7470
2015-08-12,7383
2015-08-13,7313
2015-08-14,7346
2015-08-15,7467
