date_obj,Black%20skirt%20(t) price
2015-03-26,54396
2015-03-27,54396
2015-03-28,54252
2015-03-29,54474
2015-03-30,54782
2015-03-31,56021
2015-04-01,56021
2015-04-02,54855
2015-04-03,54855
2015-04-04,54557
2015-04-05,54557
2015-04-06,52712
2015-04-07,52455
2015-04-08,52455
2015-04-09,53343
2015-04-10,53384
2015-04-11,53384
2015-04-12,51960
2015-04-13,50269
2015-04-14,50269
2015-04-15,49397
2015-04-16,49397
2015-04-17,49108
2015-04-18,47331
2015-04-19,47331
2015-04-20,46206
2015-04-21,45041
2015-04-22,45041
2015-04-23,44127
2015-04-24,44127
2015-04-25,43404
2015-04-26,43404
2015-04-27,42614
2015-04-28,41835
2015-04-29,41835
2015-04-30,41114
2015-05-01,40665
2015-05-02,39430
2015-05-03,39430
2015-05-04,37902
2015-05-05,37902
2015-05-06,37162
2015-05-07,37099
2015-05-08,37099
2015-05-09,38954
2015-05-10,40769
2015-05-11,40769
2015-05-12,42766
2015-05-13,44813
2015-05-14,47054
2015-05-15,47054
2015-05-16,49407
2015-05-17,51033
2015-05-18,52868
2015-05-19,52868
2015-05-20,55512
2015-05-21,55512
2015-05-22,58272
2015-05-23,60426
2015-05-24,60426
2015-05-25,61668
2015-05-26,61668
2015-05-27,61864
2015-05-28,61864
2015-05-29,61146
2015-05-30,60168
2015-05-31,60168
2015-06-01,57202
2015-06-02,57202
2015-06-03,54341
2015-06-04,51772
2015-06-05,50351
2015-06-06,50351
2015-06-07,48531
2015-06-08,48531
2015-06-09,47754
2015-06-10,48002
2015-06-11,48002
2015-06-12,48030
2015-06-13,48134
2015-06-14,48134
2015-06-15,47763
2015-06-16,47763
2015-06-17,47264
2015-06-18,47651
2015-06-19,47651
2015-06-20,46915
2015-06-21,46915
2015-06-22,46680
2015-06-23,46680
2015-06-24,46747
2015-06-25,46747
2015-06-26,46895
2015-06-27,46895
2015-06-28,46521
2015-06-29,46521
2015-06-30,45328
2015-07-01,45328
2015-07-02,45275
2015-07-03,45410
2015-07-04,45410
2015-07-05,46043
2015-07-06,46043
2015-07-07,47078
2015-07-08,47986
2015-07-09,47986
2015-07-10,48019
2015-07-11,48019
2015-07-12,48309
2015-07-13,48316
2015-07-14,46105
2015-07-15,46105
2015-07-16,45387
2015-07-17,45313
2015-07-18,45313
2015-07-19,44579
2015-07-20,44819
2015-07-21,44819
2015-07-22,44616
2015-07-23,44616
2015-07-24,43776
2015-07-25,43776
2015-07-26,42507
2015-07-27,40632
2015-07-28,39369
2015-07-29,38128
2015-07-30,38128
2015-07-31,37807
2015-08-01,37807
2015-08-02,37566
2015-08-03,37566
2015-08-04,37763
2015-08-05,37279
2015-08-06,37279
2015-08-07,36244
2015-08-08,35587
2015-08-09,34500
2015-08-10,34462
2015-08-11,34106
2015-08-12,34106
2015-08-13,34517
2015-08-14,34348
2015-08-15,34348
2015-08-16,33858
2015-08-17,33297
2015-08-18,33297
2015-08-19,33196
2015-08-20,33196
2015-08-21,32828
2015-08-22,32828
2015-08-23,33712
2015-08-24,35183
2015-08-25,35183
2015-08-26,36735
2015-08-27,38420
2015-08-28,38420
2015-08-29,38543
2015-08-30,38543
2015-08-31,38670
2015-09-01,38847
2015-09-02,38847
2015-09-03,40332
2015-09-04,40332
2015-09-05,41138
2015-09-06,41138
2015-09-07,41975
2015-09-08,43950
2015-09-09,43950
2015-09-10,46056
2015-09-11,47750
2015-09-12,47750
2015-09-13,49285
2015-09-14,49285
2015-09-15,49544
2015-09-16,49544
2015-09-17,49079
2015-09-18,49079
2015-09-19,47771
2015-09-20,46138
2015-09-21,46138
2015-09-22,45544
2015-09-23,43542
2015-09-24,43542
2015-09-25,42051
2015-09-27,41634
2015-09-28,41329
2015-09-29,41329
2015-09-30,41247
2015-10-05,42057
2015-10-06,42153
2015-10-07,42153
2015-10-08,42304
2015-10-09,43539
2015-10-10,43539
2015-10-11,44353
2015-10-12,44353
2015-10-13,44145
2015-10-14,44145
2015-10-15,44087
2015-10-16,43993
2015-10-17,43993
2015-10-18,42998
2015-10-19,41673
2015-10-20,41673
2015-10-22,40546
2015-10-23,39604
2015-10-24,39604
2015-10-25,39799
2015-10-26,39799
2015-10-27,40380
2015-10-29,41236
2015-10-30,41236
2015-10-31,41292
2015-11-01,41292
2015-11-02,41292
2015-11-03,41292
2015-11-04,41798
2015-11-05,42710
2015-11-06,42710
2015-11-07,43510
2015-11-08,43510
2015-11-09,44316
2015-11-10,44316
2015-11-11,46046
2015-11-12,46046
2015-11-13,48096
2015-11-14,48096
2015-11-15,50436
2015-11-16,50436
2015-11-17,52640
2015-11-18,52640
2015-11-19,54068
2015-11-20,54068
2015-11-21,54750
2015-11-22,54760
2015-11-23,54760
2015-11-24,54760
2015-11-25,55022
2015-11-26,55022
2015-11-27,54917
2015-11-28,54917
2015-11-29,54243
2015-11-30,54243
2015-12-01,53361
2015-12-02,53361
2015-12-03,52867
2015-12-04,52867
2015-12-05,52870
2015-12-06,53165
2015-12-07,53165
2015-12-08,53210
2015-12-09,52218
2015-12-10,52218
2015-12-11,52131
2015-12-12,52131
2015-12-13,50679
2015-12-14,50679
2015-12-15,50443
2015-12-16,50443
2015-12-17,50381
2015-12-18,50965
2015-12-19,50965
2015-12-20,51730
2015-12-21,51730
2015-12-22,52049
2015-12-23,52049
2015-12-24,51586
2015-12-25,51586
2015-12-26,50801
2015-12-27,50981
2015-12-28,50981
2015-12-29,51023
2015-12-30,51023
2015-12-31,51003
2016-01-01,51003
2016-01-02,51853
2016-01-03,52634
2016-01-04,52799
2016-01-05,52799
2016-01-06,53822
2016-01-07,53822
2016-01-08,54182
2016-01-09,54182
2016-01-10,54545
2016-01-11,54545
2016-01-12,54214
2016-01-13,54214
2016-01-14,53784
2016-01-15,53163
2016-01-16,53163
2016-01-17,52929
2016-01-18,51267
2016-01-19,51267
2016-01-20,49426
2016-01-21,49426
2016-01-22,48660
2016-01-23,48660
2016-01-24,46993
2016-01-25,46675
2016-01-26,46675
2016-01-27,45871
2016-01-28,45871
2016-01-29,45461
2016-01-30,45461
2016-01-31,44650
2016-02-01,43519
2016-02-02,43519
2016-02-03,43520
2016-02-04,43520
2016-02-05,44966
2016-02-06,45940
2016-02-07,45940
2016-02-08,45322
2016-02-09,45322
2016-02-10,44172
2016-02-11,44172
2016-02-12,43218
2016-02-13,41320
2016-02-14,41320
2016-02-15,40389
2016-02-16,40389
2016-02-17,39203
2016-02-18,39203
2016-02-19,38054
2016-02-20,38054
2016-02-21,37573
2016-02-22,37573
2016-02-23,36780
2016-02-24,36780
2016-02-25,36857
2016-02-26,36857
2016-02-27,36563
2016-02-28,36563
2016-02-29,36548
2016-03-01,37223
2016-03-02,37223
2016-03-03,37967
2016-03-04,37967
2016-03-05,37966
2016-03-06,37487
2016-03-07,37487
2016-03-08,36247
2016-03-09,35847
2016-03-10,36224
2016-03-11,36224
2016-03-12,36774
2016-03-13,36774
2016-03-14,36592
2016-03-15,36592
2016-03-16,35597
2016-03-17,35597
2016-03-18,34963
2016-03-19,34963
2016-03-20,34314
2016-03-21,34314
2016-03-22,34554
2016-03-23,34757
2016-03-24,34757
2016-03-25,34216
2016-03-26,32874
2016-03-27,32874
2016-03-28,32108
2016-03-29,32805
2016-03-30,32805
2016-03-31,33738
2016-04-01,34268
2016-04-02,34268
2016-04-03,34852
2016-04-04,36395
2016-04-05,36395
2016-04-06,37820
2016-04-07,37820
2016-04-08,38790
2016-04-09,38591
2016-04-10,39175
2016-04-11,39175
2016-04-12,39108
2016-04-13,39108
2016-04-14,39274
2016-04-15,39583
2016-04-16,39583
2016-04-17,38934
2016-04-18,38522
2016-04-19,38522
2016-04-20,38205
2016-04-21,38205
2016-04-22,36993
2016-04-23,35534
2016-04-24,34730
2016-04-25,33235
2016-04-26,33235
2016-04-27,32141
2016-04-28,32141
2016-04-29,31283
2016-04-30,30223
2016-05-01,30223
2016-05-02,29602
2016-05-03,30197
2016-05-04,30197
2016-05-05,30276
2016-05-06,30276
2016-05-07,29727
2016-05-08,29727
2016-05-09,29603
2016-05-10,28891
2016-05-11,28891
2016-05-12,28603
2016-05-13,28253
2016-05-14,28039
2016-05-15,27981
2016-05-16,27981
2016-05-17,28060
2016-05-18,28361
2016-05-19,28361
2016-05-22,29659
2016-05-23,29722
2016-05-24,30366
2016-05-25,30366
2016-05-26,31086
2016-05-27,32451
2016-05-28,32451
2016-05-29,34074
2016-05-30,34074
2016-05-31,35749
2016-06-01,37440
2016-06-02,39222
2016-06-03,39222
2016-06-04,41184
2016-06-05,41184
2016-06-06,43244
2016-06-07,43244
2016-06-08,45407
2016-06-09,47453
2016-06-10,49524
2016-06-11,49524
2016-06-12,50286
2016-06-13,51442
2016-06-14,52544
2016-06-15,52544
