date_obj,Initiate%20harness%20m price
2015-03-26,42868
2015-03-27,42868
2015-03-28,42868
2015-03-29,42868
2015-03-30,42868
2015-03-31,40727
2015-04-01,40727
2015-04-02,40727
2015-04-03,40727
2015-04-04,40727
2015-04-05,40727
2015-04-06,40727
2015-04-07,38771
2015-04-08,38771
2015-04-09,38771
2015-04-10,38771
2015-04-11,38771
2015-04-12,38771
2015-04-13,38771
2015-04-14,36832
2015-04-15,36832
2015-04-16,36832
2015-04-17,36832
2015-04-18,36832
2015-04-19,36832
2015-04-20,34994
2015-04-21,34994
2015-04-22,34994
2015-04-23,34994
2015-04-24,34994
2015-04-25,34994
2015-04-26,34994
2015-04-27,33254
2015-04-28,33254
2015-04-29,33254
2015-04-30,33254
2015-05-01,33254
2015-05-02,33254
2015-05-03,33254
2015-05-04,31591
2015-05-05,31591
2015-05-06,31591
2015-05-07,31591
2015-05-08,31591
2015-05-09,31591
2015-05-10,31591
2015-05-11,30228
2015-05-12,30228
2015-05-13,30228
2015-05-14,30228
2015-05-15,30228
2015-05-16,30228
2015-05-17,30228
2015-05-18,28737
2015-05-19,28737
2015-05-20,28737
2015-05-21,28737
2015-05-22,28737
2015-05-23,28737
2015-05-24,28737
2015-05-25,28737
2015-05-26,27519
2015-05-27,27519
2015-05-28,27519
2015-05-29,27519
2015-05-30,27519
2015-05-31,26248
2015-06-01,26248
2015-06-02,26248
2015-06-03,26248
2015-06-04,26248
2015-06-05,26248
2015-06-06,24994
2015-06-07,24994
2015-06-08,24994
2015-06-09,24994
2015-06-10,24994
2015-06-11,24994
2015-06-12,24318
2015-06-13,24318
2015-06-14,24318
2015-06-15,24318
2015-06-16,24318
2015-06-17,23868
2015-06-18,23868
2015-06-19,23868
2015-06-20,23868
2015-06-21,23868
2015-06-22,23868
2015-06-23,23769
2015-06-24,23769
2015-06-25,23769
2015-06-26,23769
2015-06-27,23769
2015-06-28,22629
2015-06-29,22629
2015-06-30,22629
2015-07-01,22629
2015-07-02,22629
2015-07-03,22629
2015-07-04,23065
2015-07-05,23065
2015-07-06,23065
2015-07-07,23065
2015-07-08,23065
2015-07-09,23065
2015-07-10,23067
2015-07-11,23067
2015-07-12,23067
2015-07-13,23067
2015-07-14,23067
2015-07-15,23067
2015-07-16,23700
2015-07-17,23700
2015-07-18,23700
2015-07-19,23700
2015-07-20,23700
2015-07-21,24274
2015-07-22,24274
2015-07-23,24274
2015-07-24,24274
2015-07-25,24274
2015-07-26,24130
2015-07-27,24130
2015-07-28,24130
2015-07-29,24130
2015-07-30,24130
2015-07-31,24130
2015-08-01,24389
2015-08-02,24389
2015-08-03,24389
2015-08-04,24389
2015-08-05,24389
2015-08-06,24493
2015-08-07,24493
2015-08-08,24493
2015-08-09,24493
2015-08-10,24493
2015-08-11,25095
2015-08-12,25095
2015-08-13,25095
2015-08-14,25095
2015-08-15,25095
2015-08-16,25095
2015-08-17,25816
2015-08-18,25816
2015-08-19,25816
2015-08-20,25816
2015-08-21,25816
2015-08-22,24869
2015-08-23,24869
2015-08-24,24869
2015-08-25,24869
2015-08-26,24869
2015-08-27,25016
2015-08-28,25016
2015-08-29,25016
2015-08-30,25016
2015-08-31,25016
2015-09-01,25016
2015-09-02,25016
2015-09-03,23971
2015-09-04,23971
2015-09-05,23971
2015-09-06,23971
2015-09-07,23971
2015-09-08,24354
2015-09-09,24354
2015-09-10,24354
2015-09-11,24354
2015-09-12,24354
2015-09-13,23947
2015-09-14,23947
2015-09-15,23947
2015-09-16,23947
2015-09-17,23947
2015-09-18,23947
2015-09-19,24170
2015-09-20,24170
2015-09-21,24170
2015-09-22,24170
2015-09-23,24170
2015-09-24,24170
2015-09-25,25103
2015-09-27,25103
2015-09-28,25103
2015-09-29,25103
2015-09-30,25103
2015-10-05,24907
2015-10-06,24907
2015-10-07,24907
2015-10-08,24554
2015-10-09,24554
2015-10-10,24554
2015-10-11,24554
2015-10-12,24554
2015-10-13,24554
2015-10-14,24554
2015-10-15,24144
2015-10-16,24144
2015-10-17,24144
2015-10-18,24144
2015-10-19,24144
2015-10-20,24144
2015-10-22,23780
2015-10-23,23780
2015-10-24,23780
2015-10-25,23780
2015-10-26,23780
2015-10-27,23780
2015-10-29,23484
2015-10-30,23484
2015-10-31,23484
2015-11-01,23484
2015-11-02,23484
2015-11-03,23484
2015-11-04,23484
2015-11-05,23140
2015-11-06,23140
2015-11-07,23140
2015-11-08,23140
2015-11-09,23140
2015-11-10,23140
2015-11-11,23140
2015-11-12,23140
2015-11-13,23741
2015-11-14,23741
2015-11-15,23741
2015-11-16,23741
2015-11-17,23741
2015-11-18,23741
2015-11-19,23741
2015-11-20,24206
2015-11-21,24206
2015-11-22,24206
2015-11-23,24206
2015-11-24,24206
2015-11-25,24206
2015-11-26,24206
2015-11-27,24351
2015-11-28,24351
2015-11-29,24351
2015-11-30,24351
2015-12-01,24351
2015-12-02,24351
2015-12-03,24053
2015-12-04,24053
2015-12-05,24053
2015-12-06,24053
2015-12-07,24053
2015-12-08,24053
2015-12-09,23944
2015-12-10,23944
2015-12-11,23944
2015-12-12,23944
2015-12-13,23944
2015-12-14,23944
2015-12-15,23924
2015-12-16,23924
2015-12-17,23924
2015-12-18,23924
2015-12-19,23924
2015-12-20,23800
2015-12-21,23800
