date_obj,Tormented%20bracelet price
2016-05-05,28023361
2016-05-06,28023361
2016-05-07,28023361
2016-05-08,28023361
2016-05-09,26771284
2016-05-10,26771284
2016-05-11,25436877
2016-05-12,25436877
2016-05-13,24165033
2016-05-14,24165033
2016-05-15,22956781
2016-05-16,22956781
2016-05-17,21836908
2016-05-18,21836908
2016-05-19,20745062
2016-05-22,19708037
2016-05-23,18722635
2016-05-24,18722635
2016-05-25,17798653
2016-05-26,17798653
2016-05-27,16908720
2016-05-28,16908720
2016-05-29,16515281
2016-05-30,16515281
2016-05-31,16515281
2016-06-01,15911761
2016-06-02,15911761
2016-06-03,16023377
2016-06-04,16023377
2016-06-05,16239010
2016-06-06,16797437
2016-06-07,16797437
2016-06-08,17231125
2016-06-09,17231125
2016-06-10,17427072
2016-06-11,17427072
2016-06-12,17666735
2016-06-13,17666735
2016-06-14,18075678
2016-06-15,18075678
2016-06-16,17892656
2016-06-17,17981828
2016-06-18,17981828
2016-06-19,18485139
2016-06-20,18485139
2016-06-21,19293164
2016-06-22,19293164
2016-06-23,18568754
2016-06-24,18568754
2016-06-25,18050697
2016-06-26,18050697
2016-06-27,18050697
2016-06-28,17542970
2016-06-29,17542970
2016-06-30,16693489
2016-07-01,16693489
2016-07-02,16960353
2016-07-03,16960353
2016-07-04,17059443
2016-07-05,17059443
2016-07-06,17467227
2016-07-07,17467227
2016-07-08,17612535
2016-07-09,17612535
2016-07-10,18021713
2016-07-11,18021713
2016-07-12,17895744
2016-07-13,17895744
2016-07-14,17912575
2016-07-15,17912575
2016-07-16,18185807
2016-07-17,18185807
2016-07-18,18290025
2016-07-24,18179410
2016-07-25,18179410
2016-07-26,18221988
2016-07-27,18221988
2016-07-28,18433574
2016-07-29,18624366
2016-07-30,18624366
2016-07-31,18975521
2016-08-01,18975521
2016-08-02,19197474
2016-08-03,19197474
2016-08-04,19320567
2016-08-05,19320567
2016-08-06,18889249
2016-08-07,18889249
2016-08-08,18516024
2016-08-09,18390357
2016-08-10,18390357
2016-08-11,18365636
2016-08-12,18365636
2016-08-13,18686694
2016-08-14,18686694
2016-08-15,18771914
2016-08-16,18771914
2016-08-17,18523443
2016-08-18,18523443
2016-08-19,17786683
2016-08-20,17471432
2016-08-21,17471432
2016-08-22,17016318
2016-08-23,16274119
2016-08-24,16274119
2016-08-25,16242408
2016-08-26,16242408
2016-08-28,17054529
2016-08-31,18231672
2016-09-01,18364494
2016-09-02,18364494
2016-09-03,18419357
2016-09-04,18774554
2016-09-05,18774554
2016-09-06,18450899
2016-09-07,18450899
2016-09-08,18242421
2016-09-09,18242421
2016-09-10,17714384
2016-09-11,17714384
2016-09-12,16893629
2016-09-13,16893629
2016-09-14,16080640
2016-09-15,15602022
2016-09-16,15602022
2016-09-17,15997952
2016-09-18,15997952
2016-09-19,16671515
2016-09-20,16671515
2016-09-21,16860054
2016-09-22,16567825
2016-09-23,16567825
2016-09-24,16780357
2016-09-25,16780357
2016-09-26,16664195
2016-09-27,16664195
2016-09-28,16439416
2016-09-29,16439416
2016-09-30,15866913
2016-10-01,15866913
2016-10-02,16060935
2016-10-03,16060935
2016-10-04,15726425
2016-10-05,15726425
2016-10-06,15363459
2016-10-07,15363459
2016-10-08,15180782
2016-10-09,15180782
2016-10-10,15690845
2016-10-11,15690845
2016-10-12,15580848
2016-10-13,15580848
2016-10-14,15709402
2016-10-15,15793321
2016-10-16,15793321
2016-10-17,15868783
2016-10-18,15868783
2016-10-19,15926396
2016-10-20,15926396
2016-10-21,15997814
2016-10-22,15997814
2016-10-23,16321208
2016-10-24,16253105
2016-10-25,16253105
2016-10-26,16369892
2016-10-27,16369892
2016-10-28,16124122
2016-10-29,16081067
2016-10-30,16081067
2016-10-31,15720821
2016-11-01,15720821
2016-11-02,15557415
2016-11-03,15557415
2016-11-04,15645984
2016-11-05,15645984
2016-11-06,15832559
2016-11-07,15832559
2016-11-08,15516058
2016-11-09,15501708
2016-11-10,14996574
2016-11-11,14996574
2016-11-12,14745430
2016-11-13,14745430
2016-11-14,14741505
2016-12-08,15096567
2016-12-09,14531819
2016-12-10,14531819
