date_obj,Ornate%20maul%20handle price
2019-09-04,375000
2019-09-05,413352
2019-09-06,434020
2019-09-07,455721
2019-09-08,478508
2019-09-09,497263
2019-09-10,491180
2019-09-11,497958
2019-09-12,505429
2019-09-13,504940
2019-09-14,501471
2019-09-15,509106
2019-09-16,517843
2019-09-17,541658
2019-09-18,551989
2019-09-19,561816
2019-09-20,589371
2019-09-21,593563
2019-09-22,598015
2019-09-23,597856
2019-09-24,586628
2019-09-25,580307
2019-09-26,577708
2019-09-27,562065
2019-09-28,561918
2019-09-29,556877
2019-09-30,554659
2019-10-01,556465
2019-10-02,579304
2019-10-03,601561
2019-10-04,620860
2019-10-05,625165
2019-10-06,629922
2019-10-07,640707
2019-10-08,641407
2019-10-09,630524
2019-10-10,623392
2019-10-11,601938
2019-10-12,582994
2019-10-13,567682
2019-10-14,571640
2019-10-15,581126
2019-10-16,590728
2019-10-17,587613
2019-10-18,616421
2019-10-19,647243
2019-10-20,679606
2019-10-21,713476
2019-10-22,749150
2019-10-23,749798
2019-10-24,712308
2019-10-25,738901
2019-10-26,775847
2019-10-27,814640
2019-10-28,855291
2019-10-29,891636
2019-10-30,934322
2019-10-31,980270
2019-11-01,1029116
2019-11-02,1080572
2019-11-03,1134576
2019-11-04,1145431
2019-11-05,1088201
2019-11-06,1073045
2019-11-07,1019392
2019-11-08,968422
2019-11-09,920000
2019-11-10,874000
2019-11-11,830300
2019-11-12,788785
2019-11-13,749345
2019-11-14,711877
2019-11-15,676283
2019-11-16,642468
2019-11-17,613813
2019-11-18,598057
2019-11-19,601125
2019-11-20,601890
2019-11-21,600646
2019-11-22,589021
2019-11-23,564746
2019-11-24,542679
2019-11-25,517884
2019-11-26,503738
2019-11-27,509804
2019-11-28,506220
2019-11-29,512707
2019-11-30,510077
2019-12-01,526600
2019-12-02,536396
2019-12-03,515916
2019-12-04,505153
2019-12-05,504254
2019-12-06,481743
2019-12-07,468672
2019-12-08,471853
2019-12-09,463237
2019-12-10,453072
2019-12-11,453782
2019-12-12,451049
2019-12-13,452989
2019-12-14,468826
2019-12-15,491203
2019-12-16,513427
2019-12-17,498375
2019-12-18,476332
2019-12-19,456290
2019-12-20,448036
2019-12-21,440804
2019-12-22,439149
2019-12-23,432466
2019-12-24,419440
2019-12-25,423181
2019-12-26,423033
2019-12-27,413647
2019-12-28,413659
2019-12-29,411274
2019-12-30,414399
2019-12-31,417892
2020-01-01,432333
2020-01-02,450909
2020-01-03,469781
2020-01-04,460565
2020-01-05,463018
2020-01-06,452458
2020-01-07,462415
2020-01-08,481891
2020-01-09,478695
2020-01-10,486561
2020-01-11,484391
2020-01-12,472694
2020-01-13,459179
2020-01-14,438550
2020-01-15,417918
2020-01-16,417017
2020-01-17,419260
2020-01-18,417868
2020-01-19,410841
2020-01-20,406338
2020-01-21,394722
2020-01-22,402423
2020-01-23,422534
2020-01-24,443661
2020-01-25,465845
2020-01-26,489138
2020-01-27,513595
2020-01-28,539275
2020-01-29,519237
2020-01-30,494422
2020-01-31,487933
2020-02-01,492056
2020-02-02,515671
2020-02-03,530213
2020-02-04,527451
2020-02-05,540125
2020-02-06,528572
2020-02-07,533368
2020-02-08,538712
2020-02-09,547751
2020-02-10,556621
2020-02-11,553301
2020-02-12,544620
2020-02-13,553634
2020-02-14,580496
2020-02-15,606737
2020-02-16,623602
2020-02-17,652054
2020-02-18,684657
2020-02-19,718842
2020-02-20,753054
2020-02-21,790674
2020-02-22,830186
2020-02-23,857908
2020-02-24,876882
2020-02-25,871264
2020-02-26,870280
2020-02-27,881576
2020-02-28,883991
2020-02-29,872185
2020-03-01,873530
2020-03-02,836181
2020-03-03,794793
2020-03-04,758366
2020-03-05,726409
2020-03-06,700726
2020-03-07,718531
2020-03-08,727833
2020-03-09,744660
2020-03-10,781793
2020-03-11,791788
2020-03-12,768769
2020-03-13,742540
2020-03-14,715759
2020-03-15,708745
2020-03-16,717967
2020-03-17,747625
2020-03-18,750424
2020-03-19,723339
2020-03-20,689125
2020-03-21,654668
2020-03-22,621940
2020-03-23,590843
2020-03-24,561300
2020-03-25,533235
2020-03-26,506573
2020-03-27,490298
2020-03-28,490139
2020-03-29,499165
2020-03-30,518723
2020-03-31,511933
2020-04-01,508489
2020-04-02,506274
2020-04-03,515661
2020-04-04,528308
2020-04-05,520463
2020-04-06,517620
2020-04-07,516000
2020-04-08,518528
2020-04-09,514680
2020-04-10,497164
2020-04-11,477652
2020-04-12,464833
2020-04-13,468209
2020-04-14,477320
2020-04-15,478394
2020-04-16,478013
2020-04-17,469653
2020-04-18,454116
2020-04-19,433231
2020-04-20,422122
2020-04-21,434543
2020-04-22,455267
2020-04-23,478031
2020-04-24,501933
2020-04-25,527030
2020-04-26,553382
2020-04-27,581052
2020-04-28,610105
2020-04-29,640611
2020-04-30,672635
2020-05-01,706267
2020-05-02,741581
2020-05-03,778661
2020-05-04,817595
2020-05-05,858475
2020-05-06,901399
2020-05-07,946469
2020-05-08,993793
2020-05-09,1043401
2020-05-10,1095353
2020-05-11,1150121
2020-05-12,1207628
2020-05-13,1209088
