date_obj,Half%20full%20wine%20jug price
2015-03-26,52897
2015-03-27,52897
2015-03-28,50364
2015-03-29,50364
2015-03-30,50364
2015-03-31,50364
2015-04-01,50364
2015-04-02,48122
2015-04-03,48122
2015-04-04,48122
2015-04-05,48122
2015-04-06,48122
2015-04-07,45865
2015-04-08,45865
2015-04-09,45865
2015-04-10,45865
2015-04-11,45865
2015-04-12,45865
2015-04-13,43695
2015-04-14,43695
2015-04-15,43695
2015-04-16,43695
2015-04-17,43695
2015-04-18,43695
2015-04-19,41647
2015-04-20,41647
2015-04-21,41647
2015-04-22,41647
2015-04-23,41647
2015-04-24,41647
2015-04-25,41647
2015-04-26,41647
2015-04-27,39665
2015-04-28,39665
2015-04-29,39665
2015-04-30,39665
2015-05-01,39665
2015-05-02,39665
2015-05-03,39665
2015-05-04,37755
2015-05-05,37755
2015-05-06,37755
2015-05-07,37755
2015-05-08,37755
2015-05-09,37755
2015-05-10,37755
2015-05-11,35950
2015-05-12,35950
2015-05-13,35950
2015-05-14,35950
2015-05-15,35950
2015-05-16,35950
2015-05-17,35950
2015-05-18,35950
2015-05-19,34227
2015-05-20,34227
2015-05-21,34227
2015-05-22,34227
2015-05-23,34227
2015-05-24,34227
2015-05-25,34227
2015-05-26,34227
2015-05-27,34227
2015-05-28,32515
2015-05-29,32515
2015-05-30,32515
2015-05-31,32515
2015-06-01,32515
2015-06-02,30930
2015-06-03,30930
2015-06-04,30930
2015-06-05,30930
2015-06-06,30930
2015-06-07,29502
2015-06-08,29502
2015-06-09,29502
2015-06-10,29502
2015-06-11,29502
2015-06-12,29502
2015-06-13,28277
2015-06-14,28277
2015-06-15,28277
2015-06-16,28277
2015-06-17,28277
2015-06-18,26955
2015-06-19,25779
2015-06-20,24490
2015-06-21,23399
2015-06-22,22229
2015-06-23,21186
2015-06-24,20179
2015-06-25,20179
2015-06-26,19271
2015-06-27,19271
2015-06-28,18324
2015-06-29,18324
2015-06-30,18324
2015-07-01,17508
2015-07-02,17508
2015-07-03,17508
2015-07-04,16702
2015-07-05,16702
2015-07-06,16702
2015-07-07,16702
2015-07-08,15925
2015-07-09,15925
2015-07-10,15925
2015-07-11,15925
2015-07-12,15925
2015-07-13,15155
2015-07-14,15155
2015-07-15,15155
2015-07-16,15155
2015-07-17,14435
2015-07-18,14435
2015-07-19,14435
2015-07-20,14435
2015-07-21,14435
2015-07-22,13713
2015-07-23,13713
2015-07-24,13713
2015-07-25,13713
2015-07-26,13713
2015-07-27,13371
2015-07-28,13371
2015-07-29,13371
2015-07-30,13371
2015-07-31,13371
2015-08-01,13371
2015-08-02,13451
2015-08-03,13451
2015-08-04,13451
2015-08-05,13451
2015-08-06,13451
2015-08-07,13324
2015-08-08,13324
2015-08-09,13324
2015-08-10,13324
2015-08-11,13904
2015-08-12,13904
2015-08-13,13904
2015-08-14,13904
2015-08-15,13904
2015-08-16,13904
2015-08-17,14537
2015-08-18,14537
2015-08-19,14537
2015-08-20,14537
2015-08-21,14537
2015-08-22,14537
2015-08-23,15179
2015-08-24,15179
2015-08-25,15179
2015-08-26,15179
2015-08-27,15179
2015-08-28,15888
2015-08-29,15888
2015-08-30,15888
2015-08-31,15888
2015-09-01,15888
2015-09-02,16578
2015-09-03,16578
2015-09-04,16578
2015-09-05,16578
2015-09-06,16578
2015-09-07,17360
2015-09-08,17360
2015-09-09,17360
2015-09-10,17360
2015-09-11,17360
2015-09-12,18205
2015-09-13,18205
2015-09-14,18205
2015-09-15,18205
2015-09-16,19064
2015-09-17,19064
2015-09-18,19064
2015-09-19,19064
2015-09-20,19064
2015-09-21,19637
2015-09-22,19637
2015-09-23,19637
2015-09-24,19637
2015-09-25,19637
2015-09-27,19637
2015-09-28,20576
2015-09-29,20576
2015-09-30,20576
2015-10-05,21498
2015-10-06,21498
2015-10-07,21498
2015-10-08,21498
2015-10-09,21498
2015-10-10,21498
2015-10-11,21498
2015-10-12,22530
2015-10-13,22530
2015-10-14,22530
2015-10-15,22530
2015-10-16,22530
2015-10-17,22530
2015-10-18,22530
2015-10-19,22530
2015-10-20,23464
2015-10-22,23464
2015-10-23,23464
2015-10-24,23464
2015-10-25,23464
2015-10-26,23464
2015-10-27,23464
2015-10-29,24050
2015-10-30,24050
2015-10-31,24050
2015-11-01,24050
2015-11-02,24050
2015-11-03,24050
2015-11-04,24050
2015-11-05,24050
2015-11-06,25091
2015-11-07,25091
2015-11-08,25091
2015-11-09,25091
2015-11-10,25091
2015-11-11,25091
2015-11-12,25091
2015-11-13,25091
2015-11-14,25091
2015-11-15,25091
2015-11-16,25405
2015-11-17,25405
2015-11-18,25405
2015-11-19,25405
2015-11-20,25405
2015-11-21,25405
2015-11-22,25405
2015-11-23,25405
2015-11-24,25405
2015-11-25,25405
2015-11-26,24909
2015-11-27,24909
2015-11-28,24909
2015-11-29,24909
2015-11-30,24909
2015-12-01,24909
2015-12-02,24909
2015-12-03,24909
2015-12-04,24909
2015-12-05,24909
2015-12-06,24169
2015-12-07,24169
2015-12-08,24169
2015-12-09,24169
2015-12-10,24169
2015-12-11,24169
2015-12-12,24169
2015-12-13,24169
2015-12-14,24169
2015-12-15,23412
2015-12-16,23412
2015-12-17,23412
2015-12-18,23412
2015-12-19,23412
2015-12-20,23412
2015-12-21,23469
2015-12-22,23469
2015-12-23,23469
2015-12-24,23469
2015-12-25,23469
2015-12-26,23469
2015-12-27,23469
2015-12-28,23469
