date_obj,Fedora price
2015-03-26,56260
2015-03-27,56260
2015-03-28,58461
2015-03-29,60271
2015-03-30,62844
2015-03-31,62844
2015-04-01,65987
2015-04-02,69134
2015-04-03,72421
2015-04-04,75640
2015-04-05,75640
2015-04-06,79332
2015-04-07,82302
2015-04-08,82302
2015-04-09,85438
2015-04-10,85543
2015-04-11,85640
2015-04-12,85640
2015-04-13,85346
2015-04-14,85346
2015-04-15,82107
2015-04-16,82107
2015-04-17,78144
2015-04-18,74579
2015-04-19,71217
2015-04-20,71217
2015-04-21,67656
2015-04-22,64350
2015-04-23,61132
2015-04-24,58433
2015-04-25,55637
2015-04-26,55637
2015-04-27,53415
2015-04-28,51003
2015-04-29,51003
2015-04-30,48464
2015-05-01,46211
2015-05-02,44173
2015-05-03,44173
2015-05-04,42519
2015-05-05,42519
2015-05-06,40647
2015-05-07,39884
2015-05-08,39884
2015-05-09,38179
2015-05-10,36457
2015-05-11,36457
2015-05-12,34990
2015-05-13,34990
2015-05-14,33442
2015-05-15,33442
2015-05-16,31769
2015-05-17,30180
2015-05-18,28747
2015-05-19,27459
2015-05-20,27459
2015-05-21,26194
2015-05-22,24891
2015-05-23,24617
2015-05-24,25234
2015-05-25,26187
2015-05-26,26187
2015-05-27,27038
2015-05-28,26422
2015-05-29,25175
2015-05-30,24553
2015-05-31,24271
2015-06-01,24086
2015-06-02,24086
2015-06-03,25114
2015-06-04,25114
2015-06-05,26233
2015-06-06,26070
2015-06-07,26237
2015-06-08,26237
2015-06-09,26275
2015-06-10,26275
2015-06-11,26384
2015-06-12,26384
2015-06-13,25835
2015-06-14,25835
2015-06-15,24876
2015-06-16,24401
2015-06-17,24401
2015-06-18,24260
2015-06-19,24260
2015-06-20,23380
2015-06-21,23380
2015-06-22,22815
2015-06-23,22815
2015-06-24,21956
2015-06-25,21956
2015-06-26,21645
2015-06-27,21645
2015-06-28,21877
2015-06-29,21877
2015-06-30,21277
2015-07-01,20964
2015-07-02,20964
2015-07-03,20456
2015-07-04,20456
2015-07-05,20310
2015-07-06,20310
2015-07-07,19956
2015-07-08,19956
2015-07-09,20335
2015-07-10,20335
2015-07-11,20787
2015-07-12,20787
2015-07-13,20470
2015-07-14,20470
2015-07-15,20757
2015-07-16,20757
2015-07-17,20639
2015-07-18,20639
2015-07-19,20257
2015-07-20,20006
2015-07-21,20006
2015-07-22,19964
2015-07-23,19964
2015-07-24,19730
2015-07-25,19730
2015-07-26,20152
2015-07-27,20152
2015-07-28,20418
2015-07-29,19835
2015-07-30,19835
2015-07-31,20097
2015-08-01,20097
2015-08-02,20141
2015-08-03,20141
2015-08-04,20595
2015-08-05,20595
2015-08-06,21098
2015-08-07,21098
2015-08-08,20964
2015-08-09,20823
2015-08-10,20823
2015-08-11,21710
2015-08-12,21710
2015-08-13,21969
2015-08-14,21403
2015-08-15,21403
2015-08-16,21786
2015-08-17,21786
2015-08-18,22167
2015-08-19,22167
2015-08-20,23217
2015-08-21,24320
2015-08-22,24320
2015-08-23,25271
2015-08-24,26094
2015-08-25,26094
2015-08-26,26094
2015-08-27,25838
2015-08-28,25838
2015-08-29,25349
2015-08-30,25349
2015-08-31,24852
2015-09-01,24852
2015-09-02,24068
2015-09-03,23240
2015-09-04,22740
2015-09-05,22740
2015-09-06,22787
2015-09-07,22787
2015-09-08,22787
2015-09-09,22787
2015-09-10,22753
2015-09-11,22402
2015-09-12,22402
2015-09-13,22227
2015-09-14,22227
2015-09-15,22185
2015-09-16,22185
2015-09-17,21801
2015-09-18,21801
2015-09-19,21482
2015-09-20,21482
2015-09-21,20474
2015-09-22,20474
2015-09-23,19529
2015-09-24,19529
2015-09-25,19219
2015-09-27,18473
2015-09-28,17704
2015-09-29,17704
2015-09-30,17653
2015-10-05,17038
2015-10-06,17038
2015-10-07,16284
2015-10-08,16284
2015-10-09,15649
2015-10-10,15649
2015-10-11,15611
2015-10-12,15611
2015-10-13,14999
2015-10-14,14999
2015-10-15,14844
2015-10-16,14844
2015-10-17,14547
2015-10-18,14547
2015-10-19,14480
2015-10-20,14480
2015-10-22,14746
2015-10-23,14146
2015-10-24,14146
2015-10-25,14475
2015-10-26,14475
2015-10-27,15019
2015-10-29,15492
2015-10-30,15492
2015-10-31,15447
2015-11-01,15447
2015-11-02,15673
2015-11-03,15673
2015-11-04,15673
2015-11-05,15814
2015-11-06,15814
2015-11-07,15901
2015-11-08,15901
2015-11-09,15901
2015-11-10,15327
2015-11-11,15327
2015-11-12,14690
2015-11-13,14690
2015-11-14,14339
2015-11-15,14339
2015-11-16,14596
2015-11-17,14596
2015-11-18,14596
2015-11-19,15151
2015-11-20,15151
2015-11-21,15151
2015-11-22,15637
2015-11-23,15637
2015-11-24,15637
2015-11-25,16214
2015-11-26,16214
2015-11-27,16214
2015-11-28,16496
2015-11-29,16496
2015-11-30,17001
2015-12-01,17001
2015-12-02,17529
2015-12-03,17529
2015-12-04,18002
2015-12-05,18002
2015-12-06,18256
2015-12-07,18256
2015-12-08,18256
2015-12-09,18234
2015-12-10,18234
2015-12-11,18324
2015-12-12,18324
2015-12-13,17880
2015-12-14,17880
2015-12-15,18134
2015-12-16,18134
2015-12-17,18297
2015-12-18,18297
2015-12-19,18054
2015-12-20,18054
2015-12-21,18003
2015-12-22,18003
2015-12-23,17776
2015-12-24,17776
2015-12-25,17545
2015-12-26,17545
2015-12-27,17457
2015-12-28,17457
2015-12-29,17101
2015-12-30,17101
2015-12-31,16245
2016-01-01,16245
2016-01-02,15477
2016-01-03,14775
2016-01-04,14775
2016-01-05,14323
2016-01-06,14323
2016-01-07,13945
2016-01-08,13945
2016-01-09,13748
2016-01-10,13748
2016-01-11,13348
2016-01-12,12948
2016-01-13,12948
2016-01-14,12623
2016-01-15,12623
2016-01-16,12422
2016-01-17,12422
2016-01-18,12274
2016-01-19,12274
2016-01-20,12604
2016-01-21,12604
2016-01-22,12593
2016-01-23,12593
2016-01-24,12509
2016-01-25,12276
2016-01-26,12276
2016-01-27,12012
2016-01-28,12012
2016-01-29,11896
2016-01-30,11896
2016-01-31,12156
2016-02-01,12156
2016-02-02,12653
2016-02-03,12653
2016-02-04,12301
2016-02-05,12301
2016-02-06,12597
2016-02-07,12597
2016-02-08,12545
2016-02-09,12545
2016-02-10,12209
2016-02-11,12209
2016-02-12,12192
2016-02-13,11798
2016-02-14,11798
2016-02-15,11343
2016-02-16,11343
2016-02-17,10842
2016-02-18,10842
2016-02-19,10892
2016-02-20,10892
2016-02-21,11231
2016-02-22,11231
2016-02-23,11647
2016-02-24,11647
2016-02-25,12140
2016-02-26,12140
2016-02-27,12062
2016-02-28,12062
2016-02-29,11653
2016-03-01,11653
2016-03-02,11204
2016-03-03,11204
2016-03-04,11311
2016-03-05,11311
2016-03-06,11620
2016-03-07,11620
2016-03-08,12098
2016-03-09,12098
2016-03-10,12416
2016-03-11,12416
2016-03-12,12875
2016-03-13,12875
2016-03-14,12854
2016-03-15,12854
2016-03-16,13140
2016-03-17,13140
2016-03-18,13425
2016-03-19,13425
2016-03-20,13638
2016-03-21,13638
2016-03-22,13944
2016-03-23,13944
2016-03-24,14376
2016-03-25,14457
2016-03-26,14457
2016-03-27,14850
2016-03-28,14850
2016-03-29,15106
2016-03-30,15106
2016-03-31,15168
2016-04-01,15168
2016-04-02,14494
2016-04-03,14494
2016-04-04,14552
2016-04-05,14552
2016-04-06,14957
2016-04-07,14957
2016-04-08,15258
2016-04-09,15258
2016-04-10,15435
2016-04-11,15435
2016-04-12,15066
2016-04-13,15066
2016-04-14,14554
2016-04-15,13878
2016-04-16,13878
2016-04-17,13496
2016-04-18,13522
2016-04-19,13522
2016-04-20,12925
2016-04-21,12925
2016-04-22,12560
2016-04-23,12560
2016-04-24,11983
2016-04-25,11983
2016-04-26,11749
2016-04-27,11400
2016-04-28,11400
2016-04-29,11427
2016-04-30,11450
2016-05-01,11450
2016-05-02,10999
2016-05-03,10999
2016-05-04,11152
2016-05-05,11309
2016-05-06,11309
2016-05-07,11560
2016-05-08,11560
2016-05-09,11375
2016-05-10,11375
2016-05-11,11555
2016-05-12,11555
2016-05-13,11624
2016-05-14,11624
2016-05-15,11695
2016-05-16,11695
2016-05-17,11579
2016-05-18,11579
2016-05-19,11615
2016-05-22,11610
2016-05-23,11545
2016-05-24,11545
2016-05-25,11487
2016-05-26,11487
2016-05-27,11414
2016-05-28,11414
2016-05-29,11310
2016-05-30,11310
2016-05-31,11327
2016-06-01,11327
2016-06-02,11224
2016-06-03,11224
2016-06-04,11408
2016-06-05,11408
2016-06-06,11929
2016-06-07,11929
2016-06-08,12184
2016-06-09,12184
2016-06-10,12535
2016-06-11,12535
2016-06-12,12521
2016-06-13,12521
2016-06-14,12330
2016-06-15,12330
2016-06-16,12548
2016-06-17,12731
2016-06-18,12731
2016-06-19,12398
2016-06-20,12398
2016-06-21,12528
2016-06-22,12528
2016-06-23,12463
2016-06-24,12463
2016-06-25,12410
2016-06-26,12410
2016-06-27,12479
2016-06-28,12479
2016-06-29,12854
2016-06-30,12854
2016-07-01,13096
2016-07-02,13096
2016-07-03,13624
2016-07-04,14138
2016-07-05,14138
2016-07-06,14444
2016-07-07,14444
2016-07-08,14538
2016-07-09,14538
2016-07-10,14780
2016-07-11,14780
2016-07-12,14589
2016-07-13,14589
2016-07-14,14739
2016-07-15,14739
2016-07-16,14950
2016-07-17,14950
2016-07-18,15033
2016-07-23,15523
2016-07-24,15967
2016-07-25,15967
2016-07-26,15967
2016-07-27,16385
2016-07-28,16385
2016-07-29,16357
2016-07-30,16357
2016-07-31,16357
2016-08-01,16306
2016-08-02,16306
2016-08-03,15975
