date_obj,Heavy%20frame price
2016-05-05,50000000
2016-05-06,50000000
2016-05-07,50000000
2016-05-08,50000000
2016-05-09,47829190
2016-05-10,47829190
2016-05-11,47829190
2016-05-12,47829190
2016-05-13,45437730
2016-05-14,45437730
2016-05-15,45437730
2016-05-16,45437730
2016-05-17,45437730
2016-05-18,11000000
2016-05-19,11000000
2016-05-22,11000000
2016-05-23,11000000
2016-05-24,10856306
2016-05-25,10856306
2016-05-26,10856306
2016-05-27,10856306
2016-05-28,10856306
2016-05-29,10856306
2016-05-30,10856306
2016-05-31,10321811
2016-06-01,10321811
2016-06-02,10321811
2016-06-03,10321811
2016-06-04,10321811
2016-06-05,10321811
2016-06-06,10321811
2016-06-07,10321811
2016-06-08,10321811
2016-06-09,10321811
2016-06-10,9805720
2016-06-11,9805720
2016-06-12,9805720
2016-06-13,9805720
2016-06-14,9805720
2016-06-15,9805720
2016-06-16,9805720
2016-06-17,9805720
2016-06-18,9805720
2016-06-19,9805720
2016-06-20,9316204
2016-06-21,9316204
2016-06-22,9316204
2016-06-23,9316204
2016-06-24,9316204
2016-06-25,9316204
2016-06-26,9316204
2016-06-27,9316204
2016-06-28,9316204
2016-06-29,9316204
2016-06-30,9316204
2016-07-01,8851139
2016-07-02,8851139
2016-07-03,8851139
2016-07-04,8851139
2016-07-05,8851139
2016-07-06,8851139
2016-07-07,8851139
2016-07-08,8851139
2016-07-09,8851139
2016-07-10,8851139
2016-07-11,8851139
2016-07-12,8851139
2016-07-13,8851139
2016-07-14,8410752
2016-07-15,8410752
2016-07-16,8410752
2016-07-17,8410752
2016-07-18,8410752
2016-07-23,8410752
2016-07-24,8410752
2016-07-25,8410752
2016-07-26,8410752
2016-07-27,8410752
2016-07-28,8410752
2016-07-29,7990214
2016-07-30,7990214
2016-07-31,7990214
2016-08-01,7990214
2016-08-02,7990214
2016-08-03,7990214
2016-08-04,7990214
2016-08-05,7990214
2016-08-06,7990214
2016-08-07,7990214
2016-08-08,7990214
2016-08-09,7990214
2016-08-10,7592633
2016-08-11,7592633
2016-08-12,7592633
