date_obj,Stony%20basalt price
2018-09-05,578
2018-09-06,607
2018-09-07,638
2018-09-08,669
2018-09-09,703
2018-09-10,739
2018-09-11,775
2018-09-12,814
2018-09-13,855
2018-09-14,898
2018-09-15,943
2018-09-16,943
2018-09-17,991
2018-09-18,1041
2018-09-19,1094
2018-09-20,1142
2018-09-21,1199
2018-09-22,1229
2018-09-23,1276
2018-09-24,1324
2018-09-25,1324
2018-09-26,1390
2018-09-27,1390
2018-09-28,1457
2018-09-29,1500
2018-09-30,1570
2018-10-02,1702
2018-10-03,1754
2018-10-04,1754
2018-10-05,1700
2018-10-06,1657
2018-10-07,1657
2018-10-08,1705
2018-10-09,1711
2018-10-10,1692
2018-10-11,1688
2018-10-12,1688
2018-10-13,1677
2018-10-14,1714
2018-10-15,1752
2018-10-16,1781
2018-10-17,1773
2018-10-18,1826
2018-10-19,1831
2018-10-20,1831
2018-10-21,1749
2018-10-22,1699
2018-10-23,1699
2018-10-24,1692
2018-10-25,1673
2018-10-26,1648
2018-10-27,1567
2018-10-28,1489
2018-10-29,1489
2018-10-30,1474
2018-10-31,1542
2018-11-01,1586
2018-11-03,1645
2018-11-04,1712
2018-11-05,1791
2018-11-06,1808
2018-11-07,1808
2018-11-08,1821
2018-11-09,1745
2018-11-10,1674
2018-11-11,1674
2018-11-12,1626
2018-11-13,1580
2018-11-14,1580
2018-11-15,1541
2018-11-16,1506
2018-11-17,1478
2018-11-18,1487
2018-11-19,1501
2018-11-20,1568
2018-11-21,1607
2018-11-22,1531
2018-11-23,1457
2018-11-24,1418
2018-11-25,1361
2018-11-26,1361
2018-11-27,1295
2018-11-28,1261
2018-11-29,1243
2018-12-01,1226
2018-12-02,1202
2018-12-03,1202
2018-12-04,1251
2018-12-05,1312
2018-12-07,1361
2018-12-09,1374
2018-12-10,1433
2018-12-11,1488
2018-12-12,1497
2018-12-13,1501
2018-12-14,1467
2018-12-15,1428
2018-12-16,1357
2018-12-17,1357
2018-12-18,1290
2018-12-19,1232
2018-12-20,1200
2018-12-21,1155
2018-12-22,1106
2018-12-23,1108
2018-12-24,1164
2018-12-25,1164
2018-12-26,1223
2018-12-27,1278
2018-12-28,1278
2018-12-29,1238
2018-12-30,1276
2018-12-31,1339
2019-01-01,1396
2019-01-02,1458
2019-01-03,1510
2019-01-04,1485
2019-01-05,1512
2019-01-06,1512
2019-01-08,1557
2019-01-10,1663
2019-01-11,1672
2019-01-12,1680
2019-01-13,1743
2019-01-14,1778
2019-01-15,1779
2019-01-16,1746
2019-01-17,1674
2019-01-18,1596
2019-01-19,1539
2019-01-20,1540
2019-01-21,1522
2019-01-22,1556
2019-01-23,1569
2019-01-24,1525
2019-01-25,1490
2019-01-26,1461
2019-01-27,1463
2019-01-28,1475
2019-01-29,1528
2019-01-30,1550
2019-01-31,1575
2019-02-01,1546
2019-02-02,1541
2019-02-03,1559
2019-02-04,1559
2019-02-05,1517
2019-02-06,1517
2019-02-07,1448
2019-02-08,1390
2019-02-09,1329
2019-02-10,1286
2019-02-11,1264
2019-02-12,1246
2019-02-13,1209
2019-02-14,1209
2019-02-15,1166
2019-02-16,1187
2019-02-17,1165
2019-02-18,1144
2019-02-19,1137
2019-02-20,1128
2019-02-21,1106
2019-02-22,1060
2019-02-23,1047
2019-02-24,1012
2019-02-25,1044
2019-02-26,1095
2019-02-27,1136
2019-02-28,1174
2019-03-01,1163
2019-03-02,1130
2019-03-03,1110
2019-03-04,1124
2019-03-05,1167
2019-03-06,1158
2019-03-07,1188
2019-03-08,1188
2019-03-09,1219
2019-03-10,1238
2019-03-11,1275
2019-03-12,1251
2019-03-13,1251
2019-03-14,1217
2019-03-15,1217
2019-03-16,1186
2019-03-17,1151
2019-03-18,1151
2019-03-19,1095
2019-03-20,1078
2019-03-21,1107
2019-03-22,1107
2019-03-23,1149
2019-03-24,1168
2019-03-25,1168
2019-03-26,1214
2019-03-27,1214
2019-03-28,1247
2019-03-29,1278
2019-03-30,1278
2019-03-31,1246
2019-04-01,1243
2019-04-02,1306
2019-04-03,1330
2019-04-04,1379
2019-04-05,1413
2019-04-06,1413
2019-04-07,1440
2019-04-08,1463
2019-04-09,1497
2019-04-10,1452
2019-04-11,1388
2019-04-12,1318
2019-04-13,1252
2019-04-14,1189
2019-04-15,1153
2019-04-16,1203
2019-04-17,1192
2019-04-18,1220
2019-04-19,1205
2019-04-20,1208
2019-04-21,1208
2019-04-22,1249
2019-04-23,1216
2019-04-24,1210
2019-04-25,1178
2019-04-26,1166
2019-04-27,1159
2019-04-28,1154
2019-04-29,1178
2019-04-30,1188
2019-05-01,1139
2019-05-02,1098
2019-05-03,1085
2019-05-04,1057
2019-05-05,1093
2019-05-06,1092
2019-05-07,1129
2019-05-08,1126
2019-05-09,1119
2019-05-10,1091
2019-05-11,1059
2019-05-12,1060
2019-05-13,1037
2019-05-14,1006
2019-05-15,996
2019-05-16,975
2019-05-17,968
2019-05-18,953
2019-05-19,956
2019-05-20,956
2019-05-21,942
2019-05-22,985
2019-05-23,1035
2019-05-24,1059
2019-05-25,1048
2019-05-26,1060
2019-05-27,1037
2019-05-28,1065
2019-05-29,1071
2019-05-30,1060
2019-05-31,1069
2019-06-01,1113
2019-06-02,1161
2019-06-03,1107
2019-06-04,1078
2019-06-05,1034
2019-06-06,987
2019-06-07,981
2019-06-08,990
2019-06-09,1031
2019-06-10,1031
2019-06-11,1082
2019-06-12,1124
2019-06-13,1170
2019-06-14,1218
2019-06-15,1225
2019-06-16,1249
2019-06-17,1288
2019-06-18,1288
2019-06-19,1229
2019-06-20,1261
2019-06-21,1315
2019-06-22,1330
2019-06-23,1309
2019-06-24,1322
2019-06-25,1327
2019-06-26,1317
2019-06-27,1308
2019-06-28,1308
2019-06-29,1278
2019-06-30,1269
2019-07-01,1236
2019-07-02,1202
2019-07-03,1184
2019-07-04,1155
2019-07-05,1114
2019-07-06,1058
2019-07-07,1005
2019-07-08,971
2019-07-09,964
2019-07-10,960
2019-07-11,951
2019-07-12,941
2019-07-13,941
2019-07-14,972
2019-07-15,972
2019-07-16,945
2019-07-17,956
2019-07-18,933
2019-07-19,922
2019-07-20,925
2019-07-21,953
2019-07-22,967
2019-07-23,928
2019-07-24,928
2019-07-25,926
2019-07-26,909
2019-07-27,917
2019-07-28,910
2019-07-29,950
2019-07-30,998
2019-07-31,1046
2019-08-01,1028
2019-08-02,995
