date_obj,Mahogany%20logs price
2015-03-26,69
2015-03-27,69
2015-03-28,65
2015-03-29,65
2015-03-30,61
2015-03-31,61
2015-04-01,57
2015-04-02,57
2015-04-03,55
2015-04-04,55
2015-04-05,56
2015-04-06,56
2015-04-07,57
2015-04-08,57
2015-04-09,57
2015-04-10,57
2015-04-11,57
2015-04-12,57
2015-04-13,57
2015-04-14,60
2015-04-15,60
2015-04-16,62
2015-04-17,62
2015-04-18,63
2015-04-19,63
2015-04-20,66
2015-04-21,66
2015-04-22,66
2015-04-23,69
2015-04-24,69
2015-04-25,71
2015-04-26,71
2015-04-27,73
2015-04-28,73
2015-04-29,73
2015-04-30,73
2015-05-01,73
2015-05-02,72
2015-05-03,72
2015-05-04,69
2015-05-05,69
2015-05-06,66
2015-05-07,66
2015-05-08,66
2015-05-09,66
2015-05-10,70
2015-05-11,70
2015-05-12,72
2015-05-13,72
2015-05-14,74
2015-05-15,74
2015-05-16,74
2015-05-17,77
2015-05-18,77
2015-05-19,77
2015-05-20,77
2015-05-21,77
2015-05-22,78
2015-05-23,78
2015-05-24,81
2015-05-25,81
2015-05-26,80
2015-05-27,80
2015-05-28,76
2015-05-29,76
2015-05-30,72
2015-05-31,72
2015-06-01,72
2015-06-02,72
2015-06-03,74
2015-06-04,74
2015-06-05,71
2015-06-06,71
2015-06-07,68
2015-06-08,68
2015-06-09,66
2015-06-10,66
2015-06-11,64
2015-06-12,64
2015-06-13,63
2015-06-14,63
2015-06-15,65
2015-06-16,65
2015-06-17,69
2015-06-18,73
2015-06-19,73
2015-06-20,71
2015-06-21,71
2015-06-22,67
2015-06-23,67
2015-06-24,64
2015-06-25,64
2015-06-26,61
2015-06-27,61
2015-06-28,60
2015-06-29,60
2015-06-30,61
2015-07-01,61
2015-07-02,62
2015-07-03,65
2015-07-04,65
2015-07-05,68
2015-07-06,68
2015-07-07,71
2015-07-08,71
2015-07-09,70
2015-07-10,70
2015-07-11,68
2015-07-12,68
2015-07-13,67
2015-07-14,67
2015-07-15,65
2015-07-16,65
2015-07-17,67
2015-07-18,67
2015-07-19,69
2015-07-20,68
2015-07-21,68
2015-07-22,69
2015-07-23,69
2015-07-24,67
2015-07-25,67
2015-07-26,63
2015-07-27,60
2015-07-28,60
2015-07-29,59
2015-07-30,59
2015-07-31,59
2015-08-01,59
2015-08-02,61
2015-08-03,61
2015-08-04,65
2015-08-05,69
2015-08-06,69
2015-08-07,72
2015-08-08,72
2015-08-09,75
2015-08-10,74
2015-08-11,75
2015-08-12,75
2015-08-13,77
2015-08-14,81
2015-08-15,81
2015-08-16,85
2015-08-17,84
2015-08-18,84
2015-08-19,81
2015-08-20,81
2015-08-21,82
2015-08-22,87
2015-08-23,87
2015-08-24,88
2015-08-25,88
2015-08-26,90
2015-08-27,94
2015-08-28,94
2015-08-29,94
2015-08-30,94
2015-08-31,90
2015-09-01,90
2015-09-02,88
2015-09-03,88
2015-09-04,91
2015-09-05,91
2015-09-06,95
2015-09-07,95
2015-09-08,99
2015-09-09,99
2015-09-10,104
2015-09-11,109
2015-09-12,109
2015-09-13,115
2015-09-14,115
2015-09-15,120
2015-09-16,120
2015-09-17,125
2015-09-18,125
2015-09-19,127
2015-09-20,127
2015-09-21,128
2015-09-22,125
2015-09-23,125
2015-09-24,129
2015-09-25,129
2015-09-27,135
2015-09-28,139
2015-09-29,139
2015-09-30,142
2015-10-05,144
2015-10-06,148
2015-10-07,148
2015-10-08,153
2015-10-09,160
2015-10-10,160
2015-10-11,164
2015-10-12,164
2015-10-13,166
2015-10-14,166
2015-10-15,172
2015-10-16,172
2015-10-17,178
2015-10-18,178
2015-10-19,184
2015-10-20,184
2015-10-22,193
2015-10-23,186
2015-10-24,186
2015-10-25,178
2015-10-26,169
2015-10-27,169
2015-10-29,161
2015-10-30,156
2015-10-31,155
2015-11-01,155
2015-11-02,157
2015-11-03,157
2015-11-04,162
2015-11-05,162
2015-11-06,169
2015-11-07,176
2015-11-08,176
2015-11-09,180
2015-11-10,180
2015-11-11,179
2015-11-12,179
2015-11-13,176
2015-11-14,176
2015-11-15,174
2015-11-16,174
2015-11-17,175
2015-11-18,175
2015-11-19,182
2015-11-20,182
2015-11-21,187
2015-11-22,191
2015-11-23,191
2015-11-24,194
2015-11-25,202
2015-11-26,202
2015-11-27,208
2015-11-28,208
2015-11-29,215
2015-11-30,215
2015-12-01,225
2015-12-02,225
2015-12-03,232
2015-12-04,232
2015-12-05,242
2015-12-06,254
2015-12-07,254
2015-12-08,266
2015-12-09,278
2015-12-10,278
2015-12-11,274
2015-12-12,274
2015-12-13,265
2015-12-14,265
2015-12-15,256
2015-12-16,256
2015-12-17,255
2015-12-18,267
2015-12-19,267
2015-12-20,264
2015-12-21,264
2015-12-22,252
2015-12-23,256
2015-12-24,256
2015-12-25,253
2015-12-26,253
2015-12-27,246
2015-12-28,246
2015-12-29,245
2015-12-30,244
2015-12-31,244
2016-01-01,242
2016-01-02,242
2016-01-03,237
2016-01-04,233
2016-01-05,233
2016-01-06,234
2016-01-07,234
2016-01-08,241
2016-01-09,241
2016-01-10,254
2016-01-11,258
2016-01-12,250
2016-01-13,250
2016-01-14,247
2016-01-15,246
2016-01-16,239
2016-01-17,238
2016-01-18,230
2016-01-19,230
2016-01-20,225
2016-01-21,225
2016-01-22,220
2016-01-23,215
2016-01-24,215
2016-01-25,216
2016-01-26,216
2016-01-27,218
2016-01-28,218
2016-01-29,213
2016-01-30,213
2016-01-31,217
2016-02-01,228
2016-02-02,228
2016-02-03,227
2016-02-04,227
2016-02-05,215
2016-02-06,207
