date_obj,Red%20elegant%20legs price
2016-02-14,31458
2016-02-15,31458
2016-02-16,31458
2016-02-17,30882
2016-02-18,30882
2016-02-19,30882
2016-02-20,30516
2016-02-21,30516
2016-02-22,30516
2016-02-23,29858
2016-02-24,29858
2016-02-25,29858
2016-02-26,30139
2016-02-27,30139
2016-02-28,30441
2016-02-29,30441
2016-03-01,31490
2016-03-03,31490
2016-03-04,31998
2016-03-05,31998
2016-03-06,33102
2016-03-07,33102
2016-03-08,33102
2016-03-09,32605
2016-03-10,32605
2016-03-11,32605
2016-03-12,32836
2016-03-13,32836
2016-03-14,32836
2016-03-15,32964
2016-03-16,32964
2016-03-17,32964
2016-03-18,32595
2016-03-19,32595
2016-03-20,32595
2016-03-21,32450
2016-03-22,32450
2016-03-23,32450
2016-03-24,32179
2016-03-25,32179
2016-03-26,32115
2016-03-27,32115
2016-03-28,32115
2016-03-29,33041
2016-03-30,33041
2016-03-31,33041
2016-04-01,33041
2016-04-02,32275
2016-04-03,32275
2016-04-04,32275
2016-04-05,31680
2016-04-06,31680
2016-04-07,31680
2016-04-08,32364
2016-04-09,32364
2016-04-10,31893
2016-04-11,31893
2016-04-12,31893
2016-04-13,31893
2016-04-14,31325
2016-04-15,31325
2016-04-16,30547
2016-04-17,30547
2016-04-18,30547
2016-04-19,30486
2016-04-20,30486
2016-04-21,30486
2016-04-22,30486
2016-04-23,30303
2016-04-24,30303
2016-04-25,30303
2016-04-26,30021
2016-04-27,30021
2016-04-28,30021
2016-04-29,30021
2016-04-30,29869
2016-05-01,29869
2016-05-02,29869
2016-05-03,29448
2016-05-04,29448
2016-05-05,29448
2016-05-06,28495
2016-05-07,28495
2016-05-08,28495
2016-05-09,27333
2016-05-10,27333
2016-05-11,27333
2016-05-12,27333
2016-05-13,26657
2016-05-14,26657
2016-05-15,26657
2016-05-16,25907
2016-05-17,25907
2016-05-18,25907
2016-05-19,24974
2016-05-22,24277
2016-05-23,24277
2016-05-24,24277
2016-05-25,24550
2016-05-26,24550
2016-05-27,24550
2016-05-28,24550
2016-05-29,24500
2016-05-30,24500
2016-05-31,24500
2016-06-01,24160
2016-06-02,24160
2016-06-03,24160
2016-06-04,24103
2016-06-05,24103
2016-06-06,24103
2016-06-07,24844
2016-06-08,24844
2016-06-09,25553
2016-06-10,25553
2016-06-11,25553
2016-06-12,24983
2016-06-13,24983
2016-06-14,24983
2016-06-15,24773
2016-06-16,24773
2016-06-17,24773
2016-06-18,24929
2016-06-19,24929
2016-06-20,24929
2016-06-21,25393
2016-06-22,25393
2016-06-23,25393
2016-06-24,26639
2016-06-25,26639
2016-06-26,26639
2016-06-27,27719
2016-06-28,27719
2016-06-29,27719
2016-06-30,28787
2016-07-01,28787
2016-07-02,28787
2016-07-03,30080
2016-07-04,30080
2016-07-05,31371
2016-07-06,31371
2016-07-07,32372
2016-07-08,32372
2016-07-09,33264
2016-07-10,33264
2016-07-11,32987
2016-07-12,32987
2016-07-13,32987
2016-07-14,32068
2016-07-15,32068
