date_obj,Zamorak%20cloak price
2015-03-26,504891
2015-03-27,488586
2015-03-28,475635
2015-03-29,472226
2015-03-30,475861
2015-03-31,484115
2015-04-01,494541
2015-04-02,498796
2015-04-03,512234
2015-04-04,528178
2015-04-05,540808
2015-04-06,554292
2015-04-07,566775
2015-04-08,555465
2015-04-09,543627
2015-04-10,534415
2015-04-11,523207
2015-04-12,498491
2015-04-13,476081
2015-04-14,456192
2015-04-15,437864
2015-04-16,419626
2015-04-17,401782
2015-04-18,392813
2015-04-19,391073
2015-04-20,401822
2015-04-21,409559
2015-04-22,402195
2015-04-23,402910
2015-04-24,401810
2015-04-25,400463
2015-04-26,410349
2015-04-27,407082
2015-04-28,402508
2015-04-29,396701
2015-04-30,389404
2015-05-01,386735
2015-05-02,392037
2015-05-03,397036
2015-05-04,395045
2015-05-05,390843
2015-05-06,394129
2015-05-07,394016
2015-05-08,383815
2015-05-09,381600
2015-05-10,372571
2015-05-11,367317
2015-05-12,355019
2015-05-13,347596
2015-05-14,337132
2015-05-15,341368
2015-05-16,335943
2015-05-17,338872
2015-05-18,339781
2015-05-19,342823
2015-05-20,345301
2015-05-21,339651
2015-05-22,333713
2015-05-23,326483
2015-05-24,318311
2015-05-25,319469
2015-05-26,325013
2015-05-27,319802
2015-05-28,306039
2015-05-29,294489
2015-05-30,285180
2015-05-31,282118
2015-06-01,280210
2015-06-02,284350
2015-06-03,288305
2015-06-04,293301
2015-06-05,303752
2015-06-06,314987
2015-06-07,327004
2015-06-08,340468
2015-06-09,353534
2015-06-10,366386
2015-06-11,376839
2015-06-12,387046
2015-06-13,401458
2015-06-14,409526
2015-06-15,409286
2015-06-16,403497
2015-06-17,389962
2015-06-18,380043
2015-06-19,376740
2015-06-20,387576
2015-06-21,390983
2015-06-22,392912
2015-06-23,391601
2015-06-24,387603
2015-06-25,389586
2015-06-26,391496
2015-06-27,402852
2015-06-28,418276
2015-06-29,422646
2015-06-30,429244
2015-07-01,420603
2015-07-02,403621
2015-07-03,401348
2015-07-04,393520
2015-07-05,381200
2015-07-06,374389
2015-07-07,384964
2015-07-08,398837
2015-07-09,400914
2015-07-10,408764
2015-07-11,409174
2015-07-12,405044
2015-07-13,395688
2015-07-14,386502
2015-07-15,393998
2015-07-16,391398
2015-07-17,397881
2015-07-18,405483
2015-07-19,415248
2015-07-20,427056
2015-07-21,435582
2015-07-22,447725
2015-07-23,453356
2015-07-24,457234
2015-07-25,452629
2015-07-26,449070
2015-07-27,451020
2015-07-28,451854
2015-07-29,449702
2015-07-30,454040
2015-07-31,451137
2015-08-01,449320
2015-08-02,445845
2015-08-03,435574
2015-08-04,434486
2015-08-05,438121
2015-08-06,437625
2015-08-07,432472
2015-08-08,427076
2015-08-09,420292
2015-08-10,408637
2015-08-11,399686
2015-08-12,390937
2015-08-13,383914
2015-08-14,379380
2015-08-15,374853
2015-08-16,371977
2015-08-17,370674
2015-08-18,377584
2015-08-19,381364
2015-08-20,387225
2015-08-21,391577
2015-08-22,396972
2015-08-23,404501
2015-08-24,413719
2015-08-25,411975
2015-08-26,413754
2015-08-27,401599
2015-08-28,394856
2015-08-29,394846
2015-08-30,389444
2015-08-31,384009
2015-09-01,382994
2015-09-02,376674
2015-09-03,375377
2015-09-04,370520
2015-09-05,368570
2015-09-06,376048
2015-09-07,377748
2015-09-08,383779
2015-09-09,388413
2015-09-10,394686
2015-09-11,407295
2015-09-12,400712
2015-09-13,402899
2015-09-14,406058
2015-09-15,402044
2015-09-16,403979
2015-09-17,400377
2015-09-18,401040
2015-09-19,401696
2015-09-20,398110
2015-09-21,398087
2015-09-22,405783
2015-09-23,410719
2015-09-24,413375
2015-09-25,425125
2015-09-27,441663
2015-09-28,449211
2015-09-29,455418
2015-09-30,448454
2015-10-05,411257
2015-10-06,401765
2015-10-07,387724
2015-10-08,369995
2015-10-09,359092
2015-10-10,359624
2015-10-11,361268
2015-10-12,367501
2015-10-13,361488
2015-10-14,357057
2015-10-15,362215
2015-10-16,363077
2015-10-17,364718
2015-10-18,376122
2015-10-19,388090
2015-10-20,381920
2015-10-22,376085
2015-10-23,374401
2015-10-24,371746
2015-10-25,370612
2015-10-26,367999
2015-10-27,368442
2015-10-29,372606
2015-10-30,370391
2015-10-31,378035
2015-11-01,369465
2015-11-02,374552
2015-11-03,372195
2015-11-05,386274
2015-11-06,394856
2015-11-07,401398
2015-11-08,412076
2015-11-09,422059
2015-11-10,426330
2015-11-11,425096
2015-11-12,425998
2015-11-13,430388
2015-11-14,431768
2015-11-15,428650
2015-11-16,428823
2015-11-17,432267
2015-11-18,444806
2015-11-19,460557
2015-11-20,470150
2015-11-21,476296
2015-11-22,487033
2015-11-23,481684
2015-11-24,487772
2015-11-25,479008
2015-11-26,474468
2015-11-27,477729
2015-11-28,474600
2015-11-29,481421
2015-11-30,478972
2015-12-01,479325
2015-12-02,476651
2015-12-03,474297
2015-12-04,465400
2015-12-05,460645
2015-12-06,462041
2015-12-07,453162
2015-12-08,447821
2015-12-09,448510
2015-12-10,439909
2015-12-11,442257
2015-12-13,452788
2015-12-14,459603
2015-12-15,462798
2015-12-16,469354
2015-12-17,470586
2015-12-18,478685
2015-12-19,481354
2015-12-20,476254
2015-12-21,469159
2015-12-22,465757
2015-12-23,457192
2015-12-24,448654
2015-12-25,444255
2015-12-26,433900
2015-12-27,426875
2015-12-28,436885
2015-12-29,445167
2015-12-30,431385
2015-12-31,430902
2016-01-01,430348
2016-01-02,424106
2016-01-03,426578
2016-01-04,415471
2016-01-05,403947
2016-01-06,392929
2016-01-07,380781
2016-01-08,374450
2016-01-09,370608
2016-01-10,372625
2016-01-11,374268
2016-01-12,377685
2016-01-13,383482
2016-01-14,391285
2016-01-15,399048
2016-01-16,410087
2016-01-17,414973
2016-01-18,407279
2016-01-19,402945
2016-01-20,395784
2016-01-21,393392
2016-01-22,390381
2016-01-23,386584
2016-01-24,383926
2016-01-25,377017
2016-01-26,370572
2016-01-27,365280
2016-01-28,353756
2016-01-29,343151
2016-01-30,335533
2016-01-31,334472
2016-02-01,338954
2016-02-02,340607
2016-02-03,338439
2016-02-04,335015
2016-02-05,334326
2016-02-06,332121
2016-02-07,323376
2016-02-08,321539
2016-02-09,324921
2016-02-10,325787
2016-02-11,326951
2016-02-12,331913
2016-02-13,333272
2016-02-14,341362
2016-02-15,348504
2016-02-16,351093
2016-02-17,354764
2016-02-18,351230
2016-02-19,350885
2016-02-20,354145
2016-02-21,351929
2016-02-22,348552
2016-02-23,342654
2016-02-24,336549
2016-02-25,331092
2016-02-26,327142
2016-02-27,315862
2016-02-28,307145
2016-02-29,307049
2016-03-01,302290
2016-03-02,304039
2016-03-03,310303
2016-03-04,312047
2016-03-05,315255
2016-03-06,315869
2016-03-07,308398
2016-03-08,303460
2016-03-09,302835
2016-03-10,308856
2016-03-11,311472
2016-03-12,316456
2016-03-13,315281
2016-03-14,304101
2016-03-15,299615
2016-03-16,293142
2016-03-17,295314
2016-03-18,300634
2016-03-19,300161
2016-03-20,292348
2016-03-21,283944
2016-03-22,284538
2016-03-23,283608
2016-03-24,284626
2016-03-25,283355
2016-03-26,283029
2016-03-27,285343
2016-03-28,283058
2016-03-29,287295
2016-03-30,296941
2016-03-31,306038
2016-04-01,297748
2016-04-02,300923
2016-04-03,293332
2016-04-04,292583
2016-04-05,292202
2016-04-06,294098
2016-04-07,297572
2016-04-08,299565
2016-04-09,304089
2016-04-10,306680
2016-04-11,303807
2016-04-12,306843
2016-04-13,307446
2016-04-14,307259
2016-04-15,307102
2016-04-16,309205
2016-04-17,315794
2016-04-18,316067
2016-04-19,308820
2016-04-20,311002
2016-04-21,311285
2016-04-22,305340
2016-04-23,299106
2016-04-24,293289
2016-04-25,291134
2016-04-26,291750
2016-04-27,289178
2016-04-28,286692
2016-04-29,287898
2016-04-30,289739
2016-05-01,292092
2016-05-02,290350
2016-05-03,281726
2016-05-04,275459
2016-05-05,265839
2016-05-06,254511
2016-05-07,243236
2016-05-08,237864
2016-05-09,232620
2016-05-10,232230
2016-05-11,239582
2016-05-12,247929
2016-05-13,256664
2016-05-14,264814
2016-05-15,263976
2016-05-16,272526
2016-05-17,273484
2016-05-18,266538
2016-05-19,262232
2016-05-22,259990
2016-05-23,262540
2016-05-24,265836
2016-05-25,266319
2016-05-26,269192
2016-05-27,261585
2016-05-28,257300
2016-05-29,250216
2016-05-30,248211
2016-05-31,248062
2016-06-01,243658
2016-06-02,241809
2016-06-03,247378
2016-06-04,253762
2016-06-05,259377
2016-06-06,258883
2016-06-07,258787
2016-06-08,257398
2016-06-09,262310
2016-06-10,271891
2016-06-11,281789
2016-06-12,293442
2016-06-13,299194
2016-06-14,305621
2016-06-15,296902
2016-06-16,283076
2016-06-17,274024
2016-06-18,271700
2016-06-19,268860
2016-06-20,264631
2016-06-21,266306
2016-06-22,260729
2016-06-23,255580
2016-06-24,249514
2016-06-25,252492
2016-06-26,256661
2016-06-27,262513
2016-06-28,261714
2016-06-29,255753
2016-06-30,248090
2016-07-01,244572
2016-07-02,244652
2016-07-03,244071
2016-07-04,252172
2016-07-05,259822
2016-07-06,264277
2016-07-07,259083
2016-07-08,250887
2016-07-09,243579
2016-07-10,236385
2016-07-11,225756
2016-07-12,214746
2016-07-13,204906
2016-07-14,201632
2016-07-15,204142
2016-07-16,207647
2016-07-17,201771
2016-07-18,194994
2016-07-24,170638
2016-07-25,176540
2016-07-26,168767
2016-07-27,161626
2016-07-28,161089
2016-07-29,161682
2016-07-30,167123
2016-07-31,171156
2016-08-01,176457
2016-08-02,175687
2016-08-03,177644
2016-08-04,180618
2016-08-05,177462
2016-08-06,171221
2016-08-07,170375
2016-08-08,168529
2016-08-09,166059
2016-08-10,167812
2016-08-11,164935
2016-08-12,161924
2016-08-13,162787
2016-08-14,165018
2016-08-15,168129
2016-08-16,172766
2016-08-17,175856
2016-08-18,174975
2016-08-19,168591
2016-08-20,161612
2016-08-21,158964
2016-08-22,153464
2016-08-23,151843
2016-08-24,150095
2016-08-25,146958
2016-08-26,144022
2016-08-28,141692
2016-08-31,146265
2016-09-01,147512
2016-09-02,150939
2016-09-03,153522
2016-09-04,156493
2016-09-05,159806
2016-09-06,163385
2016-09-07,169314
2016-09-08,172880
2016-09-09,177323
2016-09-10,178342
2016-09-11,178975
2016-09-12,177660
2016-09-13,182229
2016-09-14,187337
2016-09-15,186338
2016-09-16,187160
2016-09-17,188239
2016-09-18,192764
2016-09-19,198412
2016-09-20,202676
2016-09-21,209733
2016-09-22,220220
2016-09-23,222988
2016-09-24,226116
2016-09-25,225703
2016-09-26,227897
2016-09-27,227245
2016-09-28,229114
2016-09-29,226780
2016-09-30,226023
2016-10-01,223538
2016-10-02,222671
2016-10-03,222589
2016-10-04,223189
2016-10-05,221067
2016-10-06,223723
2016-10-07,221775
2016-10-08,219784
2016-10-09,221112
2016-10-10,222383
2016-10-11,221731
2016-10-12,223379
2016-10-13,224350
