date_obj,Ancient%20cloak price
2015-03-26,276905
2015-03-27,276905
2015-03-28,273640
2015-03-29,270508
2015-03-30,268008
2015-03-31,272098
2015-04-01,274860
2015-04-02,274532
2015-04-03,273873
2015-04-04,279154
2015-04-05,278792
2015-04-06,273125
2015-04-07,268763
2015-04-08,268248
2015-04-09,263926
2015-04-10,262454
2015-04-11,264126
2015-04-12,262634
2015-04-13,256779
2015-04-14,249215
2015-04-15,245251
2015-04-16,238648
2015-04-17,236976
2015-04-18,231857
2015-04-19,227476
2015-04-20,222032
2015-04-21,217389
2015-04-22,210586
2015-04-23,206492
2015-04-24,202723
2015-04-25,196676
2015-04-26,193931
2015-04-27,194729
2015-04-28,197363
2015-04-29,199596
2015-04-30,200342
2015-05-01,197712
2015-05-02,194961
2015-05-03,192609
2015-05-04,187547
2015-05-05,185745
2015-05-06,183753
2015-05-07,182204
2015-05-08,176527
2015-05-09,170572
2015-05-10,163828
2015-05-11,155636
2015-05-12,147854
2015-05-13,140461
2015-05-14,133700
2015-05-15,130584
2015-05-16,129491
2015-05-17,127805
2015-05-18,125197
2015-05-19,123714
2015-05-20,122456
2015-05-21,122539
2015-05-22,121697
2015-05-23,120482
2015-05-24,118481
2015-05-25,117144
2015-05-26,115304
2015-05-27,112281
2015-05-28,110532
2015-05-29,109921
2015-05-30,108219
2015-05-31,107613
2015-06-01,107681
2015-06-02,110162
2015-06-03,111037
2015-06-04,115681
2015-06-05,120586
2015-06-06,126471
2015-06-07,132621
2015-06-08,136140
2015-06-09,142449
2015-06-10,149035
2015-06-11,154183
2015-06-12,158199
2015-06-13,163526
2015-06-14,167336
2015-06-15,164676
2015-06-16,161914
2015-06-17,159704
2015-06-18,158173
2015-06-19,160141
2015-06-20,165235
2015-06-21,167584
2015-06-22,171187
2015-06-23,166168
2015-06-24,161013
2015-06-25,157874
2015-06-26,158847
2015-06-27,159084
2015-06-28,160415
2015-06-29,165052
2015-06-30,161527
2015-07-01,163952
2015-07-02,167458
2015-07-03,168464
2015-07-04,169765
2015-07-05,169101
2015-07-06,170041
2015-07-07,170269
2015-07-08,167644
2015-07-09,166577
2015-07-10,164740
2015-07-11,159712
2015-07-12,156122
2015-07-13,157531
2015-07-14,154767
2015-07-15,155462
2015-07-16,158277
2015-07-17,159527
2015-07-18,162486
2015-07-19,162292
2015-07-20,165776
2015-07-21,167592
2015-07-22,167535
2015-07-23,170599
2015-07-24,175067
2015-07-25,175158
2015-07-26,174679
2015-07-27,175808
2015-07-28,173855
2015-07-29,173561
2015-07-30,172636
2015-07-31,169887
2015-08-01,173276
2015-08-02,171679
2015-08-03,170033
2015-08-04,168386
2015-08-05,165548
2015-08-06,165443
2015-08-07,166636
2015-08-08,167586
2015-08-09,166062
2015-08-10,165081
2015-08-11,163712
2015-08-12,160665
2015-08-13,157509
2015-08-14,153076
2015-08-15,149428
2015-08-16,146419
2015-08-17,142508
2015-08-18,142966
2015-08-19,142166
2015-08-20,141511
2015-08-21,142244
2015-08-22,147473
2015-08-23,149742
2015-08-24,148765
2015-08-25,153262
2015-08-26,148276
2015-08-27,144030
2015-08-28,143033
2015-08-29,142380
2015-08-30,142124
2015-08-31,142408
2015-09-01,140314
2015-09-02,137506
2015-09-03,134655
2015-09-04,137190
2015-09-05,141892
2015-09-06,142129
2015-09-07,138705
2015-09-08,140005
2015-09-09,141221
2015-09-10,139826
2015-09-11,138938
2015-09-12,137815
2015-09-13,135221
2015-09-14,133147
2015-09-15,131173
2015-09-16,127767
2015-09-17,126427
2015-09-18,127635
2015-09-19,129465
2015-09-20,129825
2015-09-21,125910
2015-09-22,123782
2015-09-23,121769
2015-09-24,122547
2015-09-25,123540
2015-09-27,121684
2015-09-28,121013
2015-09-29,120543
2015-09-30,119933
2015-10-05,116776
2015-10-06,118924
2015-10-07,119546
2015-10-08,117529
2015-10-09,116075
2015-10-10,116075
2015-10-11,116061
2015-10-12,116033
2015-10-13,116889
2015-10-14,115594
2015-10-15,115761
2015-10-16,114825
2015-10-17,114825
2015-10-18,112695
2015-10-19,111542
2015-10-20,110926
2015-10-22,111708
2015-10-23,111999
2015-10-24,113130
2015-10-25,114176
2015-10-26,114465
2015-10-27,117745
2015-10-28,116799
2015-10-29,115863
2015-10-30,116247
2015-10-31,116121
2015-11-01,116946
2015-11-02,117805
2015-11-03,118745
2015-11-04,118621
2015-11-05,119424
2015-11-06,118127
2015-11-07,116595
2015-11-08,116842
2015-11-09,116516
2015-11-10,115256
2015-11-11,115617
2015-11-12,115690
2015-11-13,116547
2015-11-14,117429
2015-11-15,120034
2015-11-16,122733
2015-11-17,127716
2015-11-18,130220
2015-11-19,130849
2015-11-20,129826
2015-11-21,129826
2015-11-22,126783
2015-11-23,126783
2015-11-24,125697
2015-11-25,126286
2015-11-26,128069
2015-11-27,130510
2015-11-28,132078
2015-11-29,133366
2015-11-30,133184
2015-12-01,132753
2015-12-02,132328
2015-12-03,128094
2015-12-04,125668
2015-12-05,124176
2015-12-06,122878
2015-12-07,120470
2015-12-08,123578
2015-12-09,127586
2015-12-10,133661
2015-12-11,140281
2015-12-12,146641
2015-12-13,153678
2015-12-14,160413
2015-12-15,168272
2015-12-16,173591
2015-12-17,178518
2015-12-18,178407
2015-12-19,183458
2015-12-20,179906
2015-12-21,179032
2015-12-22,174574
2015-12-23,172348
2015-12-24,168419
2015-12-25,166971
2015-12-26,166886
2015-12-27,163853
2015-12-28,161472
2015-12-29,162669
2015-12-30,157254
2015-12-31,151915
2016-01-01,146081
2016-01-02,148229
2016-01-04,146591
2016-01-05,148172
2016-01-06,153253
2016-01-07,152716
2016-01-08,153251
2016-01-09,153487
2016-01-10,150493
2016-01-11,148202
2016-01-12,150796
2016-01-13,151038
2016-01-14,150556
2016-01-15,152207
2016-01-16,154702
2016-01-17,153157
2016-01-18,149095
2016-01-19,144447
2016-01-20,139518
2016-01-21,134083
2016-01-22,128742
2016-01-23,125249
2016-01-24,123119
2016-01-25,120925
2016-01-26,117196
2016-01-27,113371
2016-01-28,109056
2016-01-29,108060
2016-01-30,107479
2016-01-31,107436
2016-02-01,109700
2016-02-02,110358
2016-02-03,109423
2016-02-04,111796
2016-02-05,112332
2016-02-06,114328
2016-02-07,114259
2016-02-08,111505
2016-02-09,107850
2016-02-10,106431
2016-02-11,106158
2016-02-12,107606
2016-02-13,108784
2016-02-14,109839
2016-02-15,111113
2016-02-16,109082
2016-02-17,108360
2016-02-18,107759
2016-02-19,107288
2016-02-20,104798
2016-02-21,102648
2016-02-22,102359
2016-02-23,101057
2016-02-24,100740
2016-02-25,96955
2016-02-26,92726
2016-02-27,90445
2016-02-28,88503
2016-02-29,87043
2016-03-01,84913
2016-03-02,83038
2016-03-03,80881
2016-03-04,78634
2016-03-05,77809
2016-03-06,79561
2016-03-07,82079
2016-03-08,85924
2016-03-09,85917
2016-03-10,83937
2016-03-11,79862
2016-03-12,77528
2016-03-13,77145
2016-03-14,74747
2016-03-15,72995
2016-03-16,72095
2016-03-17,71921
2016-03-18,73023
2016-03-19,73625
2016-03-20,71078
2016-03-21,70492
2016-03-22,73359
2016-03-23,76154
2016-03-24,79377
2016-03-25,81060
2016-03-26,82435
2016-03-27,82858
2016-03-28,83632
2016-03-29,83874
2016-03-30,83874
2016-03-31,80698
2016-04-01,78371
2016-04-02,77372
2016-04-03,76379
2016-04-04,76399
2016-04-05,76144
2016-04-06,79405
2016-04-07,83376
2016-04-08,85730
2016-04-09,88263
2016-04-10,92603
2016-04-11,92603
2016-04-12,94528
2016-04-13,97622
2016-04-14,98742
2016-04-15,98283
2016-04-16,96091
2016-04-17,95049
2016-04-18,92624
2016-04-19,89782
2016-04-20,86427
2016-04-21,83258
2016-04-22,79443
2016-04-23,76938
2016-04-24,74638
2016-04-25,73295
2016-04-26,73725
2016-04-27,74110
2016-04-28,77060
2016-04-29,80262
2016-04-30,81107
2016-05-01,81095
2016-05-02,79008
2016-05-03,78336
2016-05-04,74773
2016-05-05,71339
2016-05-06,69306
2016-05-07,68201
2016-05-08,67093
2016-05-09,65988
2016-05-10,65177
2016-05-11,63899
2016-05-12,62748
2016-05-13,61375
2016-05-14,61381
2016-05-15,60819
2016-05-16,62355
2016-05-17,63969
2016-05-18,64835
2016-05-19,65770
2016-05-22,68838
2016-05-23,69350
2016-05-24,70714
2016-05-25,70479
2016-05-26,69361
2016-05-27,68540
2016-05-28,69956
2016-05-29,71461
2016-05-30,71968
2016-05-31,72402
2016-06-01,72889
2016-06-02,75983
2016-06-03,78065
2016-06-04,77515
2016-06-05,77088
2016-06-06,76535
2016-06-07,75736
2016-06-08,76553
2016-06-09,76048
2016-06-10,76641
2016-06-11,78523
2016-06-12,81993
2016-06-13,85693
2016-06-14,88200
2016-06-15,91225
2016-06-16,95550
2016-06-17,98103
2016-06-18,101143
2016-06-19,100892
2016-06-20,99568
2016-06-21,97179
2016-06-22,92831
2016-06-23,90012
2016-06-24,88502
2016-06-25,87069
2016-06-26,86288
2016-06-27,85497
2016-06-28,84835
2016-06-29,84870
2016-06-30,83315
2016-07-01,81516
2016-07-02,81446
2016-07-03,82661
2016-07-04,83081
2016-07-05,82789
2016-07-06,82239
2016-07-07,81734
2016-07-08,81382
2016-07-09,80585
2016-07-10,79842
2016-07-11,77522
2016-07-12,76418
2016-07-13,75222
2016-07-14,74020
2016-07-15,72646
2016-07-16,72957
2016-07-17,72286
2016-07-18,72820
2016-07-23,71176
2016-07-24,68363
2016-07-25,66564
2016-07-26,64796
2016-07-27,61967
2016-07-28,60180
2016-07-29,57454
2016-07-30,54959
2016-07-31,54614
2016-08-01,53545
2016-08-02,52556
2016-08-03,50506
2016-08-04,49387
2016-08-05,48288
2016-08-06,48916
2016-08-07,49038
2016-08-08,48539
2016-08-09,48695
2016-08-10,48054
2016-08-11,47883
2016-08-12,47592
2016-08-13,47415
2016-08-14,46629
2016-08-15,45392
2016-08-16,44208
2016-08-17,44279
2016-08-18,44672
2016-08-19,43405
2016-08-20,42714
2016-08-21,42444
2016-08-22,41859
2016-08-23,40645
2016-08-24,38761
2016-08-25,37144
2016-08-26,35517
2016-08-28,36428
2016-08-31,40901
2016-09-01,42806
2016-09-02,42806
2016-09-03,44863
2016-09-04,46326
2016-09-05,47317
2016-09-06,48732
2016-09-07,50522
2016-09-08,50812
2016-09-09,51350
2016-09-10,51643
2016-09-11,51912
2016-09-12,52502
2016-09-13,50430
2016-09-14,49960
2016-09-15,48803
2016-09-16,47831
2016-09-17,49559
2016-09-18,51378
2016-09-19,52097
2016-09-20,53884
2016-09-21,56330
2016-09-22,58816
2016-09-23,61069
2016-09-24,61069
2016-09-25,62549
2016-09-26,62708
2016-09-27,62499
