date_obj,Green%20d'hide%20body price
2015-03-26,4399
2015-03-27,4367
2015-03-28,4399
2015-03-29,4392
2015-03-30,4398
2015-03-31,4411
2015-04-01,4406
2015-04-02,4397
2015-04-03,4423
2015-04-04,4403
2015-04-05,4370
2015-04-06,4433
2015-04-07,4411
2015-04-08,4415
2015-04-09,4365
2015-04-10,4433
2015-04-11,4407
2015-04-12,4379
2015-04-13,4414
2015-04-14,4389
2015-04-15,4434
2015-04-16,4425
2015-04-17,4408
2015-04-18,4414
2015-04-19,4406
2015-04-20,4404
2015-04-21,4409
2015-04-22,4403
2015-04-23,4434
2015-04-24,4414
2015-04-25,4426
2015-04-26,4424
2015-04-27,4439
2015-04-28,4430
2015-04-29,4436
2015-04-30,4468
2015-05-01,4416
2015-05-02,4417
2015-05-03,4430
2015-05-04,4438
2015-05-05,4441
2015-05-06,4414
2015-05-07,4398
2015-05-08,4384
2015-05-09,4384
2015-05-10,4413
2015-05-11,4437
2015-05-12,4405
2015-05-13,4389
2015-05-14,4429
2015-05-15,4397
2015-05-16,4367
2015-05-17,4416
2015-05-18,4421
2015-05-19,4412
2015-05-20,4413
2015-05-21,4429
2015-05-22,4409
2015-05-23,4427
2015-05-24,4438
2015-05-25,4434
2015-05-26,4437
2015-05-27,4372
2015-05-28,4407
2015-05-29,4388
2015-05-30,4397
2015-05-31,4405
2015-06-01,4402
2015-06-02,4428
2015-06-03,4424
2015-06-04,4426
2015-06-05,4439
2015-06-06,4436
2015-06-07,4436
2015-06-08,4435
2015-06-09,4454
2015-06-10,4445
2015-06-11,4443
2015-06-12,4451
2015-06-13,4470
2015-06-14,4452
2015-06-15,4448
2015-06-16,4437
2015-06-17,4433
2015-06-18,4445
2015-06-19,4419
2015-06-20,4440
2015-06-21,4446
2015-06-22,4456
2015-06-23,4459
2015-06-24,4463
2015-06-25,4412
2015-06-26,4422
2015-06-27,4430
2015-06-28,4433
2015-06-29,4399
2015-06-30,4439
2015-07-01,4443
2015-07-02,4408
2015-07-03,4448
2015-07-04,4414
2015-07-05,4367
2015-07-06,4421
2015-07-07,4436
2015-07-08,4416
2015-07-09,4433
2015-07-10,4424
2015-07-11,4399
2015-07-12,4386
2015-07-13,4388
2015-07-14,4409
2015-07-15,4414
2015-07-16,4412
2015-07-17,4432
2015-07-18,4422
2015-07-19,4418
2015-07-20,4425
2015-07-21,4401
2015-07-22,4425
2015-07-23,4427
2015-07-24,4426
2015-07-25,4425
2015-07-26,4417
2015-07-27,4422
2015-07-28,4426
2015-07-29,4431
2015-07-30,4421
2015-07-31,4417
2015-08-01,4423
2015-08-02,4433
2015-08-03,4431
2015-08-04,4441
2015-08-05,4448
2015-08-06,4473
2015-08-07,4461
2015-08-08,4458
2015-08-09,4463
2015-08-10,4452
2015-08-11,4474
2015-08-12,4431
2015-08-13,4393
2015-08-14,4385
2015-08-15,4397
2015-08-16,4375
2015-08-17,4405
2015-08-18,4421
2015-08-19,4444
2015-08-20,4455
2015-08-21,4452
2015-08-22,4461
2015-08-23,4447
2015-08-24,4439
2015-08-25,4429
2015-08-26,4451
2015-08-27,4448
2015-08-28,4439
2015-08-29,4436
2015-08-30,4438
2015-08-31,4419
2015-09-01,4427
2015-09-02,4421
2015-09-03,4412
2015-09-04,4459
2015-09-05,4429
2015-09-06,4429
2015-09-07,4458
2015-09-08,4447
2015-09-09,4451
2015-09-10,4445
2015-09-11,4439
2015-09-12,4430
2015-09-13,4442
2015-09-14,4442
2015-09-15,4446
2015-09-16,4456
2015-09-17,4447
2015-09-18,4458
2015-09-19,4457
2015-09-20,4442
2015-09-21,4466
2015-09-22,4470
2015-09-23,4478
2015-09-24,4483
2015-09-25,4481
2015-09-27,4483
2015-09-28,4484
2015-09-29,4495
2015-09-30,4490
2015-10-05,4463
2015-10-06,4470
2015-10-07,4470
2015-10-08,4476
2015-10-09,4488
2015-10-10,4451
2015-10-11,4454
2015-10-12,4468
2015-10-13,4455
2015-10-14,4451
2015-10-15,4476
2015-10-16,4421
2015-10-17,4337
2015-10-18,4423
2015-10-19,4470
2015-10-20,4480
2015-10-22,4452
2015-10-23,4471
2015-10-24,4410
2015-10-25,4465
2015-10-26,4460
2015-10-27,4456
2015-10-29,4481
2015-10-30,4473
2015-10-31,4438
2015-11-01,4405
2015-11-02,4423
2015-11-03,4423
2015-11-04,4452
2015-11-05,4466
2015-11-06,4454
2015-11-07,4453
2015-11-08,4437
2015-11-09,4458
2015-11-10,4445
2015-11-11,4463
2015-11-12,4469
2015-11-13,4471
2015-11-14,4458
2015-11-15,4453
2015-11-16,4453
2015-11-17,4465
2015-11-18,4476
2015-11-19,4494
2015-11-20,4486
2015-11-22,4492
2015-11-23,4481
2015-11-24,4497
2015-11-25,4510
2015-11-26,4517
2015-11-27,4520
2015-11-28,4502
2015-11-29,4484
2015-11-30,4486
2015-12-01,4507
2015-12-02,4518
2015-12-03,4526
2015-12-04,4496
2015-12-05,4472
2015-12-06,4480
2015-12-07,4464
2015-12-08,4480
2015-12-09,4493
2015-12-10,4512
2015-12-11,4501
2015-12-12,4503
2015-12-13,4468
2015-12-14,4417
2015-12-15,4461
2015-12-16,4473
2015-12-17,4467
2015-12-18,4502
2015-12-19,4487
2015-12-20,4471
2015-12-21,4459
2015-12-22,4470
2015-12-23,4475
2015-12-24,4486
2015-12-25,4469
2015-12-26,4471
2015-12-27,4439
2015-12-28,4392
2015-12-29,4433
2015-12-30,4441
2015-12-31,4434
2016-01-01,4405
2016-01-02,4430
2016-01-03,4418
2016-01-04,4440
2016-01-05,4450
2016-01-06,4457
2016-01-07,4467
2016-01-08,4487
2016-01-09,4480
2016-01-10,4496
2016-01-11,4494
2016-01-12,4488
2016-01-13,4470
2016-01-14,4480
2016-01-15,4475
2016-01-16,4476
2016-01-17,4452
2016-01-18,4457
2016-01-19,4470
2016-01-20,4480
2016-01-21,4493
2016-01-22,4500
2016-01-23,4456
2016-01-24,4376
2016-01-25,4414
2016-01-26,4394
2016-01-27,4423
2016-01-28,4431
2016-01-29,4454
2016-01-30,4439
2016-01-31,4421
2016-02-01,4450
