date_obj,Rock-shell%20plate price
2015-03-26,41900
2015-03-27,41900
2015-03-28,41628
2015-03-29,41628
2015-03-30,41665
2015-03-31,41665
2015-04-01,41665
2015-04-02,41676
2015-04-03,41676
2015-04-04,41864
2015-04-05,41864
2015-04-06,41864
2015-04-07,42054
2015-04-08,42054
2015-04-09,42054
2015-04-10,42279
2015-04-11,42279
2015-04-12,42301
2015-04-13,42301
2015-04-14,42301
2015-04-15,43033
2015-04-16,43033
2015-04-17,43033
2015-04-18,43165
2015-04-19,43165
2015-04-20,43165
2015-04-21,42606
2015-04-22,42606
2015-04-23,42165
2015-04-24,42165
2015-04-25,42165
2015-04-26,42145
2015-04-27,42145
2015-04-28,41973
2015-04-29,41973
2015-04-30,41973
2015-05-01,41631
2015-05-02,41631
2015-05-03,41631
2015-05-04,41544
2015-05-05,41544
2015-05-06,41587
2015-05-07,41587
2015-05-08,40409
2015-05-09,40409
2015-05-10,40468
2015-05-11,40468
2015-05-12,40468
2015-05-13,40888
2015-05-14,40888
2015-05-15,40888
2015-05-16,40759
2015-05-17,40759
2015-05-18,40988
2015-05-19,40988
2015-05-20,40988
2015-05-21,40988
2015-05-22,42087
2015-05-23,42087
2015-05-24,42087
2015-05-25,41986
2015-05-26,41986
2015-05-27,41986
2015-05-28,42024
2015-05-29,42024
2015-05-30,40878
2015-05-31,40878
2015-06-01,41142
2015-06-02,41142
2015-06-03,42064
2015-06-04,42064
2015-06-05,41865
2015-06-06,42146
2015-06-07,42146
2015-06-08,42525
2015-06-09,42525
2015-06-10,41930
2015-06-11,41930
2015-06-12,42837
2015-06-13,42741
2015-06-14,42741
2015-06-15,42803
2015-06-16,42803
2015-06-17,42296
2015-06-18,42272
2015-06-19,42272
2015-06-20,42824
2015-06-21,42824
2015-06-22,42825
2015-06-23,42825
2015-06-24,41685
2015-06-25,41685
2015-06-26,40843
2015-06-27,40843
2015-06-28,40661
2015-06-29,40661
2015-06-30,39704
2015-07-01,39530
2015-07-02,39530
2015-07-03,40078
2015-07-04,40078
2015-07-05,40641
2015-07-06,40641
2015-07-07,41739
2015-07-08,41739
2015-07-09,41817
2015-07-10,41838
2015-07-11,41838
2015-07-12,41807
2015-07-13,41871
2015-07-14,41871
2015-07-15,41896
2015-07-16,41896
2015-07-17,41490
2015-07-18,41490
2015-07-19,42472
2015-07-20,42472
2015-07-21,42965
2015-07-22,42385
2015-07-23,42385
2015-07-24,41109
2015-07-25,41109
2015-07-26,40799
2015-07-27,41817
2015-07-28,41817
2015-07-29,41944
2015-07-30,41944
2015-07-31,42846
2015-08-01,42846
2015-08-02,43084
2015-08-03,43084
2015-08-04,42861
2015-08-05,43767
2015-08-06,43767
2015-08-07,44343
2015-08-08,44343
2015-08-09,44357
2015-08-10,44357
2015-08-11,42252
2015-08-12,42252
2015-08-13,42200
2015-08-14,43556
2015-08-15,43556
2015-08-16,42503
2015-08-17,40717
2015-08-18,40717
2015-08-19,41551
2015-08-20,41551
2015-08-21,42095
2015-08-22,42095
