date_obj,Wrapped%20oomlie price
2015-03-26,300
2015-03-27,300
2015-03-28,300
2015-03-29,300
2015-03-30,300
2015-03-31,310
2015-04-01,310
2015-04-02,310
2015-04-03,310
2015-04-04,310
2015-04-05,310
2015-04-06,310
2015-04-07,310
2015-04-08,310
2015-04-09,310
2015-04-10,310
2015-04-11,310
2015-04-12,310
2015-04-13,310
2015-04-14,310
2015-04-15,310
2015-04-16,310
2015-04-17,310
2015-04-18,310
2015-04-19,310
2015-04-20,310
2015-04-21,310
2015-04-22,310
2015-04-23,310
2015-04-24,310
2015-04-25,310
2015-04-26,310
2015-04-27,310
2015-04-28,310
2015-04-29,310
2015-04-30,310
2015-05-01,310
2015-05-02,310
2015-05-03,310
2015-05-04,310
2015-05-05,310
2015-05-06,310
2015-05-07,310
2015-05-08,310
2015-05-09,310
2015-05-10,323
2015-05-11,323
2015-05-12,323
2015-05-13,323
2015-05-14,323
2015-05-15,323
2015-05-16,323
2015-05-17,323
2015-05-18,323
2015-05-19,323
2015-05-20,323
2015-05-21,323
2015-05-22,323
2015-05-23,323
2015-05-24,323
2015-05-25,323
2015-05-26,323
2015-05-27,323
2015-05-28,323
2015-05-29,323
2015-05-30,323
2015-05-31,323
2015-06-01,323
2015-06-02,323
2015-06-03,323
2015-06-04,323
2015-06-05,323
2015-06-06,323
2015-06-07,323
2015-06-08,323
2015-06-09,323
2015-06-10,323
2015-06-11,323
2015-06-12,323
2015-06-13,323
2015-06-14,323
2015-06-15,323
2015-06-16,323
2015-06-17,323
2015-06-18,323
2015-06-19,323
2015-06-20,323
2015-06-21,323
2015-06-22,323
2015-06-23,334
2015-06-24,334
2015-06-25,334
2015-06-26,334
2015-06-27,334
2015-06-28,334
2015-06-29,334
2015-06-30,334
2015-07-01,334
2015-07-02,334
2015-07-03,334
2015-07-04,334
2015-07-05,334
2015-07-06,334
2015-07-07,334
2015-07-08,334
2015-07-09,334
2015-07-10,334
2015-07-11,334
2015-07-12,334
2015-07-13,334
2015-07-14,334
2015-07-15,334
2015-07-16,334
2015-07-17,334
2015-07-18,334
2015-07-19,334
2015-07-20,334
2015-07-21,334
2015-07-22,334
2015-07-23,334
2015-07-24,334
2015-07-25,334
2015-07-26,334
2015-07-27,334
2015-07-28,334
2015-07-29,334
2015-07-30,334
2015-07-31,334
