date_obj,Red%20headband price
2016-02-14,24653
2016-02-15,23812
2016-02-16,23812
2016-02-17,23812
2016-02-18,23812
2016-02-19,23812
2016-02-20,23022
2016-02-21,23022
2016-02-22,23022
2016-02-23,22726
2016-02-24,22726
2016-02-25,22726
2016-02-26,23191
2016-02-27,23191
2016-02-28,23191
2016-02-29,23602
2016-03-01,23602
2016-03-02,23602
2016-03-03,23463
2016-03-04,23463
2016-03-05,23463
2016-03-06,23836
2016-03-07,23836
2016-03-08,23836
2016-03-09,23836
2016-03-10,23513
2016-03-11,23513
2016-03-12,23513
2016-03-13,23513
2016-03-14,23148
2016-03-15,23148
2016-03-16,23148
2016-03-17,22883
2016-03-18,22883
2016-03-19,22883
2016-03-20,23069
2016-03-21,23069
2016-03-22,23069
2016-03-23,23069
2016-03-24,22999
2016-03-25,22999
2016-03-26,22999
2016-03-27,23493
2016-03-28,23493
2016-03-29,23493
2016-03-30,23493
2016-03-31,23611
2016-04-01,23611
2016-04-02,23611
2016-04-03,23743
2016-04-04,23743
2016-04-05,23743
2016-04-06,23984
2016-04-07,23984
2016-04-08,23984
2016-04-09,23615
2016-04-10,23615
2016-04-11,23615
2016-04-12,23843
2016-04-13,23843
2016-04-14,23843
2016-04-15,23843
2016-04-16,24320
2016-04-17,24320
2016-04-18,24320
2016-04-19,24105
2016-04-20,24105
2016-04-21,24105
2016-04-22,24105
2016-04-23,24105
2016-04-24,22966
2016-04-25,22966
2016-04-26,22966
2016-04-27,21901
2016-04-28,21901
2016-04-29,21901
2016-04-30,21901
2016-05-01,20877
2016-05-02,20877
2016-05-03,20877
2016-05-04,20877
2016-05-05,19860
2016-05-06,19860
2016-05-07,19860
2016-05-08,19860
2016-05-09,18871
2016-05-10,18871
2016-05-11,18871
2016-05-12,18871
2016-05-13,18035
2016-05-14,18035
2016-05-15,18035
2016-05-16,18035
2016-05-17,17528
2016-05-18,17528
2016-05-19,17528
2016-05-22,16835
2016-05-23,16835
2016-05-24,16268
2016-05-25,16268
2016-05-26,16268
2016-05-27,15866
2016-05-28,15866
2016-05-29,15866
2016-05-30,15594
2016-05-31,15594
2016-06-01,15651
2016-06-02,15651
2016-06-03,15651
2016-06-04,15793
2016-06-05,15793
2016-06-06,15841
2016-06-07,15841
2016-06-08,15841
2016-06-09,15755
2016-06-10,15755
2016-06-11,16110
2016-06-12,16110
2016-06-13,16519
2016-06-14,16519
2016-06-15,16519
2016-06-16,16972
2016-06-17,16972
2016-06-18,17291
2016-06-19,17291
2016-06-20,17291
2016-06-21,17530
2016-06-22,17530
2016-06-23,17530
2016-06-24,17508
2016-06-25,17508
2016-06-26,17508
2016-06-27,17496
