date_obj,Helm%20of%20neitiznot price
2015-03-26,33560
2015-03-27,33560
2015-03-28,32599
2015-03-29,33519
2015-03-30,33648
2015-03-31,34443
2015-04-01,34553
2015-04-02,35245
2015-04-03,35308
2015-04-04,34387
2015-04-05,33583
2015-04-06,33743
2015-04-07,33615
2015-04-08,34457
2015-04-09,34758
2015-04-10,34281
2015-04-11,33804
2015-04-12,33418
2015-04-13,33228
2015-04-14,32888
2015-04-15,33184
2015-04-16,33418
2015-04-17,33779
2015-04-18,34318
2015-04-19,34922
2015-04-20,34871
2015-04-21,34193
2015-04-22,33492
2015-04-23,33646
2015-04-24,33478
2015-04-25,33426
2015-04-26,33602
2015-04-27,33771
2015-04-28,33302
2015-04-29,32931
2015-04-30,32491
2015-05-01,33075
2015-05-02,34033
2015-05-03,33874
2015-05-04,33645
2015-05-05,33153
2015-05-06,33090
2015-05-07,33535
2015-05-08,34395
2015-05-09,36067
2015-05-10,36990
2015-05-11,35884
2015-05-12,35176
2015-05-13,34766
2015-05-14,33940
2015-05-15,33056
2015-05-16,32148
2015-05-17,32914
2015-05-18,33774
2015-05-19,34742
2015-05-20,35659
2015-05-21,36457
2015-05-22,36332
2015-05-23,36068
2015-05-24,36593
2015-05-25,36146
2015-05-26,35154
2015-05-27,34183
2015-05-28,34112
2015-05-29,33926
2015-05-30,33723
2015-05-31,34089
2015-06-01,33971
2015-06-02,33782
2015-06-03,33504
2015-06-04,33779
2015-06-05,33059
2015-06-06,32850
2015-06-07,32901
2015-06-08,32476
2015-06-09,32760
2015-06-10,32891
2015-06-11,33006
2015-06-12,33090
2015-06-13,33524
2015-06-14,33407
2015-06-15,33192
2015-06-16,32009
2015-06-17,31473
2015-06-18,32123
2015-06-19,32593
2015-06-20,33312
2015-06-21,34173
2015-06-22,34607
2015-06-23,35561
2015-06-24,34663
2015-06-25,34990
2015-06-26,36441
2015-06-27,37615
2015-06-28,36808
2015-06-29,34970
2015-06-30,33867
2015-07-01,33306
2015-07-02,34212
2015-07-03,34799
2015-07-04,35041
2015-07-05,35959
2015-07-06,36023
2015-07-07,36009
2015-07-08,36509
2015-07-09,36244
2015-07-10,35580
2015-07-11,35778
2015-07-12,35375
2015-07-13,34198
2015-07-14,33916
2015-07-15,34350
2015-07-16,33962
2015-07-17,34483
2015-07-18,35339
2015-07-19,36657
2015-07-20,36136
2015-07-21,35974
2015-07-22,37480
2015-07-23,37503
2015-07-24,36565
2015-07-25,35875
2015-07-26,35351
2015-07-27,35740
2015-07-28,35596
2015-07-29,36299
2015-07-30,36885
2015-07-31,36535
2015-08-01,36812
2015-08-02,37141
2015-08-03,36704
2015-08-04,36998
2015-08-05,37192
2015-08-06,37402
2015-08-07,38579
2015-08-08,39162
2015-08-09,38842
2015-08-10,38765
2015-08-11,38674
2015-08-12,38679
2015-08-13,38533
2015-08-14,37878
2015-08-15,37003
2015-08-16,35391
2015-08-17,33676
2015-08-18,33904
2015-08-19,33172
2015-08-20,33798
2015-08-21,34091
2015-08-22,34316
2015-08-23,33604
2015-08-24,34115
2015-08-25,33944
2015-08-26,33408
2015-08-27,33372
2015-08-28,33791
2015-08-29,34440
2015-08-30,34443
2015-08-31,33767
2015-09-01,33663
2015-09-02,33153
2015-09-03,33127
2015-09-04,33231
2015-09-05,32977
2015-09-06,33059
2015-09-07,33698
2015-09-08,33368
2015-09-09,33090
2015-09-10,32923
2015-09-11,33618
2015-09-12,34114
2015-09-13,35413
2015-09-14,37044
2015-09-15,38724
2015-09-16,39118
2015-09-17,38085
2015-09-18,36251
2015-09-19,34561
2015-09-20,33810
2015-09-21,33696
2015-09-22,33561
2015-09-23,33245
2015-09-24,32807
2015-09-25,33064
2015-09-27,34213
2015-09-28,34918
2015-09-29,35462
2015-09-30,35694
2015-10-05,35128
2015-10-06,35376
2015-10-07,35627
2015-10-08,36092
2015-10-09,36083
2015-10-10,37273
2015-10-11,36806
2015-10-12,35698
2015-10-13,35066
2015-10-14,35376
2015-10-15,34552
2015-10-16,34225
2015-10-17,34526
2015-10-18,34265
2015-10-19,34127
2015-10-20,34116
2015-10-22,34407
2015-10-23,34303
2015-10-24,34350
2015-10-25,34577
2015-10-26,35326
2015-10-27,35448
2015-10-29,35149
2015-10-30,35041
2015-10-31,34707
2015-11-01,34431
2015-11-02,34668
2015-11-03,34234
2015-11-04,34089
2015-11-05,33993
2015-11-06,33975
2015-11-07,33607
2015-11-08,32808
2015-11-09,33216
2015-11-10,33407
2015-11-11,33108
2015-11-12,33504
2015-11-13,33659
2015-11-14,33359
2015-11-15,33964
2015-11-16,34217
2015-11-17,34172
2015-11-18,35092
2015-11-19,36696
2015-11-20,37641
2015-11-21,37741
2015-11-22,38772
2015-11-23,40281
2015-11-24,41250
2015-11-25,42092
2015-11-26,40388
2015-11-27,39458
2015-11-28,39116
2015-11-29,39524
2015-11-30,39668
2015-12-01,39214
2015-12-02,38942
2015-12-03,38458
2015-12-04,37899
2015-12-05,37562
2015-12-06,36997
2015-12-07,37034
2015-12-08,37040
2015-12-09,37247
2015-12-10,37190
2015-12-11,37344
2015-12-12,37301
2015-12-13,37072
2015-12-14,37036
2015-12-15,37031
2015-12-16,36833
2015-12-17,37034
2015-12-18,36676
2015-12-19,36364
2015-12-20,36612
2015-12-21,37398
2015-12-22,38025
2015-12-23,38217
2015-12-24,39471
2015-12-25,39221
2015-12-26,39000
2015-12-27,39465
2015-12-28,41395
2015-12-29,42459
2015-12-30,41979
2015-12-31,43224
2016-01-01,41532
2016-01-02,40396
2016-01-03,40344
2016-01-04,41734
2016-01-05,42140
2016-01-06,42570
2016-01-07,41740
2016-01-08,41310
2016-01-09,42146
2016-01-10,42760
2016-01-11,44023
2016-01-12,43133
2016-01-13,43317
2016-01-14,41714
2016-01-15,40716
2016-01-16,41025
2016-01-17,40732
2016-01-18,40211
2016-01-19,39172
2016-01-20,37543
2016-01-21,35926
2016-01-22,34341
2016-01-23,32682
2016-01-24,33017
2016-01-25,33131
2016-01-26,33569
2016-01-27,33942
2016-01-28,33957
2016-01-29,33452
2016-01-30,33629
2016-01-31,34619
2016-02-01,35379
2016-02-02,34454
2016-02-03,34202
2016-02-04,34239
2016-02-05,33699
2016-02-06,33400
2016-02-07,33194
2016-02-08,33389
2016-02-09,33541
2016-02-10,34353
2016-02-11,34527
2016-02-12,34244
2016-02-13,34030
2016-02-14,34072
2016-02-15,34113
2016-02-16,33897
2016-02-17,33798
2016-02-18,33050
2016-02-19,33260
2016-02-20,33465
2016-02-21,34250
2016-02-22,35715
2016-02-23,35747
2016-02-24,34849
2016-02-25,34787
2016-02-26,34824
2016-02-27,34849
2016-02-28,34855
2016-02-29,36269
2016-03-01,38083
2016-03-02,38045
2016-03-03,37188
2016-03-04,37986
2016-03-05,39004
2016-03-06,39203
2016-03-07,38378
2016-03-08,38091
2016-03-09,38041
2016-03-10,37718
2016-03-11,37912
2016-03-12,37460
2016-03-13,36489
2016-03-14,35761
2016-03-15,35639
2016-03-16,35591
2016-03-17,36134
2016-03-18,36814
2016-03-19,36694
2016-03-20,37589
2016-03-21,38132
2016-03-22,39261
2016-03-23,38647
2016-03-24,38366
2016-03-25,39780
2016-03-26,41645
2016-03-27,43477
2016-03-28,42801
2016-03-29,40994
2016-03-30,40277
2016-03-31,39916
2016-04-01,40085
2016-04-02,40106
2016-04-03,40226
2016-04-04,40982
2016-04-05,41253
2016-04-06,43057
2016-04-07,44900
2016-04-08,46141
2016-04-09,45484
2016-04-10,45216
2016-04-11,43150
2016-04-12,41649
2016-04-13,41064
2016-04-14,40075
2016-04-15,38845
2016-04-16,37512
2016-04-17,37074
2016-04-18,37377
2016-04-19,37943
2016-04-20,39144
2016-04-21,39763
2016-04-22,40568
2016-04-23,41323
2016-04-24,41605
2016-04-25,40653
2016-04-26,39706
2016-04-27,38453
2016-04-28,37849
2016-04-29,36603
2016-04-30,36651
2016-05-01,36722
2016-05-02,36468
2016-05-03,35996
2016-05-04,35730
2016-05-05,35836
2016-05-06,35722
2016-05-07,34605
2016-05-08,33582
2016-05-09,32393
2016-05-10,31750
2016-05-11,31650
2016-05-12,32489
2016-05-13,33417
2016-05-14,33328
2016-05-15,34797
2016-05-16,34357
2016-05-17,33916
2016-05-18,34669
2016-05-19,34395
2016-05-22,35976
2016-05-23,36716
2016-05-24,37931
2016-05-25,38075
2016-05-26,37532
2016-05-27,36382
2016-05-28,36079
2016-05-29,34912
2016-05-30,35093
2016-05-31,35318
2016-06-01,34337
2016-06-02,34342
2016-06-03,34594
2016-06-04,34823
2016-06-05,34311
2016-06-06,34659
2016-06-07,34768
2016-06-08,34095
2016-06-09,34088
2016-06-10,34378
2016-06-11,34421
2016-06-12,34346
2016-06-13,34326
2016-06-14,34197
2016-06-15,34173
2016-06-16,34738
2016-06-17,35132
2016-06-18,35195
2016-06-19,34788
2016-06-20,34985
2016-06-21,34801
2016-06-22,34004
2016-06-23,33829
2016-06-24,34220
2016-06-25,34925
2016-06-26,36148
2016-06-27,35060
2016-06-28,35725
2016-06-29,35255
2016-06-30,35721
2016-07-01,35276
2016-07-02,36494
2016-07-03,36692
2016-07-04,37933
2016-07-05,37956
2016-07-06,38140
2016-07-07,37994
2016-07-08,38697
2016-07-09,39610
2016-07-10,40801
2016-07-11,42131
2016-07-12,41787
2016-07-13,40312
2016-07-14,40268
2016-07-15,38947
2016-07-16,37204
2016-07-17,35595
2016-07-18,34279
2016-07-23,33965
2016-07-24,34290
2016-07-25,34535
2016-07-26,34411
2016-07-27,33934
2016-07-28,32755
2016-07-29,33025
2016-07-30,33043
2016-07-31,34072
2016-08-01,34566
2016-08-02,34537
2016-08-03,34597
2016-08-04,34518
2016-08-05,33915
2016-08-06,33032
2016-08-07,32072
2016-08-08,32035
2016-08-09,32914
2016-08-10,33048
2016-08-11,33484
2016-08-12,33560
2016-08-13,34639
2016-08-14,34678
2016-08-15,33714
2016-08-16,33675
2016-08-17,34584
2016-08-18,33620
2016-08-19,33008
2016-08-20,32796
2016-08-21,33196
2016-08-22,32784
2016-08-23,33319
2016-08-24,33778
2016-08-25,33345
2016-08-26,34306
2016-08-28,34219
2016-08-31,33953
2016-09-01,35463
2016-09-02,35988
2016-09-03,36444
2016-09-04,37284
2016-09-05,37569
2016-09-06,38452
2016-09-07,39715
2016-09-08,40070
2016-09-09,38972
2016-09-10,38293
2016-09-11,39063
2016-09-12,37705
2016-09-13,38145
2016-09-14,38410
2016-09-15,37207
2016-09-16,36180
2016-09-17,36000
2016-09-18,35992
2016-09-19,35610
2016-09-20,34689
2016-09-21,34551
2016-09-22,34382
2016-09-23,34036
2016-09-24,33955
2016-09-25,33607
2016-09-26,33008
2016-09-27,33412
2016-09-28,34647
2016-09-29,34302
2016-09-30,35504
2016-10-01,37217
2016-10-02,38032
2016-10-03,39625
2016-10-04,38439
2016-10-05,36585
2016-10-06,36062
2016-10-07,35250
2016-10-08,35014
2016-10-09,35375
2016-10-10,34951
2016-10-11,34723
2016-10-12,33893
2016-10-13,34183
2016-10-14,34749
2016-10-15,35368
2016-10-16,34195
2016-10-17,34021
2016-10-18,34968
2016-10-19,36337
2016-10-20,36863
2016-10-21,37940
2016-10-22,38624
2016-10-23,38423
2016-10-24,38771
2016-10-25,38464
2016-10-26,38150
2016-10-27,37749
2016-10-28,38234
2016-10-29,38809
2016-10-30,39125
2016-10-31,38107
2016-11-01,37318
2016-11-02,36658
2016-11-03,36793
2016-11-04,36754
2016-11-05,36253
2016-11-06,36827
2016-11-07,36290
2016-11-08,35358
2016-11-09,35100
2016-11-10,34864
2016-11-11,35328
2016-11-12,35245
2016-11-13,36186
2016-11-14,35486
2016-11-15,35824
2016-12-07,39142
2016-12-08,39509
2016-12-09,38873
2016-12-10,37255
2016-12-11,36379
2016-12-12,36261
2016-12-13,36428
2016-12-14,36209
2016-12-15,35895
2016-12-16,35494
2016-12-17,35646
2016-12-18,36511
2016-12-19,36003
2016-12-20,36054
2016-12-21,36893
2016-12-22,35696
2016-12-23,35561
2016-12-24,35564
2016-12-25,35845
2016-12-26,36425
2016-12-27,36675
2016-12-28,36949
2016-12-29,38608
2016-12-30,40036
2016-12-31,39106
2017-01-01,39328
2017-01-02,38739
2017-01-03,38284
2017-01-04,37757
2017-01-05,36385
2017-01-06,35058
2017-01-07,35118
2017-01-08,35605
2017-01-09,35020
2017-01-10,35234
2017-01-11,34636
2017-01-12,35470
2017-01-13,34968
2017-01-14,35341
2017-01-15,35545
2017-01-16,35350
2017-01-17,34888
2017-01-18,34905
2017-01-19,34762
2017-01-20,35346
2017-01-21,35561
2017-01-22,35428
2017-01-23,35268
2017-01-27,34244
2017-01-28,34202
2017-01-29,34392
2017-01-30,34729
2017-01-31,34780
2017-02-01,34074
2017-02-02,33579
2017-02-03,33500
2017-02-04,33533
2017-02-05,33831
2017-02-06,34403
2017-02-07,34495
2017-02-08,34353
2017-02-09,33628
2017-02-10,33588
2017-02-11,33611
2017-02-12,33970
2017-02-13,33855
2017-02-14,33598
2017-02-15,33515
2017-02-16,33512
2017-02-18,33646
2017-02-19,34026
2017-02-20,33743
2017-02-21,33336
2017-02-22,32598
2017-02-23,32948
2017-02-24,33213
2017-02-25,33541
2017-02-26,33858
2017-02-27,34785
2017-02-28,35898
2017-03-01,37170
2017-03-02,37010
2017-03-03,36214
2017-03-04,37120
2017-03-05,38044
2017-03-06,38466
2017-03-07,37059
2017-03-08,36767
2017-03-09,36449
2017-03-10,35792
2017-03-12,35859
2017-03-13,35646
2017-03-14,35985
2017-03-15,35840
2017-03-16,36343
2017-03-17,36334
2017-03-18,36208
2017-03-19,36109
2017-03-20,35707
2017-03-21,35906
2017-03-22,35767
2017-03-23,35822
2017-03-24,35785
2017-03-25,35659
2017-03-26,35062
2017-03-27,35342
2017-03-28,34756
2017-03-29,34548
2017-03-30,34261
2017-03-31,34081
2017-04-01,33906
2017-04-02,34007
2017-04-03,33512
2017-04-04,32059
2017-04-12,38118
2017-04-13,36963
2017-04-14,36961
2017-04-15,37899
2017-04-16,39158
2017-04-17,40759
2017-04-18,42578
2017-04-19,43267
2017-04-20,43109
2017-04-21,43821
2017-04-22,42040
2017-04-23,40263
2017-04-24,39484
2017-04-25,38019
2017-04-26,38638
2017-04-27,38415
