date_obj,Inquisitor's%20mace price
2020-02-05,80000000
2020-02-06,83051282
2020-02-07,86884779
2020-02-08,90977238
2020-02-09,300000000
2020-02-10,313313559
2020-02-11,327539588
2020-02-12,342862835
2020-02-13,342862835
2020-02-14,359514303
2020-02-15,359514303
2020-02-16,376524221
2020-02-17,393057712
2020-02-18,410527776
2020-02-19,410527776
2020-02-20,429829233
2020-02-21,429829233
2020-02-22,450047998
2020-02-23,450047998
2020-02-24,471928546
2020-02-25,471928546
2020-02-26,494757627
2020-02-27,494757627
2020-02-28,518392212
2020-02-29,518392212
2020-03-01,541961024
2020-03-02,541961024
2020-03-03,541961024
2020-03-04,567568730
2020-03-05,567568730
2020-03-06,594377532
2020-03-07,594377532
2020-03-08,621788076
2020-03-09,621788076
2020-03-10,651928185
2020-03-11,651928185
2020-03-12,678158898
2020-03-13,678158898
2020-03-14,703451039
2020-03-15,703451039
2020-03-16,726602530
2020-03-17,726602530
2020-03-18,760753588
2020-03-19,760753588
2020-03-20,798791268
2020-03-21,798791268
2020-03-22,803873706
2020-03-23,803873706
2020-03-24,794062799
2020-03-25,815199007
2020-03-26,827381201
2020-03-27,856104470
2020-03-28,856104470
2020-03-29,850795169
2020-03-30,808267151
2020-03-31,770205309
2020-04-01,731695043
2020-04-02,695110290
2020-04-03,695110290
2020-04-04,660354775
2020-04-05,660354775
2020-04-06,627337036
2020-04-07,596936892
2020-04-08,567090047
2020-04-09,567090047
2020-04-10,538735544
2020-04-11,558729570
2020-04-12,558729570
2020-04-13,577747631
2020-04-14,603203279
2020-04-15,617662685
2020-04-16,586779550
2020-04-17,564654495
2020-04-18,536884920
2020-04-19,510040674
2020-04-20,485341070
2020-04-21,485341070
2020-04-22,480184915
2020-04-23,499502296
2020-04-24,514319677
2020-04-25,514319677
2020-04-26,499857239
2020-04-27,499523652
2020-04-28,498996952
2020-04-29,498996952
2020-04-30,495532317
2020-05-01,495532317
2020-05-02,490627879
2020-05-03,484236877
2020-05-04,476523738
2020-05-05,470509665
2020-05-06,465884649
2020-05-07,465884649
2020-05-08,457441321
2020-05-09,447088643
2020-05-10,426179059
2020-05-11,426179059
2020-05-12,404870106
2020-05-13,415261003
