date_obj,Zamorak%20full%20helm price
2015-03-26,89426
2015-03-27,89426
2015-03-28,85606
2015-03-29,85606
2015-03-30,82149
2015-03-31,82149
2015-04-01,82149
2015-04-02,78204
2015-04-03,78204
2015-04-04,74669
2015-04-05,74669
2015-04-06,71182
2015-04-07,71182
2015-04-08,71182
2015-04-09,67622
2015-04-10,67622
2015-04-11,65937
2015-04-12,65937
2015-04-13,64269
2015-04-14,64269
2015-04-15,61746
2015-04-16,61746
2015-04-17,58940
2015-04-18,58940
2015-04-19,56831
2015-04-20,56831
2015-04-21,56831
2015-04-22,55642
2015-04-23,55642
2015-04-24,54052
2015-04-25,54052
2015-04-26,54052
2015-04-27,53949
2015-04-28,53949
2015-04-29,53949
2015-04-30,54405
2015-05-01,54405
2015-05-02,53669
2015-05-03,53669
2015-05-04,52841
2015-05-05,52841
2015-05-06,51909
2015-05-07,51909
2015-05-08,51775
2015-05-09,51775
2015-05-10,51469
2015-05-11,51469
2015-05-12,51886
2015-05-13,51886
2015-05-14,51886
2015-05-15,52293
2015-05-16,52293
2015-05-17,51270
2015-05-18,51270
2015-05-19,51270
2015-05-20,50673
2015-05-21,50673
2015-05-22,50673
2015-05-23,49801
2015-05-24,49801
2015-05-25,49655
2015-05-26,49655
2015-05-27,49655
2015-05-28,48754
2015-05-29,48754
2015-05-30,47992
2015-05-31,47992
2015-06-01,47654
2015-06-02,47654
2015-06-03,47751
2015-06-04,47751
2015-06-05,47726
2015-06-06,48003
2015-06-07,48003
2015-06-08,49343
2015-06-09,50060
2015-06-10,50334
2015-06-11,50334
2015-06-12,49972
2015-06-13,49972
2015-06-14,49899
2015-06-15,49899
2015-06-16,50154
2015-06-17,50154
2015-06-18,50491
2015-06-19,50491
2015-06-20,52032
2015-06-21,52032
2015-06-22,52705
2015-06-23,52705
2015-06-24,52474
2015-06-25,52474
2015-06-26,51673
2015-06-27,51673
2015-06-28,50691
2015-06-29,50691
2015-06-30,51463
2015-07-01,51463
2015-07-02,51856
2015-07-03,51972
2015-07-04,51972
2015-07-05,51846
2015-07-06,51846
2015-07-07,52604
2015-07-08,52604
2015-07-09,54138
2015-07-10,54138
2015-07-11,55239
2015-07-12,55239
2015-07-13,56401
2015-07-14,56401
2015-07-15,57232
2015-07-16,57232
2015-07-17,58426
2015-07-18,58426
2015-07-19,59457
2015-07-20,59457
2015-07-21,60410
2015-07-22,61786
2015-07-23,61786
2015-07-24,62668
2015-07-25,62668
2015-07-26,63817
2015-07-27,63817
2015-07-28,63945
2015-07-29,63748
2015-07-30,63748
2015-07-31,62476
2015-08-01,62476
2015-08-02,62209
2015-08-03,62209
2015-08-04,61568
2015-08-05,62355
2015-08-06,62355
2015-08-07,63489
2015-08-08,65060
2015-08-09,65060
2015-08-10,65744
2015-08-11,65744
2015-08-12,64335
2015-08-13,64335
2015-08-14,63672
2015-08-15,63672
2015-08-16,64781
2015-08-17,67161
2015-08-18,67161
2015-08-19,69200
2015-08-20,69200
2015-08-21,70650
2015-08-22,70650
2015-08-23,72115
2015-08-24,72115
2015-08-25,73289
2015-08-26,73289
2015-08-27,73243
2015-08-28,73243
2015-08-29,73528
2015-08-30,73528
2015-08-31,74578
2015-09-01,74578
2015-09-02,74570
2015-09-03,74570
2015-09-04,74129
2015-09-05,74129
2015-09-06,74080
2015-09-07,74080
2015-09-08,73800
2015-09-09,73800
2015-09-10,73986
2015-09-11,73986
2015-09-12,73609
2015-09-13,73609
2015-09-14,74126
2015-09-15,74580
2015-09-16,74580
2015-09-17,75420
2015-09-18,75420
2015-09-19,75402
2015-09-20,75402
2015-09-21,74547
2015-09-22,74547
2015-09-23,73666
2015-09-24,73666
2015-09-25,73666
2015-09-27,72695
2015-09-28,70856
2015-09-29,70856
2015-09-30,70466
2015-10-05,68436
2015-10-06,68750
2015-10-07,68750
2015-10-08,67205
2015-10-09,67205
2015-10-10,65903
2015-10-11,68186
2015-10-12,68186
2015-10-13,68194
2015-10-14,68194
2015-10-15,70082
2015-10-16,70082
2015-10-17,71585
2015-10-18,71585
2015-10-19,72064
2015-10-20,72064
2015-10-22,72982
2015-10-23,73126
2015-10-24,73126
2015-10-25,72793
2015-10-26,72793
2015-10-27,72324
2015-10-29,71995
2015-10-30,71995
2015-10-31,73056
2015-11-01,73056
2015-11-02,72427
2015-11-03,72427
2015-11-05,71891
2015-11-06,72351
2015-11-07,72522
2015-11-08,72522
2015-11-09,71895
2015-11-10,71895
2015-11-11,71909
2015-11-12,71909
2015-11-13,71909
2015-11-14,73149
2015-11-15,73149
2015-11-16,74204
2015-11-17,74204
2015-11-18,75227
2015-11-19,75227
2015-11-20,76810
2015-11-21,76810
2015-11-22,78662
2015-11-23,78662
2015-11-24,78662
2015-11-25,80219
2015-11-26,80219
2015-11-27,81699
2015-11-28,81699
2015-11-29,82166
2015-11-30,82166
2015-12-01,82978
2015-12-02,82978
2015-12-03,84017
2015-12-04,84017
2015-12-05,85188
2015-12-06,85894
2015-12-07,85894
2015-12-08,86617
2015-12-09,86961
2015-12-10,86961
2015-12-11,86590
2015-12-13,86454
2015-12-14,86454
2015-12-15,85522
2015-12-16,85522
2015-12-17,85492
2015-12-18,85492
2015-12-19,85270
2015-12-20,85270
2015-12-21,85871
2015-12-22,85871
2015-12-23,87377
2015-12-24,87377
2015-12-25,88862
2015-12-26,88862
2015-12-27,89778
2015-12-28,89778
2015-12-29,90450
2015-12-30,90450
2015-12-31,90087
2016-01-01,90087
2016-01-02,91234
2016-01-03,92060
2016-01-04,92826
2016-01-05,92826
2016-01-06,94306
2016-01-07,94306
2016-01-08,95292
2016-01-09,95292
2016-01-10,94319
2016-01-11,94319
2016-01-12,95392
2016-01-13,95392
2016-01-14,95478
2016-01-15,95478
2016-01-16,95600
2016-01-17,95600
2016-01-18,95331
2016-01-19,95331
2016-01-20,93509
2016-01-21,93509
2016-01-22,92080
2016-01-23,92080
2016-01-24,92280
2016-01-25,90547
2016-01-26,90547
2016-01-27,89214
2016-01-28,89214
2016-01-29,86320
2016-01-30,86320
2016-01-31,83105
2016-02-01,81564
2016-02-02,81564
2016-02-03,82253
2016-02-04,82253
2016-02-05,81587
2016-02-06,81878
2016-02-07,81878
2016-02-08,82087
2016-02-09,82087
2016-02-10,83022
2016-02-11,83022
2016-02-12,82047
2016-02-13,83382
2016-02-14,83382
2016-02-15,81937
2016-02-16,81937
2016-02-17,81897
2016-02-18,81897
2016-02-19,83236
2016-02-20,83236
2016-02-21,85610
2016-02-22,85610
2016-02-23,88917
2016-02-24,88917
2016-02-25,91356
2016-02-26,91356
2016-02-27,94717
2016-02-28,94717
2016-02-29,99401
2016-03-01,103847
2016-03-02,103847
2016-03-03,109040
2016-03-04,109040
2016-03-05,114492
2016-03-06,120217
2016-03-07,120217
2016-03-08,126228
2016-03-09,131854
2016-03-10,138215
2016-03-11,138215
2016-03-12,143737
2016-03-13,143737
2016-03-14,150267
2016-03-15,150267
2016-03-16,155089
2016-03-17,155089
2016-03-18,158292
2016-03-19,158292
2016-03-20,158907
2016-03-21,158907
2016-03-22,154255
2016-03-23,150470
2016-03-24,150470
2016-03-25,144487
2016-03-26,138313
2016-03-27,138313
2016-03-28,132103
2016-03-29,131393
2016-03-30,131393
2016-03-31,129862
2016-04-01,129862
2016-04-02,127184
2016-04-03,122322
2016-04-04,120698
2016-04-05,120698
2016-04-06,120658
2016-04-07,120658
2016-04-08,120004
2016-04-09,120004
2016-04-10,119875
2016-04-11,119875
2016-04-12,117367
2016-04-13,117367
2016-04-14,116057
2016-04-15,116057
2016-04-16,113128
2016-04-17,113128
2016-04-18,110427
2016-04-19,110427
2016-04-20,110424
2016-04-21,110424
2016-04-22,107854
2016-04-23,107854
2016-04-24,105743
2016-04-25,101889
2016-04-26,101889
2016-04-27,100822
2016-04-28,100822
2016-04-29,102364
2016-04-30,100349
2016-05-01,100349
2016-05-02,98168
2016-05-03,98914
