date_obj,Rune%20med%20helm price
2015-03-26,11350
2015-03-27,11288
2015-03-28,11345
2015-03-29,11355
2015-03-30,11400
2015-03-31,11377
2015-04-01,11368
2015-04-02,11344
2015-04-03,11373
2015-04-04,11330
2015-04-05,11298
2015-04-06,11279
2015-04-07,11320
2015-04-08,11332
2015-04-09,11342
2015-04-10,11372
2015-04-11,11331
2015-04-12,11375
2015-04-13,11388
2015-04-14,11322
2015-04-15,11343
2015-04-16,11378
2015-04-17,11357
2015-04-18,11367
2015-04-19,11377
2015-04-20,11420
2015-04-21,11379
2015-04-22,11421
2015-04-23,11386
2015-04-24,11382
2015-04-25,11344
2015-04-26,11297
2015-04-27,11313
2015-04-28,11314
2015-04-29,11346
2015-04-30,11378
2015-05-01,11368
2015-05-02,11342
2015-05-03,11328
2015-05-04,11312
2015-05-05,11308
2015-05-06,11313
2015-05-07,11332
2015-05-08,11389
2015-05-09,11362
2015-05-10,11284
2015-05-11,11288
2015-05-12,11325
2015-05-13,11375
2015-05-14,11333
2015-05-15,11341
2015-05-16,11328
2015-05-17,11328
2015-05-18,11392
2015-05-19,11411
2015-05-20,11403
2015-05-21,11472
2015-05-22,11476
2015-05-23,11331
2015-05-24,11306
2015-05-25,11299
2015-05-26,11327
2015-05-27,11364
2015-05-28,11339
2015-05-29,11326
2015-05-30,11274
2015-05-31,11327
2015-06-01,11342
2015-06-02,11351
2015-06-03,11370
2015-06-04,11389
2015-06-05,11385
2015-06-06,11331
2015-06-07,11309
2015-06-08,11360
2015-06-09,11378
2015-06-10,11394
2015-06-11,11397
2015-06-12,11397
2015-06-13,11376
2015-06-14,11369
2015-06-15,11386
2015-06-16,11382
2015-06-17,11378
2015-06-18,11386
2015-06-19,11353
2015-06-20,11390
2015-06-21,11377
2015-06-22,11447
2015-06-23,11446
2015-06-24,11468
2015-06-25,11462
2015-06-26,11418
2015-06-27,11505
2015-06-28,11482
2015-06-29,11489
2015-06-30,11416
2015-07-01,11433
2015-07-02,11435
2015-07-03,11465
2015-07-04,11390
2015-07-05,11348
