date_obj,Rock-shell%20boots price
2015-03-26,72000
2015-03-27,72000
2015-03-28,72000
2015-03-29,72000
2015-03-30,72000
2015-03-31,72000
2015-04-01,72000
2015-04-02,72000
2015-04-03,72000
2015-04-04,72000
2015-04-05,72000
2015-04-06,72000
2015-04-07,72000
2015-04-08,72000
2015-04-09,72000
2015-04-10,72000
2015-04-11,72000
2015-04-12,72000
2015-04-13,72000
2015-04-14,72000
2015-04-15,72000
2015-04-16,72000
2015-04-17,72000
2015-04-18,72000
2015-04-19,72000
2015-04-20,72000
2015-04-21,72000
2015-04-22,72000
2015-04-23,72000
2015-04-24,72000
2015-04-25,72000
2015-04-26,72000
2015-04-27,72000
2015-04-28,72000
2015-04-29,72000
2015-04-30,72000
2015-05-01,72000
2015-05-02,72000
2015-05-03,72000
2015-05-04,72000
2015-05-05,72000
2015-05-06,72000
2015-05-07,72000
2015-05-08,72000
2015-05-09,72000
2015-05-10,72000
2015-05-11,72000
2015-05-12,72000
2015-05-13,72000
2015-05-14,72000
2015-05-15,72000
2015-05-16,72000
2015-05-17,72000
2015-05-18,72000
2015-05-19,72000
2015-05-20,72000
2015-05-21,72000
2015-05-22,72000
2015-05-23,72000
2015-05-24,72000
2015-05-25,72000
2015-05-26,72000
2015-05-27,72000
2015-05-28,72768
2015-05-29,72768
2015-05-30,72768
2015-05-31,72768
2015-06-01,72768
2015-06-02,72768
2015-06-03,72768
2015-06-04,72768
2015-06-05,72768
2015-06-06,72768
2015-06-07,72768
2015-06-08,72768
2015-06-09,72768
2015-06-10,72768
2015-06-11,72768
2015-06-12,72768
2015-06-13,72768
2015-06-14,72768
2015-06-15,72768
2015-06-16,72768
2015-06-17,72768
2015-06-18,72768
2015-06-19,72768
2015-06-20,72768
2015-06-21,72768
2015-06-22,72768
2015-06-23,72768
2015-06-24,72768
2015-06-25,72768
2015-06-26,72768
2015-06-27,72768
2015-06-28,72768
2015-06-29,72768
2015-06-30,72768
2015-07-01,72768
2015-07-02,72768
2015-07-03,72768
2015-07-04,72768
2015-07-05,72768
2015-07-06,72768
2015-07-07,72768
2015-07-08,72768
2015-07-09,72768
2015-07-10,72768
2015-07-11,72768
2015-07-12,72768
2015-07-13,72768
2015-07-14,72768
2015-07-15,72768
2015-07-16,72768
2015-07-17,72768
2015-07-18,72768
2015-07-19,72768
2015-07-20,72768
2015-07-21,72768
2015-07-22,72768
2015-07-23,72768
2015-07-24,72768
2015-07-25,74010
2015-07-26,74010
2015-07-27,74010
2015-07-28,74010
2015-07-29,74010
2015-07-30,74010
2015-07-31,74010
2015-08-01,74010
2015-08-02,74010
2015-08-03,74010
2015-08-04,74010
2015-08-05,74010
2015-08-06,74010
2015-08-07,74010
2015-08-08,74010
2015-08-09,74010
2015-08-10,74010
2015-08-11,74010
2015-08-12,74010
2015-08-13,74010
2015-08-14,74010
2015-08-15,74010
2015-08-16,74010
2015-08-17,74010
2015-08-18,74010
2015-08-19,74010
2015-08-20,74010
2015-08-21,74010
2015-08-22,74010
2015-08-23,74010
2015-08-24,74010
2015-08-25,74010
2015-08-26,74010
2015-08-27,74010
2015-08-28,74010
2015-08-29,74010
2015-08-30,74010
2015-08-31,74010
2015-09-01,74010
2015-09-02,74010
2015-09-03,74010
2015-09-04,74010
2015-09-05,74010
2015-09-06,74010
2015-09-07,74010
2015-09-08,74010
2015-09-09,74010
2015-09-10,74010
2015-09-11,74010
2015-09-12,74010
2015-09-13,74010
2015-09-14,74010
2015-09-15,74010
2015-09-16,74010
2015-09-17,74010
2015-09-18,74010
2015-09-19,74010
2015-09-20,74010
2015-09-21,74010
2015-09-22,74010
2015-09-23,76219
2015-09-24,76219
2015-09-25,76219
2015-09-27,76219
2015-09-28,76219
2015-09-29,76219
2015-09-30,76219
2015-10-05,76219
2015-10-06,76219
2015-10-07,76219
2015-10-08,76219
2015-10-09,76219
2015-10-10,76219
2015-10-11,76219
2015-10-12,76219
2015-10-13,76219
2015-10-14,76219
2015-10-15,76219
2015-10-16,76219
2015-10-17,76219
2015-10-18,76219
2015-10-19,76219
2015-10-20,76219
2015-10-22,76219
2015-10-23,76219
2015-10-24,76219
2015-10-25,76219
2015-10-26,76219
2015-10-27,76219
2015-10-29,76219
2015-10-30,76219
2015-10-31,76219
2015-11-01,76219
2015-11-02,76219
2015-11-03,76219
2015-11-04,76219
2015-11-05,76219
2015-11-06,76219
2015-11-07,76219
2015-11-08,76219
2015-11-09,76219
2015-11-10,76219
2015-11-11,76219
2015-11-12,76219
2015-11-13,76219
2015-11-14,76219
2015-11-15,76219
2015-11-16,76219
2015-11-17,76219
2015-11-18,76219
2015-11-19,76219
2015-11-20,76219
2015-11-21,76219
2015-11-22,76219
2015-11-23,76219
2015-11-24,78411
2015-11-25,78411
2015-11-26,78411
2015-11-27,78411
2015-11-28,78411
2015-11-29,78411
2015-11-30,78411
2015-12-01,78411
2015-12-02,78411
2015-12-03,78411
