date_obj,Skeletal%20top price
2015-03-26,52798
2015-03-27,52798
2015-03-28,52798
2015-03-29,52798
2015-03-30,50250
2015-03-31,50250
2015-04-01,50250
2015-04-02,50250
2015-04-03,47816
2015-04-04,47816
2015-04-05,47816
2015-04-06,47816
2015-04-07,45534
2015-04-08,45534
2015-04-09,45534
2015-04-10,45534
2015-04-11,45534
2015-04-12,43473
2015-04-13,43473
2015-04-14,43473
2015-04-15,43473
2015-04-16,43473
2015-04-17,41352
2015-04-18,41352
2015-04-19,41352
2015-04-20,41352
2015-04-21,39633
2015-04-22,39633
2015-04-23,39633
2015-04-24,39633
2015-04-25,39633
2015-04-26,37742
2015-04-27,37742
2015-04-28,37742
2015-04-29,37742
2015-04-30,36508
2015-05-01,36508
2015-05-02,36508
2015-05-03,36508
2015-05-04,35165
2015-05-05,35165
2015-05-06,35165
2015-05-07,35165
2015-05-08,33781
2015-05-09,33781
2015-05-10,33781
2015-05-11,33781
2015-05-12,32610
2015-05-13,32610
2015-05-14,32610
2015-05-15,32610
2015-05-16,32610
2015-05-17,31202
2015-05-18,31202
2015-05-19,31202
2015-05-20,31202
2015-05-21,31202
2015-05-22,30358
2015-05-23,30358
2015-05-24,30358
2015-05-25,30358
2015-05-26,30104
2015-05-27,30104
2015-05-28,30104
2015-05-29,30721
2015-05-30,30721
2015-05-31,31146
2015-06-01,31146
2015-06-02,31146
2015-06-03,30341
2015-06-04,30341
2015-06-05,30341
2015-06-06,29627
2015-06-07,29627
2015-06-08,29627
2015-06-09,29457
2015-06-10,29457
2015-06-11,29457
2015-06-12,28510
2015-06-13,28510
2015-06-14,28510
2015-06-15,27898
2015-06-16,27898
2015-06-17,27898
2015-06-18,26897
2015-06-19,26897
2015-06-20,26897
2015-06-21,26671
2015-06-22,26671
2015-06-23,26671
2015-06-24,26298
2015-06-25,26298
2015-06-26,26298
2015-06-27,26015
2015-06-28,26015
2015-06-29,26015
2015-06-30,26216
2015-07-01,26216
2015-07-02,26216
2015-07-03,26889
2015-07-04,26889
2015-07-05,26889
2015-07-06,27763
2015-07-07,27763
2015-07-08,27958
2015-07-09,27958
2015-07-10,27958
2015-07-11,28478
2015-07-12,28478
2015-07-13,28478
2015-07-14,28776
2015-07-15,28776
2015-07-16,28776
2015-07-17,29220
2015-07-18,29220
2015-07-19,29220
2015-07-20,29030
2015-07-21,29030
2015-07-22,28628
2015-07-23,28628
2015-07-24,28628
2015-07-25,27832
2015-07-26,27832
2015-07-27,27832
2015-07-28,27824
2015-07-29,27824
2015-07-30,26482
2015-07-31,26482
2015-08-01,26482
2015-08-02,25819
2015-08-03,25819
2015-08-04,25819
2015-08-05,26387
2015-08-06,26387
2015-08-07,26387
2015-08-08,27358
2015-08-09,27358
2015-08-10,27358
2015-08-11,27950
2015-08-12,27950
2015-08-13,27950
2015-08-14,27966
2015-08-15,27966
2015-08-16,27966
2015-08-17,27574
2015-08-18,27574
2015-08-19,27574
2015-08-20,28215
2015-08-21,28215
2015-08-22,28357
2015-08-23,28357
2015-08-24,28357
2015-08-25,28388
2015-08-26,28388
2015-08-27,28593
2015-08-28,28593
2015-08-29,28182
2015-08-30,28182
2015-08-31,28182
2015-09-01,28609
2015-09-02,28609
2015-09-03,28609
2015-09-04,28818
2015-09-05,28818
2015-09-06,28818
2015-09-07,28918
2015-09-08,28918
2015-09-09,28918
2015-09-10,28533
2015-09-11,28533
2015-09-12,28533
2015-09-13,27888
2015-09-14,27888
2015-09-15,27888
2015-09-16,27783
2015-09-17,27783
2015-09-18,27783
2015-09-19,28105
2015-09-20,28105
2015-09-21,28105
2015-09-22,28105
2015-09-23,28298
2015-09-24,28298
2015-09-25,28298
2015-09-27,28489
2015-09-28,28489
2015-09-29,28489
2015-09-30,27970
2015-10-05,28218
2015-10-06,28218
2015-10-07,28218
2015-10-08,29326
2015-10-09,29326
2015-10-10,29326
2015-10-11,29402
2015-10-12,29402
2015-10-13,29402
2015-10-14,29402
2015-10-15,29193
2015-10-16,29193
2015-10-17,29193
2015-10-18,29193
2015-10-19,28752
2015-10-20,28752
2015-10-22,29334
2015-10-23,29334
2015-10-24,29334
2015-10-25,29156
2015-10-26,29156
2015-10-27,29156
2015-10-29,28035
2015-10-30,28035
2015-10-31,28035
2015-11-01,28035
2015-11-02,27717
2015-11-03,27717
2015-11-04,27717
2015-11-05,27717
2015-11-06,27689
2015-11-07,27689
2015-11-08,27689
2015-11-09,27689
2015-11-10,27232
2015-11-11,27232
2015-11-12,27232
2015-11-13,27232
2015-11-14,26966
2015-11-15,26966
2015-11-16,26966
2015-11-17,26966
2015-11-18,26466
2015-11-19,26466
2015-11-20,26466
2015-11-21,26466
2015-11-22,26921
2015-11-23,26921
2015-11-24,26921
2015-11-25,27233
2015-11-26,27233
2015-11-27,27233
2015-11-28,27233
2015-11-29,28038
2015-11-30,28038
2015-12-01,28038
2015-12-02,28038
2015-12-03,28483
2015-12-04,28483
2015-12-05,28483
2015-12-06,28731
2015-12-07,28731
2015-12-08,28731
2015-12-09,28848
2015-12-10,28848
2015-12-11,28848
2015-12-12,28760
2015-12-13,28760
2015-12-14,28760
2015-12-15,28848
2015-12-16,28848
2015-12-17,28848
2015-12-18,28848
2015-12-19,28568
2015-12-20,28568
2015-12-21,28568
2015-12-22,28361
2015-12-23,28361
2015-12-24,28361
2015-12-25,28346
2015-12-26,28346
2015-12-27,28346
2015-12-28,28342
2015-12-29,28342
2015-12-30,28342
2015-12-31,27889
2016-01-01,27889
2016-01-02,27889
2016-01-03,27898
2016-01-04,27898
2016-01-05,27898
2016-01-06,28868
2016-01-07,28868
2016-01-08,28868
2016-01-09,28769
2016-01-10,28769
2016-01-11,28769
2016-01-12,28586
2016-01-13,28586
2016-01-14,28586
2016-01-15,28694
2016-01-16,28694
2016-01-17,28694
2016-01-18,29187
2016-01-19,29187
2016-01-20,29187
2016-01-21,28986
2016-01-22,28986
2016-01-23,28986
2016-01-24,28552
2016-01-25,28552
2016-01-26,28552
2016-01-27,27860
2016-01-28,27860
2016-01-29,27912
2016-01-30,27912
2016-01-31,27912
2016-02-01,28178
2016-02-02,28178
2016-02-03,28178
2016-02-04,28210
2016-02-05,28210
2016-02-06,28210
2016-02-07,28291
2016-02-08,28291
2016-02-09,28291
2016-02-10,28369
2016-02-11,28369
2016-02-12,28369
2016-02-13,28115
2016-02-14,28115
2016-02-15,28115
2016-02-16,27864
2016-02-17,27864
2016-02-18,27864
2016-02-19,27747
2016-02-20,27747
2016-02-21,27901
2016-02-22,27901
2016-02-23,27901
2016-02-24,27646
2016-02-25,27646
2016-02-26,27646
2016-02-27,27125
2016-02-28,27125
2016-02-29,27125
2016-03-01,26238
2016-03-02,26238
2016-03-03,26238
2016-03-04,26739
2016-03-05,26739
2016-03-06,27815
2016-03-07,27815
2016-03-08,27815
2016-03-09,28230
2016-03-10,28230
2016-03-11,28230
2016-03-12,27685
2016-03-13,27685
2016-03-14,27685
2016-03-15,26805
2016-03-16,26805
2016-03-17,26805
2016-03-18,26945
2016-03-19,26945
2016-03-20,27029
2016-03-21,27029
2016-03-22,27029
2016-03-23,27012
2016-03-24,27012
2016-03-25,27012
2016-03-26,27118
2016-03-27,27118
2016-03-28,27256
2016-03-29,27256
2016-03-30,27256
2016-03-31,27000
2016-04-01,27000
2016-04-02,27000
2016-04-03,27024
2016-04-04,27024
2016-04-05,27024
2016-04-06,27113
2016-04-07,27113
2016-04-08,27113
2016-04-09,27282
2016-04-10,27282
2016-04-11,27282
2016-04-12,27440
2016-04-13,27440
2016-04-14,27440
2016-04-15,27682
2016-04-16,27682
2016-04-17,27682
2016-04-18,27788
2016-04-19,27788
2016-04-20,27788
2016-04-21,27891
2016-04-22,27891
2016-04-23,27891
2016-04-24,28212
2016-04-25,28212
2016-04-26,28212
