date_obj,Amulet%20of%20glory price
2015-03-26,22338
2015-03-27,22501
2015-03-28,22670
2015-03-29,22408
2015-03-30,22309
2015-03-31,22157
2015-04-01,22307
2015-04-02,22065
2015-04-03,21917
2015-04-04,21644
2015-04-05,21601
2015-04-06,20967
2015-04-07,20473
2015-04-08,19998
2015-04-09,19707
2015-04-10,19732
2015-04-11,19373
2015-04-12,19111
2015-04-13,18860
2015-04-14,18224
2015-04-15,17787
2015-04-16,18292
2015-04-17,18887
2015-04-18,19144
2015-04-19,18796
2015-04-20,19025
2015-04-21,18813
2015-04-22,18799
2015-04-23,18517
2015-04-24,18452
2015-04-25,18331
2015-04-26,18237
2015-04-27,18373
2015-04-28,19271
2015-04-29,20235
2015-04-30,21247
2015-05-01,22310
2015-05-02,23426
2015-05-03,24295
2015-05-04,24848
2015-05-05,24579
2015-05-06,23826
2015-05-07,23389
2015-05-08,23157
2015-05-09,22757
2015-05-10,22842
2015-05-11,22401
2015-05-12,22203
2015-05-13,23113
2015-05-14,22967
2015-05-15,22623
2015-05-16,22752
2015-05-17,22746
2015-05-18,22612
2015-05-19,22616
2015-05-20,22563
2015-05-21,22052
2015-05-22,22377
2015-05-23,22528
2015-05-24,22734
2015-05-25,22398
2015-05-26,22201
2015-05-27,22002
2015-05-28,22340
2015-05-29,22273
2015-05-30,22373
2015-05-31,22331
2015-06-01,22347
2015-06-02,22016
2015-06-03,22005
2015-06-04,21980
2015-06-05,21658
2015-06-06,21324
2015-06-07,21188
2015-06-08,21614
2015-06-09,22009
2015-06-10,22524
2015-06-11,22541
2015-06-12,22395
2015-06-13,22174
2015-06-14,22615
2015-06-15,22702
2015-06-16,22502
2015-06-17,22381
2015-06-18,21871
2015-06-19,22176
2015-06-20,21961
2015-06-21,22239
2015-06-22,22370
2015-06-23,22380
2015-06-24,22611
2015-06-25,22668
2015-06-26,22625
2015-06-27,22313
2015-06-28,22464
2015-06-29,22477
2015-06-30,22514
2015-07-01,22941
2015-07-02,23100
2015-07-03,22919
2015-07-04,22601
2015-07-05,22748
2015-07-06,22930
2015-07-07,22889
2015-07-08,23082
2015-07-09,23220
2015-07-10,23052
2015-07-11,23322
2015-07-12,23898
2015-07-13,23550
2015-07-14,23279
2015-07-15,23227
2015-07-16,23455
2015-07-17,23164
2015-07-18,23399
2015-07-19,23455
2015-07-20,23375
2015-07-21,23715
2015-07-22,23782
2015-07-23,24382
2015-07-24,24931
2015-07-25,25468
2015-07-26,26517
2015-07-27,26472
2015-07-28,26172
2015-07-29,26053
2015-07-30,25696
2015-07-31,25903
2015-08-01,26918
2015-08-02,27327
2015-08-03,27910
2015-08-04,28145
2015-08-05,27679
2015-08-06,27637
2015-08-07,27523
2015-08-08,27667
2015-08-09,27270
2015-08-10,27479
2015-08-11,27120
2015-08-12,26697
2015-08-13,27096
2015-08-14,26778
2015-08-15,26916
2015-08-16,27149
2015-08-17,27871
2015-08-18,28220
2015-08-19,28163
2015-08-20,27651
2015-08-21,27337
2015-08-22,27559
2015-08-23,27663
2015-08-24,27642
2015-08-25,27619
2015-08-26,28113
2015-08-27,28410
2015-08-28,27675
2015-08-29,28187
2015-08-30,28417
2015-08-31,28238
2015-09-01,28471
2015-09-02,28569
2015-09-03,28620
2015-09-04,28911
2015-09-05,28994
2015-09-06,29102
2015-09-07,29177
2015-09-08,29041
2015-09-09,29309
2015-09-10,29295
2015-09-11,28984
