date_obj,Adamant%20helm%20(h2) price
2015-03-26,6119
2015-03-27,6119
2015-03-28,6119
2015-03-29,5854
2015-03-30,5854
2015-03-31,5854
2015-04-01,5591
2015-04-02,5591
2015-04-03,5389
2015-04-04,5389
2015-04-05,5389
2015-04-06,5230
2015-04-07,5230
2015-04-08,5027
2015-04-09,5027
2015-04-10,5027
2015-04-11,4807
2015-04-12,4807
2015-04-13,4807
2015-04-14,4604
2015-04-15,4604
2015-04-16,4604
2015-04-17,4391
2015-04-18,4391
2015-04-19,4391
2015-04-20,4192
2015-04-21,4192
2015-04-22,4192
2015-04-23,4024
2015-04-24,4024
2015-04-25,4024
2015-04-26,3854
2015-04-27,3854
2015-04-28,3854
2015-04-29,3677
2015-04-30,3677
2015-05-01,3677
2015-05-02,3618
2015-05-03,3618
2015-05-04,3618
2015-05-05,3781
2015-05-06,3781
2015-05-07,3791
2015-05-08,3791
2015-05-09,3791
2015-05-10,3701
2015-05-11,3701
2015-05-12,3701
2015-05-13,3534
2015-05-14,3534
2015-05-15,3534
2015-05-16,3361
2015-05-17,3361
2015-05-18,3211
2015-05-19,3211
2015-05-20,3211
2015-05-21,3211
2015-05-22,3093
2015-05-23,3093
2015-05-24,3093
2015-05-25,3000
2015-05-26,3000
2015-05-27,3000
2015-05-28,2870
2015-05-29,2870
2015-05-30,2742
2015-05-31,2742
2015-06-01,2644
2015-06-02,2644
2015-06-03,2644
2015-06-04,2644
2015-06-05,2527
2015-06-06,2527
2015-06-07,2527
2015-06-08,2527
2015-06-09,2421
2015-06-10,2421
2015-06-11,2421
2015-06-12,2421
2015-06-13,2395
2015-06-14,2395
2015-06-15,2395
2015-06-16,2395
2015-06-17,2395
2015-06-18,2508
2015-06-19,2508
2015-06-20,2508
2015-06-21,2508
2015-06-22,2451
2015-06-23,2451
2015-06-24,2451
2015-06-25,2451
2015-06-26,2417
2015-06-27,2417
2015-06-28,2417
2015-06-29,2417
2015-06-30,2471
2015-07-01,2471
2015-07-02,2471
2015-07-03,2471
2015-07-04,2550
2015-07-05,2550
2015-07-06,2550
2015-07-07,2550
2015-07-08,2489
2015-07-09,2489
2015-07-10,2489
2015-07-11,2489
