date_obj,Armadyl%20page%201 price
2015-03-26,193494
2015-03-27,193494
2015-03-28,192170
2015-03-29,192170
2015-03-30,189783
2015-03-31,189783
2015-04-01,184882
2015-04-02,184882
2015-04-03,178296
2015-04-04,178416
2015-04-05,178416
2015-04-06,185029
2015-04-07,185029
2015-04-08,190158
2015-04-09,190158
2015-04-10,191358
2015-04-11,191358
2015-04-12,193944
2015-04-13,193944
2015-04-14,195141
2015-04-15,195141
2015-04-16,195462
2015-04-17,195462
2015-04-18,198803
2015-04-19,198803
2015-04-20,201261
2015-04-21,201261
2015-04-22,200613
2015-04-23,200613
2015-04-24,200321
2015-04-25,200321
2015-04-26,199395
2015-04-27,199395
2015-04-28,198601
2015-04-29,198601
2015-04-30,197122
2015-05-01,197122
2015-05-02,188228
2015-05-03,188228
2015-05-04,178816
2015-05-05,178816
2015-05-06,169923
2015-05-07,169923
2015-05-08,161483
2015-05-09,154190
2015-05-10,147384
2015-05-11,147384
2015-05-12,140030
2015-05-13,140030
2015-05-14,133391
2015-05-15,133391
2015-05-16,127256
2015-05-17,121511
2015-05-18,121511
2015-05-19,118023
2015-05-20,118023
2015-05-21,118023
2015-05-22,117717
2015-05-23,117717
2015-05-24,112992
2015-05-25,112992
2015-05-26,114882
2015-05-27,114882
2015-05-28,118010
2015-05-29,119550
2015-05-30,121974
2015-05-31,121974
2015-06-01,125944
2015-06-02,125944
2015-06-03,132230
2015-06-04,132230
2015-06-05,138287
2015-06-06,144273
2015-06-07,144273
2015-06-08,151040
2015-06-09,158047
2015-06-10,164570
2015-06-11,164570
2015-06-12,171162
2015-06-13,176563
2015-06-14,176563
2015-06-15,178227
2015-06-16,178546
2015-06-17,178546
2015-06-18,182826
2015-06-19,182826
2015-06-20,188156
2015-06-21,188156
2015-06-22,191248
2015-06-23,191248
2015-06-24,188661
2015-06-25,188661
2015-06-26,182593
2015-06-27,182593
2015-06-28,180611
2015-06-29,180611
2015-06-30,181766
2015-07-01,181993
2015-07-02,181993
2015-07-03,181380
2015-07-04,181380
2015-07-05,179024
2015-07-06,179024
2015-07-07,178758
2015-07-08,178758
2015-07-09,185802
2015-07-10,194690
2015-07-11,194690
2015-07-12,203874
2015-07-13,203874
2015-07-14,211896
2015-07-15,211896
2015-07-16,221579
2015-07-17,230981
2015-07-18,230981
2015-07-19,236960
2015-07-20,236960
2015-07-21,239980
2015-07-22,241410
2015-07-23,241410
2015-07-24,236736
2015-07-25,236736
2015-07-26,240569
2015-07-27,240569
2015-07-28,250349
2015-07-29,258569
2015-07-30,258569
2015-07-31,270806
2015-08-01,270806
2015-08-02,284012
2015-08-03,284012
2015-08-04,292990
2015-08-05,287144
2015-08-06,287144
2015-08-07,291093
2015-08-08,291093
2015-08-09,287085
2015-08-10,274713
2015-08-11,274713
2015-08-12,266636
2015-08-13,266636
2015-08-14,265388
2015-08-15,265388
2015-08-16,272260
2015-08-17,272260
2015-08-18,275333
2015-08-19,275333
2015-08-20,274651
2015-08-21,267162
2015-08-22,267162
2015-08-23,257453
2015-08-24,246744
2015-08-25,246744
2015-08-26,237003
2015-08-27,227557
2015-08-28,227557
2015-08-29,220736
2015-08-30,220736
2015-08-31,214653
2015-09-01,214653
2015-09-02,205052
2015-09-03,205052
2015-09-04,199013
2015-09-05,199013
2015-09-06,192490
2015-09-07,192490
