date_obj,Twisted%20coat%20(t2) price
2020-01-13,100000
2020-01-14,100000
2020-01-15,104989
2020-01-16,110239
2020-01-17,115681
2020-01-18,115681
2020-01-19,121313
2020-01-20,121313
2020-01-21,121313
2020-01-22,127267
2020-01-23,127267
2020-01-24,127267
2020-01-25,127267
2020-01-26,133436
2020-01-27,133436
2020-01-28,133436
2020-01-29,133436
2020-01-30,133436
2020-01-31,133436
2020-02-01,133436
2020-02-02,139851
2020-02-03,139851
2020-02-04,139851
2020-02-05,139851
2020-02-06,139851
2020-02-07,139851
2020-02-08,139851
2020-02-09,139851
2020-02-10,139851
2020-02-11,146488
2020-02-12,146488
2020-02-13,146488
2020-02-14,146488
2020-02-15,146488
2020-02-16,146488
2020-02-17,146488
2020-02-18,146488
2020-02-19,146488
2020-02-20,146488
2020-02-21,146488
2020-02-22,153245
2020-02-23,153245
2020-02-24,153245
2020-02-25,153245
2020-02-26,153245
2020-02-27,153245
2020-02-28,153245
2020-02-29,153245
2020-03-01,153245
2020-03-02,153245
2020-03-03,160685
2020-03-04,160685
2020-03-05,160685
2020-03-06,160685
2020-03-07,160685
2020-03-08,160685
2020-03-09,160685
2020-03-10,160685
2020-03-11,160685
2020-03-12,160685
2020-03-13,160685
2020-03-14,168055
2020-03-15,168055
2020-03-16,168055
2020-03-17,168055
2020-03-18,168055
2020-03-19,168055
2020-03-20,168055
2020-03-21,168055
2020-03-22,168055
2020-03-23,168055
2020-03-24,168055
2020-03-25,168055
2020-03-26,168055
2020-03-27,168055
2020-03-28,176119
2020-03-29,176119
2020-03-30,176119
2020-03-31,176119
2020-04-01,176119
2020-04-02,176119
2020-04-03,176119
2020-04-04,176119
2020-04-05,176119
2020-04-06,176119
2020-04-07,176119
2020-04-08,176119
2020-04-09,184352
2020-04-10,184352
2020-04-11,184352
2020-04-12,184352
2020-04-13,184352
2020-04-14,184352
2020-04-15,184352
2020-04-16,184352
2020-04-17,184352
2020-04-18,184352
2020-04-19,192957
2020-04-20,192957
2020-04-21,192957
2020-04-22,192957
2020-04-23,192957
2020-04-24,192957
2020-04-25,192957
2020-04-26,192957
2020-04-27,192957
2020-04-28,192957
2020-04-29,192957
2020-04-30,202349
2020-05-01,202349
2020-05-02,202349
2020-05-03,202349
2020-05-04,202349
2020-05-05,202349
2020-05-06,202349
2020-05-07,202349
2020-05-08,202349
2020-05-09,202349
2020-05-10,202349
2020-05-11,202349
2020-05-12,202349
2020-05-13,211921
