date_obj,Black%20spiky%20vambraces price
2016-01-05,5017
2016-01-06,5017
2016-01-07,4810
2016-01-08,4810
2016-01-09,4580
2016-01-10,4580
2016-01-11,4598
2016-01-12,4598
2016-01-13,4684
2016-01-14,4737
2016-01-15,4737
2016-01-16,4652
2016-01-17,4652
2016-01-18,4674
2016-01-19,4674
2016-01-20,4805
2016-01-21,4805
2016-01-22,4933
2016-01-23,4933
2016-01-24,4934
2016-01-25,5012
2016-01-26,5012
2016-01-27,5102
2016-01-28,5102
2016-01-29,5175
2016-01-30,5175
2016-01-31,5168
2016-02-01,5245
2016-02-02,5245
2016-02-03,5292
2016-02-04,5292
2016-02-05,5407
2016-02-06,5521
2016-02-07,5521
2016-02-08,5579
2016-02-09,5579
2016-02-10,5633
2016-02-11,5633
2016-02-12,5766
2016-02-13,5863
2016-02-14,5863
2016-02-15,5985
2016-02-16,5985
2016-02-17,6032
2016-02-18,6032
2016-02-19,6120
2016-02-20,6120
2016-02-21,6055
2016-02-22,6055
2016-02-23,5893
2016-02-24,5893
2016-02-25,5863
2016-02-26,5863
2016-02-27,5840
2016-02-28,5840
2016-02-29,5751
2016-03-01,5751
2016-03-02,5749
2016-03-03,5749
2016-03-04,5650
2016-03-05,5650
2016-03-06,5664
2016-03-07,5664
2016-03-08,5741
2016-03-09,5741
2016-03-10,5922
2016-03-11,5922
2016-03-12,6056
2016-03-13,6056
2016-03-14,6227
2016-03-15,6227
2016-03-16,6185
2016-03-17,6185
2016-03-18,6095
2016-03-19,6095
2016-03-20,5851
2016-03-21,5851
2016-03-22,5905
2016-03-23,5778
2016-03-24,5778
2016-03-25,5764
2016-03-26,5764
2016-03-27,5685
2016-03-28,5738
2016-03-29,5738
2016-03-30,5670
2016-03-31,5670
2016-04-01,5598
2016-04-02,5598
2016-04-03,5318
2016-04-04,5212
2016-04-05,5212
2016-04-06,5032
2016-04-07,5032
2016-04-08,4913
2016-04-09,4913
2016-04-10,4979
2016-04-11,4979
2016-04-12,5069
2016-04-13,5069
2016-04-14,5196
2016-04-15,5196
2016-04-16,5213
2016-04-17,5213
2016-04-18,5152
2016-04-19,5152
2016-04-20,5276
2016-04-21,5276
2016-04-22,5413
2016-04-23,5413
2016-04-24,5511
2016-04-25,5587
2016-04-26,5587
2016-04-27,5628
2016-04-28,5628
2016-04-29,5636
2016-04-30,5641
2016-05-01,5641
2016-05-02,5761
2016-05-03,5854
2016-05-04,5854
2016-05-05,5804
2016-05-06,5804
2016-05-07,5944
2016-05-08,5944
2016-05-09,5784
2016-05-10,5698
2016-05-11,5698
2016-05-12,5616
2016-05-13,5573
2016-05-14,5573
2016-05-15,5490
2016-05-16,5490
2016-05-17,5428
2016-05-18,5428
2016-05-19,5428
2016-05-22,5281
2016-05-23,5079
2016-05-24,5079
2016-05-25,5020
2016-05-26,5020
2016-05-27,4986
2016-05-28,4986
2016-05-29,4967
2016-05-30,4967
2016-05-31,4967
2016-06-01,4843
2016-06-02,4843
2016-06-03,4721
2016-06-04,4734
2016-06-05,4734
2016-06-06,4746
2016-06-07,4746
2016-06-08,4727
2016-06-09,4811
2016-06-10,4887
2016-06-11,4887
2016-06-12,4931
2016-06-13,4931
2016-06-14,4916
2016-06-15,4916
2016-06-16,4879
2016-06-17,4932
2016-06-18,4932
2016-06-19,4733
2016-06-20,4733
2016-06-21,4617
2016-06-22,4617
2016-06-23,4491
2016-06-24,4491
2016-06-25,4372
2016-06-26,4372
2016-06-27,4294
2016-06-28,4181
2016-06-29,4181
2016-06-30,4189
2016-07-01,4157
2016-07-02,4157
2016-07-03,4129
2016-07-04,4130
2016-07-05,4130
2016-07-06,4131
2016-07-07,4131
2016-07-08,4195
2016-07-09,4189
2016-07-10,4115
2016-07-11,4017
2016-07-12,4017
2016-07-13,4027
2016-07-14,4027
2016-07-15,3969
2016-07-16,3969
2016-07-17,3886
2016-07-18,3782
2016-07-23,3734
2016-07-24,3736
2016-07-25,3920
2016-07-26,3920
2016-07-27,3979
2016-07-28,3979
2016-07-29,4050
2016-07-30,4075
2016-07-31,4075
2016-08-01,4068
2016-08-02,4147
2016-08-03,4147
2016-08-04,4224
2016-08-05,4224
2016-08-06,4285
2016-08-07,4248
2016-08-08,4248
2016-08-09,4275
2016-08-10,4275
2016-08-11,4307
2016-08-12,4307
2016-08-13,4273
2016-08-14,4273
2016-08-15,4267
2016-08-16,4267
2016-08-17,4345
2016-08-18,4345
2016-08-19,4363
2016-08-20,4489
2016-08-21,4489
2016-08-22,4452
2016-08-23,4517
2016-08-24,4517
2016-08-25,4483
2016-08-26,4483
2016-08-28,4527
2016-08-31,4367
2016-09-01,4284
2016-09-02,4284
2016-09-03,4213
2016-09-04,4126
2016-09-05,4153
2016-09-06,4129
2016-09-07,4129
2016-09-08,4038
2016-09-09,4038
2016-09-10,3836
2016-09-11,3836
2016-09-12,3850
2016-09-13,3828
2016-09-14,3828
2016-09-15,3813
2016-09-16,3813
2016-09-17,3810
2016-09-18,3955
2016-09-19,3955
2016-09-20,3935
2016-09-21,3935
2016-09-22,3831
