date_obj,Snakeskin%20shield price
2018-01-31,512
2018-02-01,490
2018-02-02,490
2018-02-04,465
2018-02-05,441
2018-02-06,441
2018-02-07,418
2018-02-08,418
2018-02-09,397
2018-02-10,397
2018-02-11,377
2018-02-12,359
2018-02-13,359
2018-02-14,341
2018-02-15,345
2018-02-16,345
2018-02-17,331
2018-02-18,319
2018-02-19,318
2018-02-20,318
2018-02-21,317
2018-02-22,317
2018-02-23,318
2018-02-24,318
2018-02-25,321
2018-02-26,321
2018-02-27,326
2018-02-28,326
2018-03-01,328
2018-03-02,328
2018-03-03,328
2018-03-04,319
2018-03-05,317
2018-03-06,317
2018-03-07,319
2018-03-08,319
2018-03-09,323
2018-03-10,323
2018-03-11,333
2018-03-12,333
2018-03-13,325
2018-03-14,325
2018-03-15,331
2018-03-16,331
2018-03-17,320
2018-03-18,320
2018-03-19,320
2018-03-20,335
2018-03-21,335
2018-03-23,327
2018-03-24,312
2018-03-26,313
2018-03-27,317
2018-03-28,317
2018-03-29,323
2018-03-30,323
2018-03-31,335
2018-04-01,335
2018-04-02,325
2018-04-03,325
2018-04-04,315
2018-04-05,315
2018-04-06,315
2018-04-08,317
2018-04-09,317
2018-04-10,326
2018-04-11,326
2018-04-12,337
2018-04-13,337
2018-04-14,337
2018-04-16,332
2018-04-17,332
2018-04-18,332
2018-04-19,332
2018-04-20,335
2018-04-21,335
2018-04-22,329
2018-04-23,329
2018-04-24,343
2018-04-25,343
2018-04-26,341
2018-04-27,341
2018-04-28,329
2018-04-29,329
2018-04-30,323
2018-05-01,323
2018-05-02,316
2018-05-03,316
2018-05-04,316
2018-05-05,313
2018-05-06,313
2018-05-07,313
2018-05-08,315
2018-05-09,315
2018-05-10,317
2018-05-11,317
2018-05-12,317
2018-05-13,317
2018-05-14,302
2018-05-15,302
2018-05-16,304
2018-05-17,304
2018-05-18,298
2018-05-19,298
2018-05-20,298
2018-05-21,294
2018-05-22,294
2018-05-23,305
2018-05-24,305
2018-05-25,306
2018-05-26,310
2018-05-27,310
2018-05-28,311
2018-05-29,311
2018-05-30,308
2018-05-31,308
2018-06-01,306
2018-06-02,293
2018-06-03,293
2018-06-04,294
2018-06-05,294
2018-06-06,303
2018-06-07,303
2018-06-08,292
2018-06-09,292
2018-06-10,285
2018-06-11,285
2018-06-12,291
2018-06-13,294
2018-06-14,294
2018-06-15,303
2018-06-16,303
2018-06-17,310
2018-06-18,310
2018-06-19,306
2018-06-20,306
2018-06-21,310
2018-06-22,310
2018-06-23,318
2018-06-24,318
2018-06-25,315
2018-06-26,315
2018-06-27,316
2018-06-28,316
2018-06-29,318
2018-06-30,318
2018-07-01,315
2018-07-02,315
2018-07-03,312
2018-07-04,312
2018-07-05,313
2018-07-06,319
2018-07-07,319
2018-07-08,322
2018-07-09,322
2018-07-10,322
2018-07-11,325
2018-07-12,325
2018-07-13,315
2018-07-14,320
2018-07-15,320
2018-07-16,320
2018-07-17,319
2018-07-18,319
2018-07-19,323
2018-07-20,316
2018-07-21,307
2018-07-22,305
2018-07-23,316
2018-07-24,316
2018-07-25,321
2018-07-26,311
2018-07-27,308
2018-07-28,308
2018-07-29,317
2018-07-30,325
2018-07-31,324
2018-08-01,324
2018-08-02,317
2018-08-03,311
2018-08-04,316
2018-08-05,316
2018-08-06,307
2018-08-07,296
2018-08-08,292
2018-08-09,292
2018-08-10,305
2018-08-11,312
2018-08-12,308
2018-08-14,297
2018-08-16,297
2018-08-17,298
2018-08-18,311
2018-08-19,307
2018-08-20,302
2018-08-21,299
2018-08-22,299
2018-08-23,305
2018-08-24,296
2018-08-25,288
2018-08-26,280
2018-08-27,278
2018-08-28,273
2018-08-29,266
2018-08-30,274
2018-08-31,280
2018-09-01,289
2018-09-02,291
2018-09-03,296
2018-09-04,296
2018-09-05,303
2018-09-06,303
2018-09-07,304
2018-09-08,304
2018-09-09,308
2018-09-10,317
2018-09-11,317
2018-09-12,314
2018-09-13,308
2018-09-14,310
2018-09-15,303
2018-09-16,293
2018-09-17,292
2018-09-18,295
2018-09-19,302
2018-09-20,313
2018-09-21,308
2018-09-22,309
2018-09-23,306
2018-09-24,306
2018-09-25,316
2018-09-26,318
2018-09-27,305
2018-09-28,299
2018-09-29,294
2018-09-30,304
2018-10-02,299
2018-10-03,308
2018-10-04,308
2018-10-05,313
2018-10-06,303
2018-10-07,303
2018-10-08,306
2018-10-09,308
2018-10-10,302
2018-10-11,303
2018-10-12,303
2018-10-13,295
2018-10-14,301
2018-10-15,300
2018-10-16,299
2018-10-17,296
2018-10-18,299
2018-10-19,302
2018-10-20,302
2018-10-21,289
2018-10-22,281
2018-10-23,281
2018-10-24,281
2018-10-25,270
2018-10-26,282
2018-10-27,278
2018-10-28,281
2018-10-29,281
2018-10-30,282
2018-10-31,281
2018-11-01,293
2018-11-03,279
2018-11-04,278
2018-11-05,276
2018-11-06,282
2018-11-07,280
2018-11-08,287
2018-11-09,290
2018-11-10,294
2018-11-11,295
2018-11-12,291
2018-11-13,286
2018-11-14,280
2018-11-15,271
2018-11-16,267
2018-11-17,260
2018-11-18,270
2018-11-19,257
2018-11-20,248
2018-11-21,247
2018-11-22,249
2018-11-23,256
2018-11-24,266
2018-11-25,269
2018-11-26,278
2018-11-27,279
2018-11-28,269
2018-11-29,255
2018-12-01,256
2018-12-02,257
2018-12-03,262
2018-12-05,267
2018-12-07,255
2018-12-09,256
2018-12-10,266
2018-12-11,267
2018-12-13,258
2018-12-14,259
2018-12-15,260
2018-12-16,258
2018-12-17,264
2018-12-18,266
2018-12-19,257
2018-12-20,248
2018-12-21,248
2018-12-22,251
2018-12-23,259
2018-12-24,257
2018-12-25,262
2018-12-26,266
2018-12-27,265
2018-12-28,261
2018-12-29,258
2018-12-30,264
2018-12-31,270
2019-01-01,276
2019-01-02,268
2019-01-03,265
2019-01-04,261
2019-01-05,259
2019-01-06,261
2019-01-08,253
2019-01-10,260
2019-01-11,264
2019-01-12,260
2019-01-13,260
2019-01-14,265
2019-01-15,272
2019-01-16,271
2019-01-17,265
2019-01-18,276
2019-01-19,278
2019-01-20,275
2019-01-21,271
2019-01-22,272
