date_obj,Ancient%20robe%20legs price
2015-03-26,56819
2015-03-27,56819
2015-03-28,55662
2015-03-29,54360
2015-03-30,51950
2015-03-31,49511
2015-04-01,49511
2015-04-02,49217
2015-04-03,50661
2015-04-04,50127
2015-04-05,50127
2015-04-06,49705
2015-04-07,49705
2015-04-08,49154
2015-04-09,49154
2015-04-10,48591
2015-04-11,48456
2015-04-12,48456
2015-04-13,48675
2015-04-14,48675
2015-04-15,48601
2015-04-16,48601
2015-04-17,48289
2015-04-18,48289
2015-04-19,47625
2015-04-20,47625
2015-04-21,49126
2015-04-22,49126
2015-04-23,48913
2015-04-24,48913
2015-04-25,49203
2015-04-26,50856
2015-04-27,53262
2015-04-28,53832
2015-04-29,53832
2015-04-30,54366
2015-05-01,54162
2015-05-02,54224
2015-05-03,54224
2015-05-04,53220
2015-05-05,53220
2015-05-06,52950
2015-05-07,52950
2015-05-08,52511
2015-05-09,51993
2015-05-10,50527
2015-05-11,50527
2015-05-12,49971
2015-05-13,49971
2015-05-14,49437
2015-05-15,49437
2015-05-16,48084
2015-05-17,47667
2015-05-18,47945
2015-05-19,47945
2015-05-20,46392
2015-05-21,46392
2015-05-22,44479
2015-05-23,44479
2015-05-24,42687
2015-05-25,41174
2015-05-26,41174
2015-05-27,41848
2015-05-28,41848
2015-05-29,42225
2015-05-30,44076
2015-05-31,44076
2015-06-01,45249
2015-06-02,45249
2015-06-03,46504
2015-06-04,46504
2015-06-05,47025
2015-06-06,48340
2015-06-07,48340
2015-06-08,50458
2015-06-09,52699
2015-06-10,54191
2015-06-11,54191
2015-06-12,55374
2015-06-13,57166
2015-06-14,57166
2015-06-15,58346
2015-06-16,58346
2015-06-17,61086
2015-06-18,63984
2015-06-19,63984
2015-06-20,66635
2015-06-21,66635
2015-06-22,69731
2015-06-23,69731
2015-06-24,72501
2015-06-25,72501
2015-06-26,73384
2015-06-27,73384
2015-06-28,73615
2015-06-29,73615
2015-06-30,74213
2015-07-01,74213
2015-07-02,74627
2015-07-03,74791
2015-07-04,74791
2015-07-05,76928
2015-07-06,76928
2015-07-07,78319
2015-07-08,78319
2015-07-09,80017
2015-07-10,80017
2015-07-11,82236
2015-07-12,82236
2015-07-13,83967
2015-07-14,83967
2015-07-15,86183
2015-07-16,86183
2015-07-17,88560
2015-07-18,88560
2015-07-19,91117
2015-07-20,91117
2015-07-21,90749
2015-07-22,90749
2015-07-23,91408
2015-07-24,93922
2015-07-25,93922
2015-07-26,94747
2015-07-27,94747
2015-07-28,95714
2015-07-29,97550
2015-07-30,97550
2015-07-31,98419
2015-08-01,98419
2015-08-02,99200
2015-08-03,99200
2015-08-04,99200
2015-08-05,98576
2015-08-06,98576
2015-08-07,98689
2015-08-08,98689
2015-08-09,96950
2015-08-10,96950
2015-08-11,94872
2015-08-12,94872
2015-08-13,93627
2015-08-14,92540
2015-08-15,92540
2015-08-16,92768
2015-08-17,92768
2015-08-18,92011
2015-08-19,92011
2015-08-20,91134
2015-08-21,89349
2015-08-22,89050
2015-08-23,89050
2015-08-24,88691
2015-08-25,88691
2015-08-26,89043
2015-08-27,89229
2015-08-28,89229
2015-08-29,89130
2015-08-30,89130
2015-08-31,88585
2015-09-01,88585
2015-09-02,88347
2015-09-03,88064
2015-09-04,87270
2015-09-05,87270
2015-09-06,88373
2015-09-07,88373
2015-09-08,87557
2015-09-09,84933
2015-09-10,84933
2015-09-11,81362
2015-09-12,81362
2015-09-13,77473
2015-09-14,75964
2015-09-15,74568
2015-09-16,74568
2015-09-17,71828
2015-09-18,71828
2015-09-19,70529
2015-09-20,70529
2015-09-21,69734
2015-09-22,69623
2015-09-23,69623
2015-09-24,69990
2015-09-25,69990
2015-09-27,68781
2015-09-28,69330
2015-09-29,69330
2015-09-30,69978
2015-10-05,71700
2015-10-06,71385
2015-10-07,71385
2015-10-08,68526
2015-10-09,66567
2015-10-10,66567
2015-10-11,64468
2015-10-12,64468
2015-10-13,61606
2015-10-14,61606
2015-10-15,60238
2015-10-16,60238
2015-10-17,58768
2015-10-18,58768
2015-10-19,57077
2015-10-20,54745
2015-10-22,52885
2015-10-23,52885
2015-10-24,51420
2015-10-25,50086
2015-10-26,50086
2015-10-27,49066
2015-10-28,49066
2015-10-29,48687
2015-10-30,48687
2015-10-31,47344
2015-11-01,47344
2015-11-02,46671
2015-11-03,46671
2015-11-04,46671
2015-11-05,45946
2015-11-06,45946
2015-11-07,44943
2015-11-08,44943
2015-11-09,46033
2015-11-10,46033
2015-11-11,48045
2015-11-12,48045
2015-11-13,50168
2015-11-14,50168
2015-11-15,52584
2015-11-16,52584
2015-11-17,55158
2015-11-18,55158
2015-11-19,57916
2015-11-20,57916
2015-11-21,57916
2015-11-22,60119
2015-11-23,60119
2015-11-24,62964
2015-11-25,62964
2015-11-26,63320
2015-11-27,63320
2015-11-28,64655
2015-11-29,64655
2015-11-30,63791
2015-12-01,63791
2015-12-02,63755
2015-12-03,63755
2015-12-04,63503
2015-12-05,63503
2015-12-06,66078
2015-12-07,66078
2015-12-08,67824
2015-12-09,70089
2015-12-10,70089
2015-12-11,73243
2015-12-12,73243
2015-12-13,74476
2015-12-14,74476
2015-12-15,75167
2015-12-16,75167
2015-12-17,76798
2015-12-18,76798
2015-12-19,73840
2015-12-20,73263
2015-12-21,73263
2015-12-22,74483
2015-12-23,74483
2015-12-24,76270
2015-12-25,76270
2015-12-26,77846
2015-12-27,77846
2015-12-28,78917
2015-12-29,79284
2015-12-30,79284
2015-12-31,78246
2016-01-01,78246
2016-01-02,76484
2016-01-03,74417
2016-01-04,73399
2016-01-05,73399
2016-01-06,71728
2016-01-07,71728
2016-01-08,71362
2016-01-09,71362
2016-01-10,70740
2016-01-11,70740
2016-01-12,69007
2016-01-13,69007
2016-01-14,66976
2016-01-15,65118
2016-01-16,65118
2016-01-17,63968
2016-01-18,63683
2016-01-19,63683
2016-01-20,61945
2016-01-21,61945
2016-01-22,61412
2016-01-23,61412
2016-01-24,59809
2016-01-25,59167
2016-01-26,59167
2016-01-27,58056
2016-01-28,58056
2016-01-29,56402
2016-01-30,56402
2016-01-31,55648
2016-02-01,53713
2016-02-02,53713
2016-02-03,52936
2016-02-04,52936
2016-02-05,52749
2016-02-06,51772
2016-02-07,51772
2016-02-08,50965
2016-02-09,50965
2016-02-10,50942
2016-02-11,50942
2016-02-12,51216
2016-02-13,50015
2016-02-14,50015
2016-02-15,49502
2016-02-16,49502
2016-02-17,49570
2016-02-18,49570
2016-02-19,48998
2016-02-20,48998
2016-02-21,48757
2016-02-22,48757
2016-02-23,48278
2016-02-24,48278
2016-02-25,49519
2016-02-26,49519
2016-02-27,50197
2016-02-28,50197
2016-02-29,50566
2016-03-01,50566
2016-03-02,51561
2016-03-03,53135
2016-03-04,53135
2016-03-05,54346
2016-03-06,55972
2016-03-07,55972
2016-03-08,56438
2016-03-09,57082
2016-03-10,57170
2016-03-11,57170
2016-03-12,57744
2016-03-13,57744
2016-03-14,58196
2016-03-15,60412
2016-03-16,60412
2016-03-17,63433
2016-03-18,64893
2016-03-19,64893
2016-03-20,65164
2016-03-21,65164
2016-03-22,65745
2016-03-23,64038
2016-03-24,64038
2016-03-25,64474
2016-03-26,64474
2016-03-27,62291
2016-03-28,59176
2016-03-29,59176
2016-03-30,56924
2016-03-31,56924
2016-04-01,55210
2016-04-02,55210
2016-04-03,55092
2016-04-04,54394
2016-04-05,54394
2016-04-06,52944
2016-04-07,52944
2016-04-08,51752
2016-04-09,51281
2016-04-10,50639
2016-04-11,50639
2016-04-12,49786
2016-04-13,49310
2016-04-14,49310
2016-04-15,47713
2016-04-16,46131
2016-04-17,46178
2016-04-18,46794
2016-04-19,46794
2016-04-20,46414
2016-04-21,46414
2016-04-22,48421
2016-04-23,50006
2016-04-24,52293
2016-04-25,54828
2016-04-26,54828
2016-04-27,57570
2016-04-28,57570
2016-04-29,60149
2016-04-30,62952
2016-05-01,62952
2016-05-02,65190
2016-05-03,65959
2016-05-04,65959
2016-05-05,67816
2016-05-06,67816
2016-05-07,69415
2016-05-08,69415
2016-05-09,70603
2016-05-10,73154
2016-05-11,73154
2016-05-12,74152
2016-05-13,74996
2016-05-14,74996
2016-05-15,74556
2016-05-16,74556
2016-05-17,74882
2016-05-18,75375
2016-05-19,75375
2016-05-22,72761
2016-05-23,71976
2016-05-24,71976
2016-05-25,70962
2016-05-26,70962
2016-05-27,70233
2016-05-28,70233
2016-05-29,69846
2016-05-30,69846
2016-05-31,68591
2016-06-01,67344
2016-06-02,67344
2016-06-03,66247
2016-06-04,67889
2016-06-05,67889
2016-06-06,68678
2016-06-07,68678
2016-06-08,70371
2016-06-09,73791
2016-06-10,77234
2016-06-11,77234
2016-06-12,78367
2016-06-13,78367
2016-06-14,79521
2016-06-15,79521
2016-06-16,78228
2016-06-17,75655
2016-06-18,75655
2016-06-19,75141
2016-06-20,75141
2016-06-21,73072
2016-06-22,72288
2016-06-23,72288
2016-06-24,71488
2016-06-25,70329
2016-06-26,70329
2016-06-27,70576
2016-06-28,69841
2016-06-29,69841
2016-06-30,70307
2016-07-01,71164
2016-07-02,71164
2016-07-03,73301
2016-07-04,73985
2016-07-05,73985
2016-07-06,71730
2016-07-07,68359
2016-07-08,65283
2016-07-09,63125
2016-07-10,60081
2016-07-11,57076
2016-07-12,54878
2016-07-13,56412
2016-07-14,59021
2016-07-15,60008
2016-07-16,60754
2016-07-17,60754
2016-07-18,60974
2016-07-23,53192
2016-07-24,51264
2016-07-25,51282
2016-07-26,51282
2016-07-27,52365
2016-07-28,52365
2016-07-29,53970
2016-07-30,53970
2016-07-31,54923
2016-08-01,54923
2016-08-02,54881
2016-08-03,54521
2016-08-04,54521
2016-08-05,53480
2016-08-06,53480
2016-08-07,54221
2016-08-08,54221
2016-08-09,54769
2016-08-10,54769
2016-08-11,53705
2016-08-12,53705
2016-08-13,52874
2016-08-14,52874
2016-08-15,52108
2016-08-16,52108
2016-08-17,53400
2016-08-18,53400
2016-08-19,54362
2016-08-20,54362
2016-08-21,55738
2016-08-22,55738
2016-08-23,56896
2016-08-24,56896
2016-08-25,55785
2016-08-26,55785
2016-08-28,56671
2016-08-31,54911
2016-09-01,54444
2016-09-02,54444
2016-09-03,53627
2016-09-04,52026
2016-09-05,52026
2016-09-06,51246
2016-09-07,51246
2016-09-08,50733
2016-09-09,50733
2016-09-10,50156
2016-09-11,50156
2016-09-12,50590
2016-09-13,50590
2016-09-14,49487
2016-09-15,49487
2016-09-16,47168
2016-09-17,47168
2016-09-18,45433
2016-09-19,45433
2016-09-20,43978
2016-09-21,43978
2016-09-22,42318
2016-09-23,42318
2016-09-24,42318
2016-09-25,43484
2016-09-26,43484
2016-09-27,43796
2016-09-28,43796
2016-09-29,44891
2016-09-30,46628
2016-10-01,46628
2016-10-02,48683
2016-10-03,48683
2016-10-04,50938
2016-10-05,50938
2016-10-06,53259
2016-10-07,53259
2016-10-08,55006
2016-10-09,55006
2016-10-10,55006
2016-10-11,55342
2016-10-12,55342
2016-10-13,56564
2016-10-14,56564
2016-10-15,55993
2016-10-16,55993
2016-10-17,57736
2016-10-18,57736
2016-10-19,59804
2016-10-20,59804
2016-10-21,60572
2016-10-22,60572
2016-10-23,62462
2016-10-24,62462
2016-10-25,64583
2016-10-26,64583
2016-10-27,65162
2016-10-28,65162
2016-10-29,64407
2016-10-30,64407
2016-10-31,62472
2016-11-01,62472
2016-11-02,59790
2016-11-03,59790
2016-11-04,58344
2016-11-05,58344
2016-11-06,57075
2016-11-07,57075
2016-11-08,55456
2016-11-09,53518
2016-11-10,53518
2016-11-11,51281
2016-11-12,50153
2016-11-13,50153
2016-11-14,48329
2016-11-15,48329
2016-12-07,48991
2016-12-08,48991
2016-12-09,48497
2016-12-10,48497
2016-12-11,48096
2016-12-12,48096
2016-12-13,48468
2016-12-15,48030
2016-12-16,47205
2016-12-17,45991
2016-12-18,45991
2016-12-19,44989
2016-12-20,42913
2016-12-21,41976
2016-12-22,41976
2016-12-23,41034
2016-12-24,41034
2016-12-25,41898
2016-12-26,41898
2016-12-27,43032
2016-12-28,43257
2016-12-29,44098
2016-12-30,45710
2016-12-31,47444
2017-01-01,49520
2017-01-02,51204
2017-01-03,51204
2017-01-04,52259
2017-01-05,52259
2017-01-06,52662
2017-01-07,54332
2017-01-08,56395
2017-01-09,55785
2017-01-10,55785
2017-01-11,56378
2017-01-12,56056
2017-01-13,56056
2017-01-14,56824
2017-01-15,56185
2017-01-16,55180
2017-01-17,54885
2017-01-18,54631
2017-01-19,54631
2017-01-20,53560
2017-01-21,52120
2017-01-22,52120
2017-01-23,51239
2017-01-27,48260
2017-01-28,49141
2017-01-29,49699
2017-01-30,49699
2017-01-31,49052
2017-02-01,48220
2017-02-02,48220
2017-02-03,48065
2017-02-04,48184
2017-02-05,48184
2017-02-06,47561
2017-02-07,47561
2017-02-08,46474
2017-02-09,46474
2017-02-10,47276
2017-02-11,47081
2017-02-12,47081
2017-02-13,46841
2017-02-14,46642
2017-02-15,46642
2017-02-16,46518
2017-02-17,46518
2017-02-18,46245
2017-02-19,45926
2017-02-20,45926
2017-02-21,44232
2017-02-22,44232
2017-02-23,43400
2017-02-24,43400
2017-02-25,43136
2017-02-26,43136
2017-02-27,43306
2017-02-28,43078
2017-03-01,42833
2017-03-02,43311
2017-03-03,43311
2017-03-04,43023
2017-03-05,43023
2017-03-06,43757
2017-03-07,44645
2017-03-08,44645
2017-03-09,45453
2017-03-10,45822
2017-03-11,46682
2017-03-12,46682
2017-03-13,47764
2017-03-14,48197
2017-03-15,47453
2017-03-16,47453
2017-03-17,47914
2017-03-18,47914
2017-03-19,47667
2017-03-20,47667
2017-03-21,47530
2017-03-22,47530
2017-03-23,47441
2017-03-24,47542
2017-03-25,47542
2017-03-26,47518
2017-03-27,47518
2017-03-28,47222
2017-03-29,48122
2017-03-30,48977
2017-03-31,49091
2017-04-01,49091
2017-04-02,50053
2017-04-03,50388
2017-04-04,50388
2017-04-05,50829
2017-04-12,48636
2017-04-13,48047
2017-04-14,48047
2017-04-15,47788
2017-04-16,46545
2017-04-17,47005
2017-04-18,45800
2017-04-19,44039
2017-04-20,44039
2017-04-21,46107
2017-04-22,46107
2017-04-23,46844
2017-04-24,46844
2017-04-25,46342
2017-04-26,46342
2017-04-27,46348
2017-04-28,46304
2017-04-29,46383
2017-04-30,45667
2017-05-01,45667
2017-05-02,45680
