date_obj,Granite%20helm price
2015-03-26,71216
2015-03-27,71216
2015-03-28,71216
2015-03-29,71216
2015-03-30,71216
2015-03-31,71216
2015-04-01,71579
2015-04-02,71579
2015-04-03,71579
2015-04-04,71579
2015-04-05,71579
2015-04-06,71579
2015-04-07,71579
2015-04-08,71579
2015-04-09,71579
2015-04-10,71579
2015-04-11,71579
2015-04-12,70020
2015-04-13,70020
2015-04-14,70020
2015-04-15,70020
2015-04-16,70020
2015-04-17,70020
2015-04-18,70020
2015-04-19,70020
2015-04-20,70020
2015-04-21,70020
2015-04-22,70020
2015-04-23,66666
2015-04-24,66666
2015-04-25,66666
2015-04-26,66666
2015-04-27,66666
2015-04-28,66666
2015-04-29,66666
2015-04-30,66666
2015-05-01,66666
2015-05-02,63708
2015-05-03,63708
2015-05-04,63708
2015-05-05,63708
2015-05-06,63708
2015-05-07,63708
2015-05-08,63708
2015-05-09,63708
2015-05-10,63708
2015-05-11,60560
2015-05-12,60560
2015-05-13,60560
2015-05-14,60560
2015-05-15,60560
2015-05-16,60560
2015-05-17,60560
2015-05-18,60560
2015-05-19,57663
2015-05-20,57663
2015-05-21,57663
2015-05-22,57663
2015-05-23,57663
2015-05-24,57663
2015-05-25,57663
2015-05-26,57663
2015-05-27,57663
2015-05-28,54779
2015-05-29,54779
2015-05-30,54779
2015-05-31,54779
2015-06-01,54779
2015-06-02,54779
2015-06-03,52040
2015-06-04,52040
2015-06-05,52040
2015-06-06,52040
2015-06-07,52040
2015-06-08,52040
2015-06-09,49448
2015-06-10,49448
2015-06-11,49448
2015-06-12,49448
2015-06-13,49448
2015-06-14,49448
2015-06-15,47097
2015-06-16,47097
2015-06-17,47097
2015-06-18,47097
2015-06-19,47097
2015-06-20,47097
2015-06-21,44809
2015-06-22,44809
2015-06-23,44809
2015-06-24,44809
2015-06-25,44809
2015-06-26,43134
2015-06-27,43134
2015-06-28,43134
2015-06-29,43134
2015-06-30,43134
2015-07-01,43134
2015-07-02,43134
2015-07-03,41455
2015-07-04,41455
2015-07-05,41455
2015-07-06,41455
2015-07-07,41455
2015-07-08,41455
2015-07-09,41455
2015-07-10,39728
2015-07-11,39728
2015-07-12,39728
2015-07-13,39728
2015-07-14,39728
2015-07-15,39728
2015-07-16,38764
2015-07-17,38764
2015-07-18,38764
2015-07-19,38764
2015-07-20,38764
2015-07-21,38764
2015-07-22,38156
2015-07-23,38156
2015-07-24,38156
2015-07-25,38156
2015-07-26,38156
2015-07-27,38156
2015-07-28,37651
2015-07-29,37651
2015-07-30,37651
2015-07-31,37651
2015-08-01,37651
2015-08-02,37651
2015-08-03,37494
2015-08-04,37494
2015-08-05,37494
2015-08-06,37494
2015-08-07,37494
2015-08-08,37494
2015-08-09,37144
2015-08-10,37144
2015-08-11,37144
2015-08-12,37144
2015-08-13,37144
2015-08-14,37144
2015-08-15,38148
2015-08-16,38148
2015-08-17,38148
2015-08-18,38148
2015-08-19,38148
2015-08-20,38148
2015-08-21,37707
2015-08-22,37707
2015-08-23,37707
2015-08-24,37707
2015-08-25,37707
2015-08-26,37707
2015-08-27,36956
2015-08-28,36956
2015-08-29,36956
2015-08-30,36956
2015-08-31,36956
2015-09-01,36956
2015-09-02,35722
2015-09-03,35722
2015-09-04,35722
2015-09-05,35722
2015-09-06,35722
2015-09-07,35722
2015-09-08,35590
2015-09-09,35590
2015-09-10,35590
2015-09-11,35590
2015-09-12,35590
2015-09-13,35281
2015-09-14,35281
2015-09-15,35281
2015-09-16,35281
2015-09-17,35281
2015-09-18,34010
2015-09-19,34010
2015-09-20,34010
2015-09-21,34010
2015-09-22,34010
2015-09-23,34010
2015-09-24,33162
2015-09-25,33162
2015-09-27,33162
2015-09-28,33162
2015-09-29,33162
2015-09-30,32857
2015-10-05,32857
2015-10-06,32857
