date_obj,Amethyst%20broad%20bolts price
2018-04-29,299
2018-04-30,299
2018-05-01,299
2018-05-02,299
2018-05-03,299
2018-05-04,301
2018-05-05,300
2018-05-06,300
2018-05-07,300
2018-05-08,295
2018-05-09,295
2018-05-10,290
2018-05-11,290
2018-05-12,289
2018-05-13,289
2018-05-14,292
2018-05-15,292
2018-05-16,291
2018-05-17,291
2018-05-18,282
2018-05-19,282
2018-05-20,285
2018-05-21,285
2018-05-22,287
2018-05-23,287
2018-05-24,284
2018-05-25,284
2018-05-26,286
2018-05-27,286
2018-05-28,290
2018-05-29,290
2018-05-30,295
2018-05-31,295
2018-06-01,295
2018-06-02,295
2018-06-03,293
2018-06-04,293
2018-06-05,292
2018-06-06,292
2018-06-07,293
2018-06-08,293
2018-06-09,291
2018-06-10,291
2018-06-11,290
2018-06-12,290
2018-06-13,294
2018-06-14,294
2018-06-15,306
2018-06-16,306
2018-06-17,306
2018-06-18,306
2018-06-19,297
2018-06-20,297
2018-06-21,292
2018-06-22,292
2018-06-23,289
2018-06-24,289
2018-06-25,288
2018-06-26,288
2018-06-27,289
2018-06-28,289
2018-06-29,293
2018-06-30,293
2018-07-01,294
2018-07-02,294
2018-07-03,301
2018-07-04,301
2018-07-05,300
2018-07-06,304
2018-07-07,304
2018-07-08,311
2018-07-09,311
2018-07-10,305
2018-07-11,305
2018-07-12,305
2018-07-13,294
2018-07-14,294
2018-07-15,294
2018-07-16,293
2018-07-17,296
2018-07-18,296
2018-07-19,295
2018-07-20,295
2018-07-21,294
2018-07-22,296
2018-07-23,304
2018-07-24,304
2018-07-25,315
2018-07-26,315
2018-07-27,314
2018-07-28,314
2018-07-29,313
2018-07-30,313
2018-07-31,307
2018-08-01,307
2018-08-02,310
2018-08-03,310
2018-08-04,315
2018-08-05,315
2018-08-06,310
2018-08-07,310
2018-08-08,302
2018-08-09,302
2018-08-10,296
2018-08-11,296
2018-08-12,301
2018-08-14,300
2018-08-16,302
2018-08-17,300
2018-08-18,300
2018-08-19,305
2018-08-20,309
2018-08-21,309
2018-08-22,309
2018-08-23,309
2018-08-24,311
2018-08-25,318
2018-08-26,318
2018-08-27,331
2018-08-28,327
2018-08-29,327
2018-08-30,324
2018-08-31,317
2018-09-01,319
2018-09-02,319
2018-09-03,330
2018-09-04,335
2018-09-05,335
2018-09-06,329
2018-09-07,324
2018-09-08,324
2018-09-09,319
2018-09-10,313
2018-09-11,313
2018-09-12,316
2018-09-13,316
2018-09-14,324
2018-09-15,320
2018-09-16,320
2018-09-17,312
2018-09-18,308
2018-09-19,308
2018-09-20,305
2018-09-21,305
2018-09-22,306
2018-09-23,306
2018-09-24,307
2018-09-25,307
2018-09-26,304
2018-09-27,304
2018-09-28,300
2018-09-29,300
2018-09-30,300
2018-10-02,297
2018-10-03,293
2018-10-04,293
2018-10-05,290
2018-10-06,287
2018-10-07,287
2018-10-08,284
2018-10-09,284
2018-10-10,290
2018-10-11,290
2018-10-12,294
2018-10-13,294
2018-10-14,294
2018-10-15,294
2018-10-16,294
2018-10-17,296
2018-10-18,296
2018-10-19,295
2018-10-20,295
2018-10-21,294
2018-10-22,290
2018-10-23,290
2018-10-24,288
2018-10-25,288
2018-10-26,288
2018-10-27,297
2018-10-28,303
2018-10-29,303
2018-10-30,294
2018-10-31,296
2018-11-01,290
2018-11-03,295
2018-11-04,295
2018-11-05,302
2018-11-06,298
2018-11-07,298
2018-11-08,294
2018-11-09,294
2018-11-10,302
2018-11-11,302
2018-11-12,312
2018-11-13,298
2018-11-14,298
2018-11-15,298
2018-11-16,301
2018-11-17,311
2018-11-18,324
2018-11-19,328
2018-11-20,340
2018-11-21,340
2018-11-22,330
2018-11-23,314
2018-11-24,309
2018-11-25,311
2018-11-26,311
2018-11-27,311
2018-11-28,308
2018-11-29,304
2018-12-01,295
2018-12-02,290
2018-12-03,290
2018-12-04,295
2018-12-05,294
2018-12-07,298
2018-12-09,304
2018-12-10,312
2018-12-11,312
2018-12-12,318
2018-12-13,314
2018-12-14,308
2018-12-15,302
2018-12-16,298
2018-12-17,298
2018-12-18,303
2018-12-19,307
2018-12-20,311
2018-12-21,313
2018-12-22,312
2018-12-23,307
2018-12-24,300
2018-12-25,300
2018-12-26,293
2018-12-27,294
2018-12-28,294
2018-12-29,295
2018-12-30,296
2018-12-31,299
2019-01-01,306
2019-01-02,305
2019-01-03,302
2019-01-04,301
2019-01-05,301
2019-01-06,299
2019-01-08,298
2019-01-10,302
2019-01-11,302
2019-01-12,305
2019-01-13,303
2019-01-14,303
2019-01-15,297
2019-01-16,292
2019-01-17,281
2019-01-18,277
2019-01-19,283
2019-01-20,287
2019-01-21,291
2019-01-22,293
2019-01-23,295
2019-01-24,294
2019-01-25,288
2019-01-26,284
2019-01-27,282
2019-01-28,285
2019-01-29,291
2019-01-30,294
2019-01-31,295
2019-02-01,291
2019-02-02,288
2019-02-03,285
2019-02-04,285
2019-02-05,286
2019-02-06,288
2019-02-07,287
2019-02-08,288
2019-02-09,287
2019-02-10,291
2019-02-11,295
2019-02-12,295
2019-02-13,300
2019-02-14,300
2019-02-15,298
2019-02-16,293
2019-02-17,290
2019-02-18,289
2019-02-19,286
2019-02-20,284
2019-02-21,285
2019-02-22,283
2019-02-23,281
2019-02-24,285
2019-02-25,294
2019-02-26,292
2019-02-27,290
2019-02-28,288
2019-03-01,288
2019-03-02,288
2019-03-03,287
