date_obj,Dragon%20impling%20jar price
2015-03-26,176437
2015-03-27,176437
2015-03-28,176437
2015-03-29,184799
2015-03-30,184799
2015-03-31,184799
2015-04-01,184799
2015-04-02,184799
2015-04-03,184799
2015-04-04,193633
2015-04-05,193633
2015-04-06,193633
2015-04-07,193633
2015-04-08,193633
2015-04-09,193633
2015-04-10,202248
2015-04-11,202248
2015-04-12,202248
2015-04-13,202248
2015-04-14,202248
2015-04-15,202248
2015-04-16,211943
2015-04-17,211943
2015-04-18,211943
2015-04-19,211943
2015-04-20,211943
2015-04-21,211943
2015-04-22,211943
2015-04-23,222114
2015-04-24,222114
2015-04-25,222114
2015-04-26,222114
2015-04-27,222114
2015-04-28,222114
2015-04-29,222114
2015-04-30,232468
2015-05-01,232468
2015-05-02,232468
2015-05-03,232468
2015-05-04,232468
2015-05-05,232468
2015-05-06,232468
2015-05-07,243705
2015-05-08,243705
2015-05-09,243705
2015-05-10,243705
2015-05-11,243705
2015-05-12,243705
2015-05-13,243705
2015-05-14,255341
2015-05-15,255341
2015-05-16,255341
2015-05-17,255341
2015-05-18,255341
2015-05-19,255341
2015-05-20,255341
2015-05-21,255341
2015-05-22,255341
2015-05-23,263606
2015-05-24,263606
2015-05-25,263606
2015-05-26,263606
2015-05-27,263606
2015-05-28,267416
2015-05-29,267416
2015-05-30,267416
2015-05-31,267416
2015-06-01,267416
2015-06-02,269922
2015-06-03,269922
2015-06-04,269922
2015-06-05,269922
2015-06-06,269922
2015-06-07,266529
2015-06-08,266529
2015-06-09,266529
2015-06-10,266529
2015-06-11,266529
2015-06-12,266529
2015-06-13,266529
2015-06-14,270652
2015-06-15,270652
2015-06-16,270652
2015-06-17,270652
2015-06-18,270652
2015-06-19,270652
2015-06-20,275689
2015-06-21,275689
2015-06-22,275689
2015-06-23,275689
2015-06-24,275689
2015-06-25,275689
2015-06-26,281252
2015-06-27,281252
2015-06-28,281252
2015-06-29,281252
2015-06-30,281252
2015-07-01,281252
2015-07-02,281252
2015-07-03,289561
2015-07-04,289561
2015-07-05,289561
2015-07-06,289561
2015-07-07,289561
2015-07-08,289561
2015-07-09,289561
2015-07-10,292978
2015-07-11,292978
2015-07-12,292978
2015-07-13,292978
2015-07-14,292978
2015-07-15,292978
2015-07-16,303347
2015-07-17,303347
2015-07-18,303347
2015-07-19,303347
2015-07-20,303347
2015-07-21,303347
2015-07-22,313390
2015-07-23,313390
2015-07-24,313390
2015-07-25,313390
2015-07-26,313390
2015-07-27,313390
2015-07-28,313390
2015-07-29,315685
2015-07-30,315685
2015-07-31,315685
2015-08-01,315685
2015-08-02,315685
2015-08-03,315685
2015-08-04,324199
2015-08-05,324199
2015-08-06,324199
2015-08-07,324199
2015-08-08,324199
2015-08-09,324199
2015-08-10,327056
2015-08-11,327056
2015-08-12,327056
2015-08-13,327056
2015-08-14,327056
2015-08-15,327056
2015-08-16,334056
2015-08-17,334056
2015-08-18,334056
2015-08-19,334056
2015-08-20,334056
2015-08-21,342250
2015-08-22,342250
2015-08-23,342250
2015-08-24,342250
2015-08-25,342250
2015-08-26,342250
2015-08-27,346393
2015-08-28,346393
2015-08-29,346393
2015-08-30,346393
2015-08-31,346393
2015-09-01,346393
2015-09-02,334803
2015-09-03,334803
2015-09-04,334803
2015-09-05,334803
2015-09-06,334803
2015-09-07,334803
2015-09-08,339015
2015-09-09,339015
2015-09-10,339015
2015-09-11,339015
2015-09-12,339015
2015-09-13,347451
2015-09-14,347451
2015-09-15,347451
2015-09-16,347451
2015-09-17,347451
2015-09-18,347451
2015-09-19,355985
2015-09-20,355985
2015-09-21,355985
2015-09-22,355985
2015-09-23,355985
2015-09-24,355985
2015-09-25,365401
2015-09-27,365401
2015-09-28,365401
2015-09-29,365401
2015-09-30,365401
2015-10-05,367314
2015-10-06,367314
2015-10-07,375194
2015-10-08,375194
2015-10-09,375194
2015-10-10,375194
2015-10-11,375194
2015-10-12,379394
2015-10-13,379394
2015-10-14,379394
2015-10-15,379394
2015-10-16,379394
2015-10-17,379394
2015-10-18,388256
2015-10-19,388256
2015-10-20,388256
2015-10-22,388256
2015-10-23,388256
2015-10-24,392197
2015-10-25,392197
2015-10-26,392197
2015-10-27,392197
2015-10-29,392197
2015-10-30,392197
2015-10-31,401407
2015-11-01,401407
2015-11-02,401407
2015-11-03,401407
2015-11-04,401407
2015-11-05,401407
2015-11-06,401407
2015-11-07,419613
2015-11-08,419613
2015-11-09,419613
2015-11-10,419613
2015-11-11,419613
2015-11-12,419613
2015-11-13,419613
2015-11-14,419613
2015-11-15,412523
2015-11-16,412523
2015-11-17,412523
2015-11-18,412523
2015-11-19,412523
2015-11-20,412523
2015-11-21,412523
2015-11-22,411454
2015-11-23,411454
2015-11-24,411454
2015-11-25,411454
2015-11-26,411454
2015-11-27,411454
2015-11-28,411454
2015-11-29,426183
2015-11-30,426183
2015-12-01,426183
2015-12-02,426183
2015-12-03,426183
2015-12-04,426183
2015-12-05,427281
2015-12-06,427281
2015-12-07,427281
2015-12-08,427281
2015-12-09,427281
2015-12-10,420534
2015-12-11,420534
2015-12-12,420534
2015-12-13,420534
2015-12-14,420534
2015-12-15,420534
2015-12-16,422205
2015-12-17,422205
2015-12-18,422205
2015-12-19,422205
2015-12-20,422205
2015-12-21,422205
2015-12-22,424892
