date_obj,Cooked%20slimy%20eel price
2016-01-31,985
2016-02-01,985
2016-02-02,985
2016-02-03,972
2016-02-04,972
2016-02-05,972
2016-02-06,972
2016-02-07,972
2016-02-08,972
2016-02-09,972
2016-02-10,972
2016-02-11,972
2016-02-12,972
2016-02-13,972
2016-02-14,972
2016-02-15,972
2016-02-16,972
2016-02-17,972
2016-02-18,972
2016-02-19,972
2016-02-20,972
2016-02-21,972
2016-02-22,972
2016-02-23,972
2016-02-24,972
2016-02-25,972
2016-02-26,972
2016-02-27,958
2016-02-28,958
2016-02-29,958
2016-03-01,958
2016-03-02,958
2016-03-03,958
2016-03-04,958
2016-03-05,958
2016-03-06,958
2016-03-07,958
2016-03-08,958
2016-03-09,958
2016-03-10,958
2016-03-11,958
2016-03-12,958
2016-03-13,958
2016-03-14,958
2016-03-15,958
2016-03-16,958
2016-03-17,958
2016-03-18,958
2016-03-19,958
2016-03-20,958
2016-03-21,958
2016-03-22,958
2016-03-23,970
2016-03-24,970
2016-03-25,970
2016-03-26,970
2016-03-27,970
2016-03-28,970
2016-03-29,970
2016-03-30,970
2016-03-31,970
2016-04-01,970
2016-04-02,970
2016-04-03,970
2016-04-04,970
2016-04-05,970
2016-04-06,970
2016-04-07,970
2016-04-08,970
2016-04-09,970
2016-04-10,970
2016-04-11,970
2016-04-12,970
2016-04-13,970
2016-04-14,970
2016-04-15,962
2016-04-16,962
2016-04-17,962
2016-04-18,962
2016-04-19,962
2016-04-20,962
2016-04-21,962
2016-04-22,962
2016-04-23,962
2016-04-24,962
2016-04-25,962
2016-04-26,962
2016-04-27,962
2016-04-28,962
2016-04-29,962
2016-04-30,962
2016-05-01,962
2016-05-02,962
2016-05-03,962
2016-05-04,962
2016-05-05,962
2016-05-06,962
2016-05-07,962
2016-05-08,964
2016-05-09,964
2016-05-10,964
2016-05-11,964
2016-05-12,964
2016-05-13,964
2016-05-14,964
2016-05-15,964
2016-05-16,964
2016-05-17,964
2016-05-18,964
2016-05-19,964
2016-05-22,964
2016-05-23,964
2016-05-24,964
2016-05-25,964
2016-05-26,964
2016-05-27,932
2016-05-28,932
2016-05-29,932
2016-05-30,932
2016-05-31,932
2016-06-01,932
2016-06-02,932
2016-06-03,932
2016-06-04,932
2016-06-05,932
2016-06-06,932
2016-06-07,932
2016-06-08,932
2016-06-09,932
2016-06-10,932
2016-06-11,932
2016-06-12,932
2016-06-13,932
2016-06-14,932
2016-06-15,932
2016-06-16,925
2016-06-17,925
2016-06-18,925
2016-06-19,925
2016-06-20,925
2016-06-21,925
2016-06-22,925
2016-06-23,925
2016-06-24,925
2016-06-25,925
2016-06-26,925
2016-06-27,925
2016-06-28,925
2016-06-29,925
2016-06-30,925
2016-07-01,925
2016-07-02,925
2016-07-03,925
2016-07-04,925
2016-07-05,909
2016-07-06,909
2016-07-07,909
2016-07-08,909
2016-07-09,909
2016-07-10,909
2016-07-11,909
2016-07-12,909
2016-07-13,909
2016-07-14,909
2016-07-15,909
2016-07-16,909
2016-07-17,909
2016-07-18,909
2016-07-23,923
2016-07-24,923
2016-07-25,923
2016-07-26,923
2016-07-27,923
2016-07-28,923
2016-07-29,923
2016-07-30,923
2016-07-31,923
2016-08-01,923
2016-08-02,923
2016-08-03,923
2016-08-04,923
2016-08-05,923
2016-08-06,923
2016-08-07,923
2016-08-08,923
2016-08-09,923
2016-08-10,910
2016-08-11,910
2016-08-12,910
2016-08-13,910
2016-08-14,910
2016-08-15,910
2016-08-16,910
2016-08-17,910
2016-08-18,910
2016-08-19,910
2016-08-20,910
2016-08-21,910
2016-08-22,910
2016-08-23,910
2016-08-24,910
2016-08-25,910
2016-08-26,910
2016-08-28,910
2016-08-31,910
2016-09-01,910
2016-09-02,910
2016-09-03,910
2016-09-04,873
2016-09-05,873
2016-09-06,873
2016-09-07,873
2016-09-08,873
2016-09-09,873
2016-09-10,873
2016-09-11,873
2016-09-12,873
2016-09-13,873
2016-09-14,873
2016-09-15,873
2016-09-16,873
2016-09-17,873
2016-09-18,873
2016-09-19,873
2016-09-20,873
2016-09-21,873
2016-09-22,873
2016-09-23,873
2016-09-24,873
2016-09-25,873
2016-09-26,873
2016-09-27,873
2016-09-28,873
2016-09-29,873
2016-09-30,873
2016-10-01,873
2016-10-02,873
2016-10-03,873
2016-10-04,873
2016-10-05,847
2016-10-06,847
2016-10-07,847
2016-10-08,847
2016-10-09,847
2016-10-10,847
2016-10-11,847
2016-10-12,847
2016-10-13,847
2016-10-14,847
2016-10-15,847
2016-10-16,847
2016-10-17,847
2016-10-18,847
2016-10-19,847
2016-10-20,847
2016-10-21,847
2016-10-22,847
2016-10-23,847
2016-10-24,847
2016-10-25,847
2016-10-26,847
2016-10-27,847
2016-10-28,847
2016-10-29,847
2016-10-30,825
2016-10-31,825
2016-11-01,825
2016-11-02,825
2016-11-03,825
2016-11-04,825
2016-11-05,825
2016-11-06,825
2016-11-07,825
2016-11-08,825
2016-11-09,825
2016-11-10,825
2016-11-11,825
2016-11-12,825
2016-11-13,825
2016-11-14,825
2016-11-15,825
2016-12-07,801
2016-12-08,801
2016-12-09,801
2016-12-10,801
2016-12-11,801
2016-12-12,806
2016-12-13,806
2016-12-14,806
2016-12-15,806
2016-12-16,806
2016-12-17,806
2016-12-18,806
2016-12-19,806
2016-12-20,806
2016-12-21,806
2016-12-22,806
2016-12-23,806
2016-12-24,806
2016-12-25,806
2016-12-26,806
2016-12-27,806
2016-12-28,806
2016-12-29,806
2016-12-30,806
2016-12-31,806
2017-01-01,784
2017-01-02,784
2017-01-03,784
2017-01-04,784
