date_obj,Asgarnian%20ale%20(flatpack) price
2017-03-07,21435
2017-03-08,21435
2017-03-09,21435
2017-03-10,21435
2017-03-11,21435
2017-03-12,21435
2017-03-13,21435
2017-03-14,21435
2017-03-15,21435
2017-03-16,21435
2017-03-17,21435
2017-03-18,21435
2017-03-19,21435
2017-03-20,21435
2017-03-21,21435
2017-03-22,21435
2017-03-23,21435
2017-03-24,21435
2017-03-25,21435
2017-03-26,21435
2017-03-27,21435
2017-03-28,21435
2017-03-29,21435
2017-03-30,21435
2017-03-31,21435
2017-04-01,21435
2017-04-02,21435
2017-04-03,21435
2017-04-04,21435
2017-04-05,21435
2017-04-12,21435
2017-04-13,21435
2017-04-14,21435
2017-04-15,21435
2017-04-16,21435
2017-04-17,21435
2017-04-18,21435
2017-04-19,21435
2017-04-20,21435
2017-04-21,21435
2017-04-22,21435
2017-04-23,21435
2017-04-24,21435
2017-04-25,21435
2017-04-26,21435
2017-04-27,21435
2017-04-28,21435
2017-04-29,21435
2017-04-30,21435
2017-05-01,21435
2017-05-02,21435
2017-05-03,21435
2017-05-04,21435
2017-05-05,21435
2017-05-06,21435
2017-05-07,21435
2017-05-08,21435
2017-05-09,21435
2017-05-10,21435
2017-05-11,21435
2017-05-12,21435
2017-05-13,21435
2017-05-14,21435
2017-05-15,21435
2017-05-16,21435
2017-05-17,21435
2017-05-18,21435
2017-05-19,21435
2017-05-20,21435
2017-05-21,21435
2017-05-22,21435
2017-05-23,21435
2017-05-24,21435
2017-05-25,21435
2017-05-26,21435
2017-05-27,21435
2017-05-28,21435
2017-05-29,21435
2017-05-30,21435
2017-05-31,21435
2017-06-01,21435
2017-06-02,21435
2017-06-03,21435
2017-06-04,21435
2017-06-05,21435
2017-06-06,21435
2017-06-07,21435
2017-06-08,21435
2017-06-09,21435
2017-06-10,21435
2017-06-11,21435
2017-06-12,21435
2017-06-13,21435
2017-06-14,21435
2017-06-15,21435
2017-06-16,21435
2017-06-17,21435
2017-06-18,21435
2017-06-19,21435
2017-06-20,21435
2017-06-21,21435
2017-06-22,21435
2017-06-23,21435
2017-06-24,21435
2017-06-25,21435
2017-06-26,21435
2017-06-27,21435
2017-06-28,21435
2017-06-29,21435
2017-06-30,21166
2017-07-01,21166
2017-07-02,21166
2017-07-03,21166
2017-07-04,21166
2017-07-05,21166
2017-07-06,21166
2017-07-07,21166
2017-07-08,21166
2017-07-09,21166
2017-07-13,21166
2017-07-14,21166
2017-07-15,21166
2017-07-16,21166
2017-07-17,21166
2017-07-18,21166
2017-07-19,21166
2017-07-20,21166
2017-07-21,21166
2017-07-22,21166
2017-07-23,21166
2017-07-24,21166
2017-07-25,21166
2017-07-26,21166
2017-07-27,21166
2017-07-28,21166
2017-07-29,21166
2017-07-30,21166
2017-07-31,21166
2017-08-01,21166
2017-08-02,21166
2017-08-03,21166
2017-08-04,21166
2017-08-05,21166
2017-08-06,21166
2017-08-07,21166
2017-08-08,21166
2017-08-09,21166
2017-08-10,21166
2017-08-11,21166
2017-08-12,21166
2017-08-13,21166
2017-08-14,21166
2017-08-15,21166
2017-08-16,21166
2017-08-17,21166
2017-08-18,21166
2017-08-19,21166
2017-08-20,21166
2017-08-21,21166
2017-08-22,21166
2017-08-23,21166
2017-08-24,21166
2017-08-25,21166
2017-08-26,21166
2017-08-27,21166
2017-08-28,21166
2017-08-29,21166
2017-08-30,21166
2017-08-31,21166
2017-09-01,21166
2017-09-02,21166
2017-09-03,21166
2017-09-04,21166
2017-09-05,21166
2017-09-06,21166
2017-09-07,21166
2017-09-08,21166
2017-09-09,21166
2017-09-10,21166
2017-09-11,21166
2017-09-12,21166
2017-09-13,21166
2017-09-14,21166
2017-09-15,21166
2017-09-16,21166
2017-09-17,21166
2017-09-18,21166
2017-09-19,21166
2017-09-20,21166
2017-09-22,21166
2017-09-23,21166
2017-09-24,21166
2017-09-25,21166
2017-09-26,21166
2017-09-27,21166
2017-09-28,21166
2017-09-29,21166
2017-09-30,21166
2017-10-01,21166
2017-10-02,21166
2017-10-03,21166
2017-10-04,21166
2017-10-05,21166
2017-10-06,21166
2017-10-07,21166
2017-10-08,21166
2017-10-09,21166
2017-10-10,21166
2017-10-11,21166
2017-10-12,21166
2017-10-13,21166
2017-10-14,21166
2017-10-15,21166
2017-10-16,21166
2017-10-17,21166
2017-10-18,21166
2017-10-19,21166
2017-10-20,21166
2017-10-21,21166
2017-10-22,21166
2017-10-23,21166
2017-10-24,21166
2017-10-25,21166
2017-10-26,21166
2017-10-27,21166
2017-10-28,21166
2017-10-29,21166
2017-10-30,21166
2017-10-31,21166
2017-11-01,21166
2017-11-02,21166
2017-11-03,21166
2017-11-04,21166
2017-11-05,21166
2017-11-06,21166
2017-11-07,21166
2017-11-08,21166
2017-11-09,21166
2017-11-10,21166
2017-11-11,21166
2017-11-12,21166
2017-11-13,21166
2017-11-14,21166
2017-11-15,21166
2017-11-16,21166
2017-11-17,21166
2017-11-18,21166
2017-11-19,21166
2017-11-20,21166
2017-11-21,21166
