date_obj,Rune%20platebody%20(g) price
2015-03-26,74383
2015-03-27,74383
2015-03-28,74383
2015-03-29,71654
2015-03-30,71654
2015-03-31,69399
2015-04-01,69399
2015-04-02,66499
2015-04-03,66499
2015-04-04,65859
2015-04-05,65859
2015-04-06,64515
2015-04-07,64515
2015-04-08,64806
2015-04-09,64806
2015-04-10,64513
2015-04-11,64513
2015-04-12,64013
2015-04-13,64013
2015-04-14,64359
2015-04-15,64359
2015-04-16,64212
2015-04-17,64212
2015-04-18,62979
2015-04-19,62979
2015-04-20,63343
2015-04-21,63343
2015-04-22,62399
2015-04-23,62399
2015-04-24,61889
2015-04-25,61889
2015-04-26,61215
2015-04-27,61215
2015-04-28,60751
2015-04-29,60751
2015-04-30,60607
2015-05-01,60607
2015-05-02,59919
2015-05-03,59919
2015-05-04,57793
2015-05-05,57793
2015-05-06,56717
2015-05-07,56717
2015-05-08,56516
2015-05-09,56516
2015-05-10,57012
2015-05-11,57012
2015-05-12,56728
2015-05-13,56728
2015-05-14,55802
2015-05-15,55802
2015-05-16,55802
2015-05-17,55166
2015-05-18,55166
2015-05-19,54246
2015-05-20,54246
2015-05-21,54246
2015-05-22,53758
2015-05-23,53758
2015-05-24,53559
2015-05-25,53559
2015-05-26,54226
2015-05-27,54226
2015-05-28,54330
2015-05-29,54330
2015-05-30,53553
2015-05-31,53553
2015-06-01,53643
2015-06-02,53643
2015-06-03,53025
2015-06-04,53025
2015-06-05,52925
2015-06-06,51994
2015-06-07,51582
2015-06-08,51648
2015-06-09,51372
2015-06-10,51734
2015-06-11,51734
2015-06-12,51989
2015-06-13,52119
2015-06-14,52119
2015-06-15,52172
2015-06-16,52274
2015-06-17,52274
2015-06-18,52212
2015-06-19,52212
2015-06-20,51489
2015-06-21,51489
2015-06-22,50319
2015-06-23,50319
2015-06-24,49232
2015-06-25,49232
2015-06-26,48598
2015-06-27,48598
2015-06-28,47575
2015-06-29,47575
2015-06-30,46828
2015-07-01,46142
2015-07-02,46142
2015-07-03,46740
2015-07-04,46740
2015-07-05,46930
2015-07-06,46930
2015-07-07,47375
2015-07-08,48358
2015-07-09,48358
2015-07-10,48431
2015-07-11,48431
2015-07-12,48509
2015-07-13,49057
2015-07-14,49083
2015-07-15,48523
2015-07-16,48523
2015-07-17,48082
2015-07-18,48082
2015-07-19,47573
2015-07-20,47761
2015-07-21,47761
2015-07-22,47090
2015-07-23,47090
2015-07-24,47156
2015-07-25,47156
2015-07-26,47840
2015-07-27,48843
2015-07-28,48978
2015-07-29,49070
2015-07-30,49070
2015-07-31,49513
2015-08-01,49513
2015-08-02,49073
2015-08-03,49073
2015-08-04,49329
2015-08-05,49311
2015-08-06,49311
2015-08-07,49354
2015-08-08,49619
2015-08-09,49797
2015-08-10,50317
2015-08-11,50317
2015-08-12,50648
2015-08-13,50648
2015-08-14,50498
2015-08-15,50498
2015-08-16,51185
2015-08-17,51483
2015-08-18,51483
2015-08-19,51222
2015-08-20,51222
2015-08-21,50927
2015-08-22,52310
2015-08-23,52310
2015-08-24,52678
2015-08-25,52678
2015-08-26,54016
2015-08-27,53228
2015-08-28,53228
2015-08-29,51839
2015-08-30,51839
2015-08-31,51117
2015-09-01,51506
2015-09-02,51506
2015-09-03,50909
2015-09-04,50440
2015-09-05,50440
2015-09-06,50720
2015-09-07,50720
2015-09-08,50546
2015-09-09,50546
2015-09-10,50758
2015-09-11,50758
2015-09-12,51379
2015-09-13,51379
2015-09-14,52250
2015-09-15,52549
2015-09-16,52549
2015-09-17,52491
2015-09-18,52491
2015-09-19,51956
2015-09-20,51956
2015-09-21,52524
2015-09-22,52524
2015-09-23,52002
2015-09-24,52002
2015-09-25,52123
2015-09-27,52951
2015-09-28,51905
2015-09-29,51905
2015-09-30,51216
2015-10-05,51322
2015-10-06,51898
2015-10-07,51898
2015-10-08,51369
