date_obj,Guardian%20boots price
2017-10-25,2343132
2017-10-26,2452563
2017-10-27,2566126
2017-10-28,2676756
2017-10-29,2802159
2017-10-30,2932951
2017-10-31,3068392
2017-11-01,3204240
2017-11-02,3351476
2017-11-03,3504267
2017-11-04,3671650
2017-11-05,3844370
2017-11-06,4017786
2017-11-07,4017786
2017-11-08,4218676
2017-11-09,4418552
2017-11-10,4418552
2017-11-11,4639480
2017-11-12,4856686
2017-11-13,4856686
2017-11-14,5099521
2017-11-15,5099521
2017-11-16,5354498
2017-11-17,5354498
2017-11-18,5621744
2017-11-19,5894795
2017-11-20,5894795
2017-11-21,6091000
2017-11-22,6091000
2017-11-23,6394531
2017-11-24,6394531
2017-11-25,6700675
2017-11-26,6700675
2017-11-27,6824823
2017-11-28,6593793
2017-11-29,6593793
2017-11-30,6413958
2017-12-01,6474147
2017-12-02,6474147
2017-12-03,6666131
2017-12-04,6666131
2017-12-05,6712401
2017-12-06,6712401
2017-12-07,6760573
2017-12-08,6760573
2017-12-09,6933860
2017-12-10,7197500
2017-12-11,7197500
2017-12-12,7360042
2017-12-13,7360042
2017-12-14,7358432
2017-12-15,7492139
2017-12-16,7492139
2017-12-17,7725471
2017-12-18,7929534
2017-12-19,7929534
2017-12-20,7668418
2017-12-21,7668418
2017-12-22,7664693
2017-12-23,7664693
2017-12-24,7718473
2017-12-25,7718473
2017-12-26,7730696
2017-12-27,7730696
2017-12-28,7622181
2017-12-29,7622181
2017-12-30,7551233
2017-12-31,7551233
2018-01-01,7606494
2018-01-02,7606494
2018-01-03,7450016
2018-01-04,7450016
2018-01-05,7109188
2018-01-06,6753728
2018-01-07,6753728
2018-01-08,6419553
2018-01-09,6419553
2018-01-10,6152577
2018-01-11,6152577
2018-01-12,6150059
2018-01-13,6288047
2018-01-14,6288047
2018-01-15,6249300
2018-01-16,6194435
2018-01-17,6028354
2018-01-18,5955956
2018-01-19,5955956
2018-01-20,6001826
2018-01-21,6001826
2018-01-22,6251707
2018-01-23,6452604
2018-01-25,6330023
2018-01-26,6291422
2018-01-27,6259498
2018-01-28,6262741
2018-01-29,6444624
2018-01-30,6472051
2018-01-31,6649928
2018-02-01,6649928
2018-02-02,6765727
2018-02-03,6842445
2018-02-04,6914387
2018-02-05,6959755
2018-02-06,6914356
2018-02-07,6866205
2018-02-08,6866205
2018-02-09,6768455
2018-02-10,6768455
2018-02-11,6802052
2018-02-12,6759819
2018-02-13,6662519
2018-02-14,6595859
2018-02-15,6639481
2018-02-16,6630987
2018-02-17,6714533
2018-02-18,6776631
2018-02-19,6899987
2018-02-20,6981429
2018-02-21,6878954
2018-02-22,6852777
2018-02-23,6895127
2018-02-24,7176329
2018-02-25,7408885
2018-02-26,7701273
2018-02-27,7961954
2018-02-28,8265270
2018-03-01,8570756
2018-03-02,8991872
2018-03-03,9438655
2018-03-04,9438655
2018-03-05,9156606
2018-03-06,8698775
2018-03-07,8366561
2018-03-08,8552713
2018-03-09,8856110
2018-03-10,8769426
2018-03-11,8609802
2018-03-12,8426869
2018-03-13,8514337
2018-03-14,8608889
2018-03-15,8731335
2018-03-16,8813744
2018-03-17,8819463
2018-03-18,9169645
2018-03-19,9169645
2018-03-20,9545961
2018-03-21,9580638
2018-03-23,9609165
2018-03-24,9364166
2018-03-25,9178584
2018-03-26,8724313
2018-03-27,8411921
2018-03-28,8411921
2018-03-29,8443736
2018-03-30,8628222
2018-03-31,8728593
2018-04-01,8866509
2018-04-02,8820346
2018-04-03,8825156
2018-04-04,8846678
2018-04-05,8846678
2018-04-06,9073413
2018-04-07,9073413
2018-04-08,9477390
2018-04-09,9701459
2018-04-10,9708783
2018-04-11,9852767
2018-04-12,9941453
2018-04-13,9869765
2018-04-14,9846054
2018-04-15,9782544
2018-04-16,9782544
2018-04-17,9584681
2018-04-18,9584681
2018-04-19,9258828
2018-04-20,9194365
2018-04-21,9105769
2018-04-22,9105769
2018-04-23,9314273
2018-04-24,9408997
2018-04-25,9404175
2018-04-26,9404175
2018-04-27,9487083
2018-04-28,9607732
2018-04-29,9633682
2018-04-30,9590813
2018-05-01,9606293
2018-05-03,9709639
2018-05-04,9726895
2018-05-05,10140691
2018-05-06,10140691
2018-05-07,10107817
2018-05-08,10046091
2018-05-09,9948335
2018-05-10,9508686
2018-05-11,9383396
2018-05-12,9546653
2018-05-13,9546653
2018-05-14,9568308
2018-05-15,9568308
2018-05-16,9922311
2018-05-17,9936889
2018-05-18,9910193
2018-05-19,9911274
2018-05-20,9827397
2018-05-21,9847880
2018-05-22,9847880
2018-05-23,10054990
2018-05-24,10331735
2018-05-25,10641583
2018-05-26,10830318
2018-05-27,10830318
2018-05-28,11159647
