date_obj,Gilded%20dragonhide%20set price
2019-04-11,1500000
2019-04-11,1559964
2019-04-12,1624317
2019-04-13,1690079
2019-04-14,1766784
2019-04-15,56800000
2019-04-16,56800000
2019-04-17,56800000
2019-04-18,56800000
2019-04-19,56800000
2019-04-20,56800000
2019-04-21,56800000
2019-04-22,56800000
2019-04-23,56800000
2019-04-24,56800000
2019-04-25,56800000
2019-04-26,56800000
2019-04-27,56800000
2019-04-28,56800000
2019-04-29,56800000
2019-04-30,56800000
2019-05-01,56800000
2019-05-02,56800000
2019-05-03,56800000
2019-05-04,56800000
2019-05-05,58202293
2019-05-06,58202293
2019-05-07,58202293
2019-05-08,58202293
2019-05-09,58202293
2019-05-10,58202293
2019-05-11,58202293
2019-05-12,58202293
2019-05-13,58202293
2019-05-14,58202293
2019-05-15,58202293
2019-05-16,58202293
2019-05-17,58202293
2019-05-18,58202293
2019-05-19,58202293
2019-05-20,58202293
2019-05-21,58202293
2019-05-22,58202293
2019-05-23,58202293
2019-05-24,58202293
2019-05-25,58202293
2019-05-26,58202293
2019-05-27,55942205
2019-05-28,55942205
2019-05-29,55942205
2019-05-30,55942205
2019-05-31,55942205
2019-06-01,55942205
2019-06-02,55942205
2019-06-03,55942205
2019-06-04,55942205
2019-06-05,55942205
2019-06-06,55942205
2019-06-07,55942205
2019-06-08,55942205
2019-06-09,55942205
2019-06-10,55942205
2019-06-11,55942205
2019-06-12,55942205
2019-06-13,53230007
2019-06-14,53230007
2019-06-15,53230007
2019-06-16,53230007
2019-06-17,53230007
2019-06-18,53230007
2019-06-19,53230007
2019-06-20,53230007
2019-06-21,53230007
2019-06-22,53230007
2019-06-23,53230007
2019-06-24,53230007
2019-06-25,53230007
2019-06-26,53230007
2019-06-27,50676210
2019-06-28,50676210
2019-06-29,50676210
2019-06-30,50676210
2019-07-01,50676210
2019-07-02,50676210
2019-07-03,50676210
2019-07-04,50676210
2019-07-05,50676210
2019-07-06,50676210
2019-07-07,50676210
2019-07-08,50676210
2019-07-09,50676210
2019-07-10,50676210
2019-07-11,50676210
2019-07-12,48204796
2019-07-13,48204796
2019-07-14,48204796
2019-07-15,48204796
2019-07-16,48204796
2019-07-17,48204796
2019-07-18,48204796
2019-07-19,48204796
2019-07-20,48204796
2019-07-21,48204796
2019-07-22,45930148
2019-07-23,45930148
2019-07-24,45930148
2019-07-25,45930148
2019-07-26,45930148
2019-07-27,45930148
2019-07-28,45930148
2019-07-29,45930148
2019-07-30,45930148
2019-07-31,45930148
2019-08-01,45930148
2019-08-02,45930148
2019-08-03,43809265
2019-08-04,43809265
2019-08-05,43809265
2019-08-06,43809265
2019-08-07,43809265
2019-08-08,43809265
2019-08-09,43809265
2019-08-10,43809265
2019-08-11,43809265
2019-08-12,43809265
2019-08-13,43809265
2019-08-14,43809265
2019-08-15,43809265
2019-08-16,41721985
2019-08-17,41721985
2019-08-18,41721985
2019-08-19,41721985
2019-08-20,41721985
2019-08-21,41721985
2019-08-22,41721985
2019-08-23,41721985
2019-08-24,41721985
2019-08-24,41721985
2019-08-25,41721985
2019-08-25,41721985
2019-08-26,41721985
2019-08-26,41721985
2019-08-27,41721985
2019-08-27,41721985
2019-08-28,39793101
2019-08-29,39793101
2019-08-30,39793101
2019-08-31,39793101
2019-09-01,39793101
2019-09-02,39793101
2019-09-03,39793101
2019-09-04,39793101
2019-09-05,39793101
2019-09-06,39793101
2019-09-07,39793101
2019-09-08,38720399
2019-09-09,38720399
2019-09-10,38720399
2019-09-11,38720399
2019-09-12,38720399
2019-09-13,38720399
2019-09-14,38720399
2019-09-15,38720399
2019-09-16,38720399
2019-09-17,38720399
2019-09-18,38720399
2019-09-19,38720399
2019-09-20,38720399
2019-09-21,38720399
2019-09-22,38720399
2019-09-23,39299186
2019-09-24,39299186
2019-09-25,39299186
2019-09-26,39299186
2019-09-27,39299186
2019-09-28,39299186
2019-09-29,39299186
2019-09-30,39299186
2019-10-01,39299186
2019-10-02,39299186
2019-10-03,39299186
2019-10-04,39299186
2019-10-05,39134722
2019-10-06,39134722
2019-10-07,39134722
2019-10-08,39134722
2019-10-09,39134722
2019-10-10,39134722
2019-10-11,39134722
2019-10-12,39134722
2019-10-13,39134722
2019-10-14,39134722
2019-10-15,39134722
2019-10-16,39134722
2019-10-17,38508704
2019-10-18,38508704
2019-10-19,38508704
2019-10-20,38508704
2019-10-21,38508704
2019-10-22,38508704
2019-10-23,38508704
2019-10-24,38508704
2019-10-25,38508704
2019-10-26,38508704
2019-10-27,38508704
2019-10-28,38508704
2019-10-29,38508704
2019-10-30,37766129
2019-10-31,37766129
2019-11-01,37766129
2019-11-02,37766129
2019-11-03,37766129
2019-11-04,37766129
2019-11-05,37766129
2019-11-06,37766129
2019-11-07,37766129
2019-11-08,37766129
2019-11-09,37766129
2019-11-10,37766129
2019-11-11,37766129
2019-11-12,37766129
2019-11-13,38092099
2019-11-14,38092099
2019-11-15,38092099
2019-11-16,38092099
2019-11-17,38092099
2019-11-18,38092099
2019-11-19,38092099
2019-11-20,38092099
2019-11-21,38092099
2019-11-22,38092099
2019-11-23,38092099
2019-11-24,38092099
2019-11-25,38092099
2019-11-26,38092099
2019-11-27,38092099
2019-11-28,38043714
2019-11-29,38043714
2019-11-30,38043714
2019-12-01,38043714
2019-12-02,38043714
2019-12-03,38043714
2019-12-04,38043714
2019-12-05,38043714
2019-12-06,38043714
