date_obj,Snakeskin%20boots price
2015-03-26,1601
2015-03-27,1520
2015-03-28,1444
2015-03-29,1371
2015-03-30,1302
2015-03-31,1236
2015-04-01,1174
2015-04-02,1115
2015-04-03,1059
2015-04-04,1006
2015-04-05,955
2015-04-06,907
2015-04-07,861
2015-04-08,817
2015-04-09,776
2015-04-10,737
2015-04-11,700
2015-04-12,665
2015-04-13,631
2015-04-14,599
2015-04-15,569
2015-04-16,540
2015-04-17,513
2015-04-18,500
2015-04-19,477
2015-04-20,453
2015-04-21,439
2015-04-22,441
2015-04-23,425
2015-04-24,403
2015-04-25,382
2015-04-26,362
2015-04-27,352
2015-04-28,355
2015-04-29,352
2015-04-30,343
2015-05-01,337
2015-05-02,331
2015-05-03,318
2015-05-04,312
2015-05-05,314
2015-05-06,314
2015-05-07,315
2015-05-08,318
2015-05-09,321
2015-05-10,312
2015-05-11,299
2015-05-12,294
2015-05-13,291
2015-05-14,291
2015-05-15,297
2015-05-16,300
2015-05-17,305
2015-05-18,313
2015-05-19,308
2015-05-20,300
2015-05-21,302
2015-05-22,294
2015-05-23,295
2015-05-24,286
2015-05-25,282
2015-05-26,283
2015-05-27,277
2015-05-28,282
2015-05-29,277
2015-05-30,283
2015-05-31,277
2015-06-01,286
2015-06-02,288
2015-06-03,296
2015-06-04,297
2015-06-05,297
2015-06-06,292
2015-06-07,286
2015-06-08,295
2015-06-09,297
2015-06-10,298
2015-06-11,294
2015-06-12,300
2015-06-13,311
2015-06-14,315
2015-06-15,319
2015-06-16,328
2015-06-17,327
2015-06-18,324
2015-06-19,319
2015-06-20,327
2015-06-21,316
2015-06-22,311
2015-06-23,302
2015-06-24,302
2015-06-25,296
2015-06-26,305
2015-06-27,298
2015-06-28,296
2015-06-29,292
2015-06-30,298
2015-07-01,304
2015-07-02,306
2015-07-03,313
2015-07-04,300
2015-07-05,298
2015-07-06,301
2015-07-07,309
2015-07-08,319
2015-07-09,331
2015-07-10,316
2015-07-11,303
2015-07-12,315
2015-07-13,328
2015-07-14,329
2015-07-15,330
2015-07-16,329
2015-07-17,329
2015-07-18,315
2015-07-19,312
2015-07-20,319
2015-07-21,306
2015-07-22,293
2015-07-23,298
2015-07-24,289
2015-07-25,286
2015-07-26,291
2015-07-27,289
2015-07-28,290
2015-07-29,303
2015-07-30,299
2015-07-31,292
2015-08-01,303
2015-08-02,307
2015-08-03,304
2015-08-04,291
2015-08-05,283
2015-08-06,283
2015-08-07,293
2015-08-08,292
2015-08-09,300
2015-08-10,302
2015-08-11,292
2015-08-12,294
2015-08-13,294
2015-08-14,298
2015-08-15,303
2015-08-16,300
2015-08-17,310
2015-08-18,306
2015-08-19,309
2015-08-20,315
2015-08-21,315
2015-08-22,319
2015-08-23,331
2015-08-24,336
2015-08-25,328
2015-08-26,327
2015-08-27,325
2015-08-28,328
2015-08-29,321
2015-08-30,332
2015-08-31,340
2015-09-01,336
2015-09-02,343
2015-09-03,342
2015-09-04,341
2015-09-05,351
2015-09-06,339
2015-09-07,339
2015-09-08,342
2015-09-09,335
2015-09-10,335
2015-09-11,325
2015-09-12,313
2015-09-13,309
2015-09-14,299
2015-09-15,296
2015-09-16,295
2015-09-17,289
2015-09-18,288
2015-09-19,277
2015-09-20,276
2015-09-21,280
2015-09-22,279
2015-09-23,282
2015-09-24,282
2015-09-25,275
2015-09-27,286
2015-09-28,295
2015-09-29,305
2015-09-30,311
2015-10-05,319
2015-10-06,325
2015-10-07,320
2015-10-08,315
2015-10-09,309
2015-10-10,323
2015-10-11,318
2015-10-12,317
2015-10-13,309
2015-10-14,301
2015-10-15,302
2015-10-16,304
2015-10-17,296
2015-10-18,297
2015-10-19,303
2015-10-20,307
2015-10-22,314
2015-10-23,323
2015-10-24,324
2015-10-25,320
2015-10-26,329
2015-10-27,334
2015-10-29,362
2015-10-30,362
2015-10-31,378
2015-11-01,378
2015-11-02,384
2015-11-03,388
2015-11-04,380
2015-11-05,378
2015-11-06,365
2015-11-07,352
2015-11-08,346
2015-11-09,341
2015-11-10,341
2015-11-11,341
2015-11-12,330
2015-11-13,321
2015-11-14,313
2015-11-15,297
2015-11-16,284
2015-11-17,281
2015-11-18,280
2015-11-19,272
2015-11-20,258
2015-11-21,245
2015-11-22,235
2015-11-23,237
2015-11-24,237
2015-11-25,229
2015-11-26,227
2015-11-27,232
2015-11-28,237
2015-11-29,247
2015-11-30,253
2015-12-01,256
2015-12-02,260
2015-12-03,267
2015-12-04,274
2015-12-05,273
2015-12-06,271
2015-12-07,278
2015-12-08,282
2015-12-09,294
2015-12-10,291
2015-12-11,301
2015-12-12,305
2015-12-13,317
2015-12-14,325
2015-12-15,334
2015-12-16,340
2015-12-17,341
2015-12-18,345
2015-12-19,347
2015-12-20,354
2015-12-21,361
2015-12-22,359
2015-12-23,354
2015-12-24,362
2015-12-25,352
2015-12-26,349
2015-12-27,340
2015-12-28,330
2015-12-29,313
2015-12-30,303
2015-12-31,310
2016-01-01,313
2016-01-02,306
2016-01-03,299
2016-01-04,299
2016-01-05,296
2016-01-06,298
2016-01-07,301
2016-01-08,293
2016-01-09,284
2016-01-10,278
2016-01-11,272
2016-01-12,268
2016-01-13,254
2016-01-14,250
2016-01-15,255
2016-01-16,266
2016-01-17,274
2016-01-18,277
2016-01-19,282
2016-01-20,282
2016-01-21,285
2016-01-22,290
2016-01-23,292
2016-01-24,303
2016-01-25,289
2016-01-26,276
2016-01-27,266
2016-01-28,252
2016-01-29,240
2016-01-30,239
2016-01-31,231
2016-02-01,221
2016-02-02,231
2016-02-03,231
2016-02-04,235
2016-02-05,242
2016-02-06,248
2016-02-07,237
2016-02-08,246
2016-02-09,259
2016-02-10,258
2016-02-11,263
2016-02-12,268
2016-02-13,275
2016-02-14,284
2016-02-15,290
2016-02-16,292
2016-02-17,296
2016-02-18,298
2016-02-19,288
2016-02-20,295
2016-02-21,298
2016-02-22,303
2016-02-23,298
2016-02-24,288
2016-02-25,292
2016-02-26,297
2016-02-27,296
2016-02-28,295
2016-02-29,300
2016-03-01,291
2016-03-02,285
2016-03-03,284
2016-03-04,278
2016-03-05,277
2016-03-06,280
2016-03-07,288
2016-03-08,287
2016-03-09,294
2016-03-10,299
2016-03-11,300
2016-03-12,304
2016-03-13,306
2016-03-14,309
2016-03-15,305
2016-03-16,301
2016-03-17,300
2016-03-18,298
2016-03-19,304
2016-03-20,300
2016-03-21,289
2016-03-22,291
2016-03-23,294
2016-03-24,301
2016-03-25,306
2016-03-26,305
2016-03-27,317
2016-03-28,318
2016-03-29,327
2016-03-30,331
2016-03-31,327
2016-04-01,338
2016-04-02,343
2016-04-03,341
2016-04-04,343
2016-04-05,348
2016-04-06,339
2016-04-07,336
2016-04-08,340
2016-04-09,331
2016-04-10,327
2016-04-11,321
2016-04-12,321
2016-04-13,316
2016-04-14,303
2016-04-15,297
2016-04-16,285
2016-04-17,273
2016-04-18,260
2016-04-19,249
2016-04-20,241
2016-04-21,228
2016-04-22,219
2016-04-23,215
2016-04-24,215
2016-04-25,219
2016-04-26,222
2016-04-27,227
2016-04-28,234
2016-04-29,243
2016-04-30,250
2016-05-01,256
2016-05-02,266
2016-05-03,272
2016-05-04,277
2016-05-05,275
2016-05-06,276
2016-05-07,278
2016-05-08,287
2016-05-09,289
2016-05-10,295
2016-05-11,283
2016-05-12,289
2016-05-13,300
2016-05-14,308
2016-05-15,310
