date_obj,Maple%20longbow price
2015-03-26,242
2015-03-27,242
2015-03-28,246
2015-03-29,244
2015-03-30,241
2015-03-31,243
2015-04-01,245
2015-04-02,248
2015-04-03,245
2015-04-04,237
2015-04-05,233
2015-04-06,229
2015-04-07,228
2015-04-08,230
2015-04-09,230
2015-04-10,227
2015-04-11,221
2015-04-12,216
2015-04-13,219
2015-04-14,226
2015-04-15,233
2015-04-16,237
2015-04-17,235
2015-04-18,231
2015-04-19,229
2015-04-20,234
2015-04-21,240
2015-04-22,247
2015-04-23,253
2015-04-24,250
2015-04-25,243
2015-04-26,238
2015-04-27,235
2015-04-28,235
2015-04-29,236
2015-04-30,241
2015-05-01,246
2015-05-02,238
2015-05-03,231
2015-05-04,234
2015-05-05,234
2015-05-06,235
2015-05-07,229
2015-05-08,228
2015-05-09,218
2015-05-10,217
2015-05-11,224
2015-05-12,232
2015-05-13,236
2015-05-14,235
2015-05-15,234
2015-05-16,237
2015-05-17,246
2015-05-18,251
2015-05-19,253
2015-05-20,260
2015-05-21,256
2015-05-22,255
2015-05-23,245
2015-05-24,232
2015-05-25,226
2015-05-26,231
2015-05-27,235
2015-05-28,241
2015-05-29,245
2015-05-30,248
2015-05-31,236
2015-06-01,238
2015-06-02,250
2015-06-03,260
2015-06-04,272
2015-06-05,286
2015-06-06,301
2015-06-07,316
2015-06-08,330
2015-06-09,344
2015-06-10,354
2015-06-11,359
2015-06-12,357
2015-06-13,345
2015-06-14,327
2015-06-15,313
2015-06-16,299
2015-06-17,305
2015-06-18,312
2015-06-19,319
2015-06-20,304
2015-06-21,292
2015-06-22,297
2015-06-23,296
2015-06-24,299
2015-06-25,306
2015-06-26,309
2015-06-27,302
2015-06-28,288
2015-06-29,283
2015-06-30,286
2015-07-01,292
2015-07-02,303
2015-07-03,303
2015-07-04,288
2015-07-05,274
2015-07-06,270
2015-07-07,269
2015-07-08,264
2015-07-09,272
2015-07-10,266
2015-07-11,258
2015-07-12,246
2015-07-13,240
2015-07-14,236
2015-07-15,240
2015-07-16,242
2015-07-17,242
2015-07-18,251
2015-07-19,258
2015-07-20,267
2015-07-21,277
2015-07-22,276
2015-07-23,279
2015-07-24,288
2015-07-25,286
2015-07-26,290
2015-07-27,298
2015-07-28,309
2015-07-29,325
2015-07-30,337
2015-07-31,332
2015-08-01,326
2015-08-02,309
2015-08-03,293
2015-08-04,295
2015-08-05,302
2015-08-06,317
2015-08-07,321
2015-08-08,318
2015-08-09,309
2015-08-10,296
2015-08-11,287
2015-08-12,276
2015-08-13,281
2015-08-14,281
2015-08-15,282
2015-08-16,279
2015-08-17,278
2015-08-18,274
2015-08-19,281
2015-08-20,289
2015-08-21,292
2015-08-22,288
2015-08-23,279
2015-08-24,284
2015-08-25,282
2015-08-26,288
2015-08-27,296
2015-08-28,294
2015-08-29,296
2015-08-30,291
2015-08-31,290
2015-09-01,287
2015-09-02,283
2015-09-03,276
2015-09-04,278
2015-09-05,276
2015-09-06,277
2015-09-07,278
2015-09-08,281
2015-09-09,283
2015-09-10,290
2015-09-11,294
2015-09-12,292
2015-09-13,290
2015-09-14,288
2015-09-15,297
2015-09-16,291
2015-09-17,302
2015-09-18,315
2015-09-19,303
2015-09-20,294
2015-09-21,303
2015-09-22,314
2015-09-23,324
2015-09-24,337
2015-09-25,345
2015-09-27,313
2015-09-28,310
2015-09-29,317
2015-09-30,326
2015-10-05,332
2015-10-06,341
2015-10-07,356
2015-10-08,373
2015-10-09,384
2015-10-10,364
2015-10-11,345
2015-10-12,327
2015-10-13,332
2015-10-14,333
2015-10-15,332
2015-10-16,322
2015-10-17,320
2015-10-18,320
2015-10-19,329
2015-10-20,331
2015-10-22,343
2015-10-23,352
2015-10-24,340
2015-10-25,325
2015-10-26,329
2015-10-27,330
2015-10-29,343
2015-10-30,342
2015-10-31,336
2015-11-01,329
2015-11-02,342
2015-11-03,354
2015-11-04,370
2015-11-05,386
2015-11-06,394
2015-11-07,394
2015-11-08,401
2015-11-09,394
2015-11-10,397
2015-11-11,393
2015-11-12,405
2015-11-13,400
2015-11-14,408
2015-11-15,404
2015-11-16,393
2015-11-17,385
2015-11-18,389
2015-11-19,394
2015-11-20,393
2015-11-21,393
2015-11-22,388
2015-11-23,388
2015-11-24,397
2015-11-25,387
2015-11-26,387
2015-11-27,385
2015-11-28,392
2015-11-29,388
2015-11-30,383
2015-12-01,375
2015-12-02,381
2015-12-03,391
2015-12-04,406
2015-12-05,414
2015-12-06,397
2015-12-07,384
2015-12-08,397
2015-12-09,410
2015-12-10,421
2015-12-11,402
2015-12-12,385
2015-12-13,383
2015-12-14,377
2015-12-15,391
2015-12-16,389
2015-12-17,387
2015-12-18,388
2015-12-19,372
2015-12-20,356
2015-12-21,364
2015-12-22,363
2015-12-23,350
2015-12-24,333
2015-12-25,320
2015-12-26,304
2015-12-27,308
2015-12-28,308
2015-12-29,314
2015-12-30,320
2015-12-31,313
2016-01-01,307
2016-01-02,316
2016-01-03,318
2016-01-04,323
2016-01-05,329
2016-01-06,341
2016-01-07,356
2016-01-08,363
2016-01-09,371
2016-01-10,374
2016-01-11,365
2016-01-12,374
2016-01-13,381
2016-01-14,382
2016-01-15,378
2016-01-16,370
2016-01-17,354
2016-01-18,341
2016-01-19,341
2016-01-20,340
2016-01-21,350
2016-01-22,339
2016-01-23,329
2016-01-24,337
2016-01-25,344
2016-01-26,355
2016-01-27,360
2016-01-28,377
2016-01-29,382
2016-01-30,376
2016-01-31,370
2016-02-01,358
2016-02-02,353
2016-02-03,360
2016-02-04,369
2016-02-05,373
2016-02-06,363
2016-02-07,356
2016-02-08,353
2016-02-09,341
2016-02-10,334
2016-02-11,341
2016-02-12,335
2016-02-13,334
2016-02-14,334
2016-02-15,336
2016-02-16,343
2016-02-17,333
2016-02-18,331
2016-02-19,332
2016-02-20,347
2016-02-21,338
2016-02-22,331
2016-02-23,337
2016-02-24,327
2016-02-25,331
2016-02-26,326
2016-02-27,323
2016-02-28,315
2016-02-29,307
2016-03-01,322
2016-03-02,323
2016-03-03,318
2016-03-04,319
2016-03-05,312
2016-03-06,309
2016-03-07,314
2016-03-08,314
2016-03-09,319
2016-03-10,324
2016-03-11,319
2016-03-12,327
2016-03-13,315
2016-03-14,310
2016-03-15,316
2016-03-16,323
2016-03-17,314
2016-03-18,305
2016-03-19,298
2016-03-20,303
2016-03-21,309
2016-03-22,316
2016-03-23,325
2016-03-24,322
2016-03-25,317
2016-03-26,308
2016-03-27,297
2016-03-28,299
2016-03-29,308
2016-03-30,311
2016-03-31,316
2016-04-01,318
2016-04-02,325
2016-04-03,329
2016-04-04,329
2016-04-05,337
2016-04-06,338
2016-04-07,342
2016-04-08,342
2016-04-09,342
2016-04-10,338
2016-04-11,338
