date_obj,Flared%20trousers price
2015-03-26,108187
2015-03-27,108187
2015-03-28,110823
2015-03-29,113813
2015-03-30,118748
2015-03-31,124485
2015-04-01,129752
2015-04-02,135367
2015-04-03,142136
2015-04-04,149243
2015-04-05,155812
2015-04-06,163165
2015-04-07,170361
2015-04-08,176331
2015-04-09,181370
2015-04-10,186254
2015-04-11,194320
2015-04-12,200806
2015-04-13,204737
2015-04-14,204737
2015-04-15,206241
2015-04-16,204000
2015-04-17,203140
2015-04-18,201494
2015-04-19,202664
2015-04-20,202664
2015-04-21,202850
2015-04-22,202850
2015-04-23,204559
2015-04-24,204559
2015-04-25,205704
2015-04-26,207731
2015-04-27,206300
2015-04-28,207366
2015-04-29,207366
2015-04-30,209383
2015-05-01,212370
2015-05-02,211589
2015-05-03,211589
2015-05-04,206641
2015-05-05,198987
2015-05-06,191557
2015-05-07,188398
2015-05-08,188398
2015-05-09,183873
2015-05-10,179623
2015-05-11,179623
2015-05-12,175370
2015-05-13,175370
2015-05-14,170242
2015-05-15,170242
2015-05-16,165825
2015-05-17,161694
2015-05-18,159471
2015-05-19,159471
2015-05-20,157269
2015-05-21,157269
2015-05-22,154946
2015-05-23,152893
2015-05-24,150628
2015-05-25,149201
2015-05-26,147402
2015-05-27,147402
2015-05-28,144017
2015-05-29,144017
2015-05-30,144003
2015-05-31,144003
2015-06-01,142804
2015-06-02,142804
2015-06-03,141141
2015-06-04,141141
2015-06-05,140445
2015-06-06,138015
2015-06-07,138015
2015-06-08,137226
2015-06-09,137105
2015-06-10,137340
2015-06-11,137340
2015-06-12,136925
2015-06-13,137562
2015-06-14,137562
2015-06-15,136893
2015-06-16,135182
2015-06-17,135182
2015-06-18,136115
2015-06-19,136115
2015-06-20,136961
2015-06-21,136961
2015-06-22,137294
2015-06-23,137294
2015-06-24,138656
2015-06-25,138656
2015-06-26,141720
2015-06-27,141720
2015-06-28,145172
2015-06-29,145172
2015-06-30,145560
2015-07-01,148747
2015-07-02,148747
2015-07-03,149169
2015-07-04,149169
2015-07-05,150652
2015-07-06,150652
2015-07-07,151888
2015-07-08,153753
2015-07-09,153753
2015-07-10,159047
2015-07-11,159047
2015-07-12,164520
2015-07-13,164520
2015-07-14,168304
2015-07-15,168304
2015-07-16,168330
2015-07-17,166065
2015-07-18,166065
2015-07-19,166395
2015-07-20,167190
2015-07-21,167190
2015-07-22,170908
2015-07-23,170908
2015-07-24,175594
2015-07-25,175594
2015-07-26,179203
2015-07-27,185840
2015-07-28,185840
2015-07-29,191095
2015-07-30,196694
2015-07-31,196694
2015-08-01,204761
2015-08-02,214167
2015-08-03,214167
2015-08-04,224450
2015-08-05,233966
2015-08-06,241111
2015-08-07,242572
2015-08-08,243276
2015-08-09,242829
2015-08-10,243937
2015-08-11,246371
2015-08-12,246371
2015-08-13,244800
2015-08-14,247885
2015-08-15,247885
2015-08-16,246366
2015-08-17,243662
2015-08-18,243820
2015-08-19,243080
2015-08-20,243080
2015-08-21,244020
2015-08-22,244020
2015-08-23,242512
2015-08-24,239448
2015-08-25,239448
2015-08-26,237675
2015-08-27,225791
2015-08-28,225791
2015-08-29,214509
2015-08-30,214509
2015-08-31,207692
2015-09-01,200709
2015-09-02,200709
2015-09-03,200013
2015-09-04,197769
2015-09-05,197769
2015-09-06,191664
2015-09-07,190049
2015-09-08,185750
2015-09-09,185750
2015-09-10,183250
2015-09-11,179365
2015-09-12,177426
2015-09-13,176257
2015-09-14,176257
2015-09-15,175253
2015-09-16,175253
2015-09-17,174485
2015-09-18,174485
2015-09-19,174519
2015-09-20,172530
2015-09-21,172530
2015-09-22,171540
2015-09-23,177655
2015-09-24,177655
2015-09-25,184873
2015-09-27,189224
2015-09-28,188012
2015-09-29,188012
2015-09-30,190448
2015-10-05,195125
2015-10-06,202547
2015-10-07,202547
2015-10-08,206676
2015-10-09,210413
2015-10-10,210413
2015-10-11,215039
2015-10-12,215039
2015-10-13,220960
2015-10-14,220960
2015-10-15,226807
2015-10-16,226807
2015-10-17,231533
2015-10-18,231533
2015-10-19,232146
2015-10-20,232146
2015-10-22,231081
2015-10-23,233889
2015-10-24,233889
2015-10-25,229612
2015-10-26,230510
2015-10-27,230510
2015-10-29,230558
2015-10-30,231940
2015-10-31,225040
2015-11-01,225040
2015-11-02,220286
2015-11-03,220286
2015-11-04,213030
2015-11-05,211577
2015-11-06,211577
2015-11-07,213730
2015-11-08,213730
2015-11-09,210899
2015-11-10,210899
2015-11-11,211341
2015-11-12,211341
2015-11-13,207976
2015-11-14,207976
2015-11-15,206110
2015-11-16,206110
2015-11-17,211027
2015-11-18,220146
2015-11-19,227133
2015-11-20,230127
