date_obj,Mystic%20robe%20top%20(light) price
2015-12-28,82983
2015-12-29,81569
2015-12-30,81569
2015-12-31,82226
2016-01-01,82226
2016-01-02,82853
2016-01-03,81142
2016-01-04,81756
2016-01-05,81756
2016-01-06,82362
2016-01-07,82362
2016-01-08,81816
2016-01-09,81816
2016-01-10,83258
2016-01-11,83258
2016-01-12,82563
2016-01-13,82563
2016-01-14,82915
2016-01-15,82915
2016-01-16,83123
2016-01-17,83123
2016-01-18,83570
2016-01-19,83570
2016-01-20,82603
2016-01-21,82603
2016-01-22,82981
2016-01-23,82981
2016-01-24,82744
2016-01-25,82474
2016-01-26,82474
2016-01-27,82592
2016-01-28,82592
2016-01-29,83188
2016-01-30,83188
2016-01-31,83351
2016-02-01,83351
2016-02-02,83299
2016-02-03,83299
2016-02-04,83317
2016-02-05,83317
2016-02-06,82688
2016-02-07,82688
2016-02-08,81982
2016-02-09,81982
2016-02-10,82465
2016-02-11,82465
2016-02-12,82450
2016-02-13,82812
2016-02-14,82812
2016-02-15,82338
2016-02-16,82338
2016-02-17,82671
2016-02-18,82671
2016-02-19,82609
2016-02-20,82609
2016-02-21,82120
2016-02-22,82120
2016-02-23,82692
2016-02-24,82692
2016-02-25,82705
2016-02-26,82705
2016-02-27,83096
2016-02-28,83096
2016-02-29,82858
2016-03-01,82858
2016-03-02,82864
2016-03-03,82864
2016-03-04,82226
2016-03-05,82226
2016-03-06,80611
2016-03-07,80611
2016-03-08,82110
2016-03-09,82110
2016-03-10,82004
2016-03-11,82004
2016-03-12,82034
2016-03-13,82034
2016-03-14,82848
2016-03-15,82848
2016-03-16,82197
2016-03-17,82197
2016-03-18,81894
2016-03-19,81894
2016-03-20,83223
2016-03-21,83223
2016-03-22,83339
2016-03-23,83339
2016-03-24,82113
2016-03-25,82069
2016-03-26,82069
2016-03-27,81666
2016-03-28,82663
2016-03-29,82663
2016-03-30,83131
2016-03-31,83131
2016-04-01,82103
2016-04-02,82103
2016-04-03,81250
2016-04-04,81250
2016-04-05,81878
2016-04-06,81878
2016-04-07,81845
2016-04-08,81833
2016-04-09,83263
2016-04-10,83100
2016-04-11,83100
2016-04-12,84380
2016-04-13,84380
2016-04-14,83507
2016-04-15,83549
2016-04-16,83549
2016-04-17,84096
2016-04-18,83436
2016-04-19,83436
2016-04-20,84342
2016-04-21,84342
2016-04-22,83203
2016-04-23,82986
2016-04-24,82986
2016-04-25,82141
2016-04-26,82141
2016-04-27,82448
2016-04-28,82448
2016-04-29,82358
2016-04-30,82358
2016-05-01,82914
2016-05-02,82914
2016-05-03,83534
2016-05-04,83534
2016-05-05,81650
2016-05-06,81650
2016-05-07,81835
2016-05-08,81835
2016-05-09,83047
2016-05-10,83047
2016-05-11,83663
2016-05-12,83663
2016-05-13,83390
2016-05-14,83390
2016-05-15,83645
2016-05-16,83645
2016-05-17,86586
2016-05-18,86586
2016-05-19,84715
2016-05-22,82316
2016-05-23,82169
2016-05-24,82169
2016-05-25,82650
2016-05-26,82650
2016-05-27,82320
2016-05-28,82320
2016-05-29,82650
2016-05-30,82650
2016-05-31,82545
2016-06-01,82687
2016-06-02,82687
2016-06-03,82399
2016-06-04,82972
2016-06-05,82972
2016-06-06,82814
2016-06-07,82814
2016-06-08,82708
2016-06-09,82708
2016-06-10,82619
2016-06-11,82619
2016-06-12,81039
2016-06-13,81039
2016-06-14,82314
2016-06-15,82314
2016-06-16,82820
2016-06-17,83287
2016-06-18,83287
2016-06-19,85299
2016-06-20,85299
2016-06-21,83032
2016-06-22,83032
2016-06-23,80665
2016-06-24,80665
2016-06-25,81290
2016-06-26,81290
2016-06-27,82541
2016-06-28,82541
2016-06-29,84122
2016-06-30,84122
2016-07-01,85211
2016-07-02,85211
2016-07-03,85019
2016-07-04,86378
2016-07-05,86378
2016-07-06,86906
2016-07-07,86906
2016-07-08,86218
2016-07-09,85996
2016-07-10,85331
2016-07-11,84211
2016-07-12,84211
2016-07-13,83341
2016-07-14,83341
2016-07-15,82380
2016-07-16,82380
2016-07-17,82446
2016-07-18,82525
2016-07-23,82640
2016-07-24,82443
2016-07-25,82443
2016-07-26,82189
2016-07-27,82189
2016-07-28,82281
2016-07-29,82426
2016-07-30,82426
2016-07-31,82486
2016-08-01,82486
2016-08-02,82695
2016-08-03,82695
2016-08-04,83309
2016-08-05,83309
2016-08-06,82784
2016-08-07,82784
2016-08-08,82428
2016-08-09,82783
2016-08-10,82783
2016-08-11,82457
2016-08-12,82457
2016-08-13,82631
2016-08-14,82631
2016-08-15,82334
2016-08-16,82334
2016-08-17,82369
2016-08-18,82369
2016-08-19,82296
2016-08-20,82296
2016-08-21,82399
2016-08-22,82399
2016-08-23,82423
2016-08-24,82423
2016-08-25,82414
2016-08-26,82414
2016-08-28,83348
2016-08-31,84163
2016-09-01,85049
2016-09-02,85049
2016-09-03,85049
2016-09-04,85321
2016-09-05,85321
2016-09-06,84709
2016-09-07,84709
2016-09-08,84709
2016-09-09,82646
2016-09-10,82646
2016-09-11,82859
2016-09-12,82859
2016-09-13,83604
2016-09-14,83604
2016-09-15,83711
2016-09-16,83711
2016-09-17,83009
2016-09-18,80635
2016-09-19,79613
2016-09-20,79613
2016-09-21,79385
2016-09-22,79818
2016-09-23,80707
2016-09-24,80707
2016-09-25,81398
2016-09-26,81398
2016-09-27,81571
2016-09-28,82037
2016-09-29,82037
2016-09-30,81970
2016-10-01,81596
2016-10-02,81596
2016-10-03,81243
2016-10-04,81535
2016-10-05,81535
2016-10-06,79782
2016-10-07,79782
2016-10-08,78960
2016-10-09,78960
2016-10-10,80069
2016-10-11,81471
2016-10-12,81471
2016-10-13,81957
2016-10-14,81832
2016-10-15,82407
2016-10-16,82407
2016-10-17,81745
2016-10-18,81745
2016-10-19,81995
2016-10-20,82020
2016-10-21,81912
2016-10-22,81912
2016-10-23,81831
2016-10-24,81954
2016-10-25,81954
2016-10-26,82008
2016-10-27,82008
2016-10-28,81993
2016-10-29,82268
2016-10-30,82159
2016-10-31,82135
2016-11-01,82135
2016-11-02,81700
2016-11-03,81700
2016-11-04,82295
2016-11-05,82295
2016-11-06,81157
2016-11-07,81157
2016-11-08,81047
2016-11-09,81693
2016-11-10,81643
2016-11-11,81643
2016-11-12,80726
2016-11-13,80726
2016-11-14,81684
2016-12-07,82121
2016-12-08,81655
2016-12-09,81312
2016-12-10,81312
2016-12-11,81366
2016-12-12,81366
2016-12-13,81948
2016-12-14,82664
2016-12-15,82664
2016-12-16,82334
2016-12-17,82445
2016-12-18,82445
2016-12-19,80353
2016-12-20,80347
2016-12-21,80875
2016-12-22,80875
2016-12-23,81466
2016-12-24,81466
2016-12-25,81754
2016-12-26,81852
2016-12-27,81823
2016-12-28,82092
2016-12-29,81875
2016-12-30,82020
2016-12-31,81923
2017-01-01,82146
2017-01-02,81653
2017-01-03,81445
2017-01-04,81873
2017-01-05,81873
2017-01-06,81226
2017-01-07,80037
2017-01-08,81323
2017-01-09,81464
2017-01-10,82105
2017-01-11,81808
2017-01-12,82015
2017-01-13,82015
2017-01-14,81991
2017-01-15,81927
2017-01-16,82113
2017-01-17,81659
2017-01-18,80767
2017-01-19,80767
2017-01-20,80706
2017-01-21,80673
2017-01-22,81495
2017-01-27,81628
2017-01-28,82028
2017-01-29,81756
2017-01-30,81756
2017-01-31,81830
2017-02-01,81956
2017-02-02,82017
2017-02-03,82292
2017-02-04,82029
2017-02-05,81220
2017-02-06,81704
2017-02-07,81952
2017-02-08,82250
2017-02-09,82250
2017-02-10,81508
2017-02-11,81983
2017-02-12,81983
2017-02-13,81580
2017-02-14,81363
2017-02-15,81363
2017-02-16,80285
2017-02-18,81446
2017-02-19,81036
2017-02-20,82001
2017-02-21,82185
2017-02-22,82185
2017-02-23,81698
2017-02-24,81698
2017-02-25,82033
2017-02-26,82444
2017-02-27,81890
2017-02-28,82002
2017-03-01,82844
2017-03-02,83080
2017-03-03,82467
2017-03-04,81919
2017-03-05,82983
2017-03-06,83184
2017-03-07,82457
2017-03-08,82349
2017-03-09,81861
2017-03-10,81033
2017-03-11,81305
2017-03-12,82187
2017-03-13,80946
2017-03-14,81549
2017-03-15,82134
2017-03-16,82235
2017-03-17,81405
2017-03-18,80350
2017-03-19,81258
2017-03-20,80779
2017-03-21,82042
2017-03-22,83052
2017-03-23,82946
2017-03-24,81540
2017-03-25,81540
