date_obj,Snake%20hide%20(swamp) price
2017-01-04,1009
2017-01-05,1009
2017-01-06,975
2017-01-07,975
2017-01-08,975
2017-01-09,975
2017-01-10,975
2017-01-11,975
2017-01-12,975
2017-01-13,975
2017-01-14,975
2017-01-15,975
2017-01-16,975
2017-01-17,975
2017-01-18,975
2017-01-19,955
2017-01-20,955
2017-01-21,955
2017-01-22,955
2017-01-27,955
2017-01-28,955
2017-01-29,955
2017-01-30,955
2017-01-31,955
2017-02-01,955
2017-02-02,955
2017-02-03,955
2017-02-04,940
2017-02-05,940
2017-02-06,940
2017-02-07,940
2017-02-08,940
2017-02-09,940
2017-02-10,940
2017-02-11,940
2017-02-12,940
2017-02-13,940
2017-02-14,940
2017-02-15,940
2017-02-16,940
2017-02-18,940
2017-02-19,898
2017-02-20,898
2017-02-21,898
2017-02-22,898
2017-02-23,898
2017-02-24,898
2017-02-25,898
2017-02-26,898
2017-02-27,898
2017-02-28,898
2017-03-01,898
2017-03-02,898
2017-03-03,898
2017-03-04,898
2017-03-05,898
2017-03-06,887
2017-03-07,887
2017-03-08,887
2017-03-09,887
2017-03-10,887
2017-03-11,887
2017-03-12,887
2017-03-13,887
2017-03-14,887
2017-03-15,887
2017-03-16,887
2017-03-17,887
2017-03-18,887
2017-03-19,887
2017-03-20,887
2017-03-21,887
2017-03-22,874
2017-03-23,874
2017-03-24,874
2017-03-25,874
2017-03-26,874
2017-03-27,874
2017-03-28,874
2017-03-29,874
2017-03-30,874
2017-03-31,874
2017-04-01,874
2017-04-02,874
2017-04-03,874
2017-04-04,874
2017-04-12,835
2017-04-13,835
2017-04-14,835
2017-04-15,835
2017-04-16,835
2017-04-17,835
2017-04-18,835
2017-04-19,835
2017-04-20,835
2017-04-21,835
2017-04-22,835
2017-04-23,835
2017-04-24,835
2017-04-25,819
2017-04-26,819
2017-04-27,819
2017-04-28,819
2017-04-29,819
2017-04-30,819
2017-05-01,819
2017-05-02,819
2017-05-03,819
2017-05-04,819
2017-05-05,819
2017-05-06,819
2017-05-07,819
2017-05-08,819
2017-05-09,819
2017-05-10,819
2017-05-11,819
2017-05-12,819
2017-05-13,819
2017-05-14,810
2017-05-15,810
2017-05-16,810
2017-05-17,810
2017-05-18,810
2017-05-19,810
2017-05-20,810
2017-05-21,810
2017-05-22,810
2017-05-23,810
2017-05-24,810
2017-05-25,810
2017-05-26,810
2017-05-27,810
2017-05-28,810
2017-05-29,810
2017-05-30,810
2017-05-31,810
2017-06-01,810
2017-06-02,786
2017-06-03,786
2017-06-06,786
2017-06-07,786
2017-06-08,786
2017-06-09,786
2017-06-10,786
2017-06-11,786
2017-06-12,786
2017-06-13,786
2017-06-14,786
2017-06-15,786
2017-06-16,786
2017-06-17,786
2017-06-18,786
2017-06-19,786
2017-06-20,755
2017-06-21,755
2017-06-22,755
2017-06-23,755
2017-06-24,755
2017-06-25,755
2017-06-26,755
2017-06-27,755
2017-06-28,755
2017-06-29,755
2017-06-30,755
2017-07-01,755
2017-07-02,755
2017-07-03,755
2017-07-04,755
2017-07-05,755
2017-07-06,755
2017-07-07,755
2017-07-08,720
2017-07-13,720
2017-07-14,720
2017-07-15,720
2017-07-16,720
2017-07-17,720
2017-07-18,720
2017-07-19,720
2017-07-20,720
2017-07-21,720
2017-07-22,720
2017-07-23,720
2017-07-24,720
2017-07-25,708
2017-07-26,708
2017-07-27,708
2017-07-28,708
2017-07-29,708
2017-07-30,708
2017-07-31,708
2017-08-01,708
2017-08-02,708
2017-08-03,708
2017-08-04,708
2017-08-05,708
2017-08-06,708
2017-08-09,708
2017-08-10,708
2017-08-11,711
2017-08-12,711
2017-08-13,711
2017-08-14,711
2017-08-15,711
2017-08-17,711
2017-08-18,711
2017-08-19,711
2017-08-20,711
2017-08-21,711
2017-08-22,711
2017-08-23,711
2017-08-24,711
2017-08-25,711
2017-08-26,711
2017-08-27,711
2017-08-28,711
2017-08-29,721
2017-08-30,721
2017-08-31,721
2017-09-01,721
2017-09-02,721
2017-09-03,721
2017-09-04,721
2017-09-05,721
2017-09-06,721
2017-09-07,721
2017-09-08,721
2017-09-09,721
2017-09-10,721
2017-09-11,721
2017-09-12,721
2017-09-13,721
2017-09-14,722
2017-09-15,722
2017-09-16,722
2017-09-17,722
2017-09-19,722
2017-09-20,722
2017-09-21,722
2017-09-22,722
2017-09-23,722
2017-09-24,722
2017-09-25,722
2017-09-26,722
2017-09-27,722
2017-09-28,722
2017-09-29,722
2017-09-30,722
2017-10-01,722
2017-10-02,690
2017-10-03,690
2017-10-04,690
2017-10-05,690
2017-10-06,690
2017-10-07,690
2017-10-08,690
2017-10-09,690
2017-10-10,690
2017-10-11,690
2017-10-12,690
2017-10-13,690
2017-10-14,690
2017-10-15,690
2017-10-16,690
2017-10-17,690
2017-10-18,690
2017-10-19,690
2017-10-20,656
2017-10-21,656
2017-10-22,656
2017-10-23,656
2017-10-24,656
2017-10-25,656
2017-10-26,656
2017-10-27,656
2017-10-28,656
2017-10-29,656
2017-10-30,656
