date_obj,Green%20d'hide%20body%20(t) price
2015-03-26,10174
2015-03-27,10174
2015-03-28,9905
2015-03-29,9622
2015-03-30,9212
2015-03-31,8835
2015-04-01,8835
2015-04-02,8583
2015-04-03,8301
2015-04-04,8014
2015-04-05,8014
2015-04-06,7722
2015-04-07,7662
2015-04-08,7662
2015-04-09,7414
2015-04-10,7414
2015-04-11,7411
2015-04-12,7411
2015-04-13,7226
2015-04-14,7226
2015-04-15,6991
2015-04-16,6991
2015-04-17,6893
2015-04-18,6893
2015-04-19,6705
2015-04-20,6705
2015-04-21,6522
2015-04-22,6522
2015-04-23,6369
2015-04-24,6369
2015-04-25,6176
2015-04-26,6176
2015-04-27,6083
2015-04-28,6057
2015-04-29,6057
2015-04-30,5754
2015-05-01,5570
2015-05-02,5395
2015-05-03,5395
2015-05-04,5275
2015-05-05,5275
2015-05-06,5192
2015-05-07,5192
2015-05-08,5034
2015-05-09,5034
2015-05-10,4895
2015-05-11,4895
2015-05-12,4953
2015-05-13,4953
2015-05-14,4914
2015-05-15,4914
2015-05-16,4994
2015-05-17,5080
2015-05-18,5080
2015-05-19,5094
2015-05-20,5094
2015-05-21,5094
2015-05-22,5056
2015-05-23,5056
2015-05-24,4912
2015-05-25,4894
2015-05-26,4894
2015-05-27,4741
2015-05-28,4741
2015-05-29,4719
2015-05-30,4596
2015-05-31,4596
2015-06-01,4511
2015-06-02,4511
2015-06-03,4436
2015-06-04,4436
2015-06-05,4428
2015-06-06,4554
2015-06-07,4554
2015-06-08,4659
2015-06-09,4659
2015-06-10,4836
2015-06-11,4836
2015-06-12,4982
2015-06-13,5192
2015-06-14,5192
2015-06-15,5023
2015-06-16,5023
2015-06-17,4932
2015-06-18,4906
2015-06-19,4906
2015-06-20,4787
2015-06-21,4787
2015-06-22,4857
2015-06-23,4857
2015-06-24,4826
2015-06-25,4826
2015-06-26,4823
2015-06-27,4823
2015-06-28,4820
2015-06-29,4820
2015-06-30,4878
2015-07-01,4878
2015-07-02,4996
2015-07-03,5216
2015-07-04,5216
2015-07-05,5401
2015-07-06,5401
2015-07-07,5552
2015-07-08,5552
2015-07-09,5653
2015-07-10,5653
2015-07-11,5503
2015-07-12,5503
2015-07-13,5423
2015-07-14,5423
2015-07-15,5345
2015-07-16,5345
2015-07-17,5186
2015-07-18,5186
2015-07-19,5247
2015-07-20,5247
2015-07-21,5282
2015-07-22,5366
2015-07-23,5366
2015-07-24,5330
2015-07-25,5330
2015-07-26,5242
2015-07-27,5242
2015-07-28,5298
2015-07-29,5402
2015-07-30,5402
2015-07-31,5487
2015-08-01,5487
2015-08-02,5530
2015-08-03,5530
2015-08-04,5610
2015-08-05,5610
2015-08-06,5819
2015-08-07,5819
2015-08-08,6008
2015-08-09,6008
2015-08-10,6103
2015-08-11,6103
2015-08-12,6226
2015-08-13,6226
2015-08-14,6195
2015-08-15,6195
2015-08-16,6092
2015-08-17,6092
2015-08-18,6011
2015-08-19,6001
2015-08-20,6001
2015-08-21,5829
2015-08-22,5829
2015-08-23,5842
2015-08-24,5987
2015-08-25,5987
2015-08-26,6033
2015-08-27,6096
2015-08-28,6096
2015-08-29,6273
2015-08-30,6273
2015-08-31,6137
2015-09-01,6137
2015-09-02,6219
2015-09-03,6219
2015-09-04,6114
2015-09-05,6114
2015-09-06,5920
2015-09-07,5920
2015-09-08,5762
2015-09-09,5762
2015-09-10,5678
2015-09-11,5678
2015-09-12,5572
2015-09-13,5572
2015-09-14,5517
2015-09-15,5517
2015-09-16,5432
2015-09-17,5432
2015-09-18,5392
2015-09-19,5392
2015-09-20,5400
2015-09-21,5400
2015-09-22,5389
2015-09-23,5389
2015-09-24,5372
2015-09-25,5372
2015-09-27,5439
2015-09-28,5688
2015-09-29,5688
2015-09-30,5956
2015-10-05,6163
2015-10-06,6163
2015-10-07,6295
2015-10-08,6295
2015-10-09,6278
2015-10-10,6278
2015-10-11,6190
2015-10-12,6190
2015-10-13,6172
2015-10-14,6172
2015-10-15,6321
2015-10-16,6321
2015-10-17,6321
2015-10-18,6525
2015-10-19,6724
2015-10-20,6724
2015-10-22,6917
2015-10-23,6946
2015-10-24,6946
2015-10-25,6935
2015-10-26,6935
2015-10-27,7108
2015-10-29,7062
2015-10-30,7062
2015-10-31,7015
2015-11-01,7015
2015-11-02,6924
2015-11-03,6924
2015-11-04,7031
2015-11-05,7031
2015-11-06,7111
2015-11-07,7028
2015-11-08,7028
2015-11-09,7028
2015-11-10,6979
2015-11-11,6979
2015-11-12,6847
2015-11-13,6847
2015-11-14,6858
2015-11-15,6858
2015-11-16,7064
2015-11-17,7064
2015-11-18,7065
2015-11-19,7065
2015-11-20,7394
2015-11-21,7394
2015-11-22,7744
2015-11-23,7744
2015-11-24,7744
2015-11-25,8132
2015-11-26,8132
2015-11-27,8509
2015-11-28,8509
2015-11-29,8857
2015-11-30,8857
2015-12-01,9130
2015-12-02,9130
2015-12-03,9178
2015-12-04,9178
2015-12-05,9178
2015-12-06,9279
2015-12-07,9279
2015-12-08,9279
2015-12-09,9313
2015-12-10,9313
2015-12-11,9332
2015-12-12,9332
2015-12-13,9183
2015-12-14,9183
2015-12-15,9081
2015-12-16,9081
2015-12-17,8919
2015-12-18,8919
2015-12-19,8804
2015-12-20,8804
2015-12-21,8628
2015-12-22,8628
2015-12-23,8371
2015-12-24,8371
2015-12-25,8453
2015-12-26,8453
2015-12-27,8456
2015-12-28,8456
2015-12-29,8137
2015-12-30,8137
2015-12-31,7981
2016-01-01,7981
2016-01-02,8034
2016-01-03,7968
2016-01-04,7968
2016-01-05,7827
2016-01-06,7827
2016-01-07,7641
2016-01-08,7641
2016-01-09,7398
2016-01-10,7398
2016-01-11,7194
2016-01-12,7377
2016-01-13,7377
2016-01-14,7168
2016-01-15,7168
2016-01-16,7042
2016-01-17,7042
2016-01-18,7033
2016-01-19,7033
2016-01-20,6921
