date_obj,Graahk%20legs price
2015-03-26,35801
2015-03-27,35801
2015-03-28,35801
2015-03-29,35801
2015-03-30,35801
2015-03-31,35801
2015-04-01,35801
2015-04-02,35801
2015-04-03,35801
2015-04-04,35801
2015-04-05,35801
2015-04-06,35801
2015-04-07,35801
2015-04-08,35801
2015-04-09,35801
2015-04-10,35801
2015-04-11,35801
2015-04-12,35801
2015-04-13,35801
2015-04-14,35801
2015-04-15,35801
2015-04-16,35801
2015-04-17,35801
2015-04-18,35801
2015-04-19,34061
2015-04-20,34061
2015-04-21,34061
2015-04-22,34061
2015-04-23,34061
2015-04-24,34061
2015-04-25,34061
2015-04-26,34061
2015-04-27,34061
2015-04-28,34061
2015-04-29,34061
2015-04-30,34061
2015-05-01,34061
2015-05-02,34061
2015-05-03,34061
2015-05-04,34061
2015-05-05,34061
2015-05-06,34061
2015-05-07,34061
2015-05-08,34061
2015-05-09,34061
2015-05-10,34061
2015-05-11,34061
2015-05-12,34061
2015-05-13,34061
2015-05-14,34061
2015-05-15,34061
2015-05-16,34061
2015-05-17,34061
2015-05-18,34061
2015-05-19,34061
2015-05-20,34061
2015-05-21,34061
2015-05-22,34061
2015-05-23,34061
2015-05-24,34061
2015-05-25,32414
2015-05-26,32414
2015-05-27,32414
2015-05-28,32414
2015-05-29,32414
2015-05-30,32414
2015-05-31,32414
2015-06-01,32414
2015-06-02,32414
2015-06-03,32414
2015-06-04,32414
2015-06-05,32414
2015-06-06,32414
2015-06-07,32414
2015-06-08,32414
2015-06-09,32414
2015-06-10,32414
2015-06-11,32414
2015-06-12,32414
2015-06-13,32414
2015-06-14,32414
2015-06-15,32414
2015-06-16,32414
2015-06-17,32414
2015-06-18,32414
2015-06-19,32414
2015-06-20,32414
2015-06-21,32414
2015-06-22,30914
2015-06-23,30914
2015-06-24,30914
2015-06-25,30914
2015-06-26,30914
2015-06-27,30914
2015-06-28,30914
2015-06-29,30914
2015-06-30,30914
2015-07-01,30914
2015-07-02,30914
2015-07-03,30914
2015-07-04,30914
2015-07-05,30914
2015-07-06,30914
2015-07-07,30914
2015-07-08,30914
2015-07-09,30914
2015-07-10,30914
2015-07-11,30914
2015-07-12,30914
2015-07-13,30914
2015-07-14,30914
2015-07-15,30914
2015-07-16,30914
2015-07-17,30914
2015-07-18,30914
2015-07-19,30914
2015-07-20,30914
2015-07-21,29448
2015-07-22,29448
2015-07-23,29448
2015-07-24,29448
2015-07-25,29448
2015-07-26,29448
2015-07-27,29448
2015-07-28,29448
2015-07-29,29448
2015-07-30,29448
2015-07-31,29448
2015-08-01,29448
2015-08-02,29448
2015-08-03,29448
2015-08-04,29448
2015-08-05,29448
2015-08-06,29448
2015-08-07,29448
2015-08-08,29448
2015-08-09,29448
2015-08-10,29448
2015-08-11,29448
2015-08-12,29448
2015-08-13,29448
2015-08-14,29448
2015-08-15,28027
2015-08-16,28027
2015-08-17,28027
2015-08-18,28027
2015-08-19,28027
2015-08-20,28027
2015-08-21,28027
2015-08-22,28027
2015-08-23,28027
2015-08-24,28027
2015-08-25,28027
2015-08-26,28027
2015-08-27,28027
2015-08-28,28027
2015-08-29,28027
2015-08-30,28027
2015-08-31,28027
2015-09-01,28027
2015-09-02,28027
2015-09-03,28027
2015-09-04,28027
2015-09-05,28027
2015-09-06,28027
2015-09-07,28027
2015-09-08,28027
2015-09-09,28027
2015-09-10,28027
2015-09-11,28027
2015-09-12,28027
2015-09-13,26682
2015-09-14,26682
2015-09-15,26682
2015-09-16,26682
2015-09-17,26682
2015-09-18,26682
2015-09-19,26682
2015-09-20,26682
2015-09-21,26682
2015-09-22,26682
2015-09-23,26682
2015-09-24,26682
2015-09-25,26682
2015-09-27,26682
2015-09-28,26682
2015-09-29,26682
2015-09-30,26682
2015-10-05,26682
2015-10-06,26682
2015-10-07,26682
2015-10-08,26682
2015-10-09,26682
2015-10-10,26682
2015-10-11,26682
2015-10-12,26682
2015-10-13,26682
2015-10-14,25418
2015-10-15,25418
2015-10-16,25418
2015-10-17,25418
2015-10-18,25418
2015-10-19,25418
2015-10-20,25418
2015-10-22,25418
2015-10-23,25418
2015-10-24,25418
2015-10-25,25418
2015-10-26,25418
2015-10-27,25418
2015-10-29,25418
2015-10-30,25418
2015-10-31,25418
2015-11-01,25418
2015-11-02,25418
2015-11-03,25418
2015-11-04,25418
2015-11-05,25418
2015-11-06,25418
2015-11-07,25418
2015-11-08,25418
2015-11-09,25418
2015-11-10,25418
2015-11-11,25418
2015-11-12,25418
2015-11-13,24200
2015-11-14,24200
2015-11-15,24200
2015-11-16,24200
2015-11-17,24200
2015-11-18,24200
2015-11-19,24200
2015-11-20,24200
2015-11-21,24200
2015-11-22,24200
2015-11-23,24200
2015-11-24,24200
2015-11-25,24200
2015-11-26,24200
2015-11-27,24200
2015-11-28,24200
2015-11-29,24200
2015-11-30,24200
2015-12-01,24200
2015-12-02,24200
2015-12-03,24200
2015-12-04,24200
2015-12-05,24200
2015-12-06,24200
2015-12-07,24200
2015-12-08,24200
2015-12-09,23083
2015-12-10,23083
2015-12-11,23083
2015-12-12,23083
2015-12-13,23083
2015-12-14,23083
2015-12-15,23083
2015-12-16,23083
2015-12-17,23083
2015-12-18,23083
2015-12-19,23083
2015-12-20,23083
2015-12-21,23083
2015-12-22,23083
2015-12-23,23083
2015-12-24,23083
2015-12-25,23083
2015-12-26,23083
2015-12-27,23083
2015-12-28,23083
2015-12-29,23083
2015-12-30,23083
2015-12-31,23083
2016-01-01,22003
2016-01-02,22003
2016-01-03,22003
2016-01-04,22003
2016-01-05,22003
2016-01-06,22003
2016-01-07,22003
2016-01-08,22003
2016-01-09,22003
2016-01-10,22003
2016-01-11,22003
2016-01-12,22003
2016-01-13,22003
2016-01-14,22003
2016-01-15,22003
2016-01-16,22003
2016-01-17,22003
2016-01-18,22003
2016-01-19,22003
2016-01-20,22003
2016-01-21,22003
2016-01-22,22003
2016-01-23,22003
2016-01-24,21005
2016-01-25,21005
2016-01-26,21005
2016-01-27,21005
2016-01-28,21005
2016-01-29,21005
2016-01-30,21005
2016-01-31,21005
2016-02-01,21005
2016-02-02,21005
2016-02-03,21005
2016-02-04,21005
2016-02-05,21005
2016-02-06,21005
2016-02-07,21005
2016-02-08,21005
2016-02-09,21005
2016-02-10,21005
2016-02-11,21005
2016-02-12,21005
2016-02-13,21005
2016-02-14,21005
2016-02-15,21005
2016-02-16,21005
2016-02-17,20038
2016-02-18,20038
2016-02-19,20038
2016-02-20,20038
2016-02-21,20038
2016-02-22,20038
2016-02-23,20038
2016-02-24,20038
2016-02-25,20038
2016-02-26,20038
2016-02-27,20038
2016-02-28,20038
2016-02-29,20038
2016-03-01,20038
2016-03-02,20038
2016-03-03,20038
2016-03-04,20038
2016-03-05,20038
2016-03-06,20038
2016-03-07,20038
2016-03-08,20038
2016-03-09,19063
2016-03-10,19063
2016-03-11,19063
2016-03-12,19063
2016-03-13,19063
2016-03-14,19063
2016-03-15,19063
2016-03-16,19063
2016-03-17,19063
2016-03-18,19063
2016-03-19,19063
2016-03-20,19063
2016-03-21,19063
2016-03-22,19063
2016-03-23,19063
2016-03-24,19063
2016-03-25,19063
2016-03-26,19063
2016-03-27,19063
2016-03-28,19063
2016-03-29,18117
2016-03-30,18117
2016-03-31,18117
2016-04-01,18117
2016-04-02,18117
2016-04-03,18117
2016-04-04,18117
2016-04-05,18117
2016-04-06,18117
2016-04-07,18117
2016-04-08,18117
2016-04-09,18117
2016-04-10,18117
2016-04-11,18117
2016-04-12,18117
2016-04-13,18117
2016-04-14,18117
2016-04-15,18117
2016-04-16,18117
2016-04-17,18117
2016-04-18,17248
2016-04-19,17248
2016-04-20,17248
2016-04-21,17248
2016-04-22,17248
2016-04-23,17248
