date_obj,Stone%20seal price
2015-03-26,776
2015-03-27,776
2015-03-28,776
2015-03-29,776
2015-03-30,776
2015-03-31,738
2015-04-01,738
2015-04-02,738
2015-04-03,738
2015-04-04,738
2015-04-05,738
2015-04-06,738
2015-04-07,738
2015-04-08,703
2015-04-09,703
2015-04-10,703
2015-04-11,703
2015-04-12,703
2015-04-13,703
2015-04-14,703
2015-04-15,703
2015-04-16,668
2015-04-17,668
2015-04-18,668
2015-04-19,668
2015-04-20,668
2015-04-21,668
2015-04-22,668
2015-04-23,668
2015-04-24,635
2015-04-25,635
2015-04-26,635
2015-04-27,635
2015-04-28,635
2015-04-29,635
2015-04-30,635
2015-05-01,604
2015-05-02,604
2015-05-03,604
2015-05-04,604
2015-05-05,604
2015-05-06,604
2015-05-07,604
2015-05-08,574
2015-05-09,574
2015-05-10,574
2015-05-11,574
2015-05-12,574
2015-05-13,574
2015-05-14,546
2015-05-15,546
2015-05-16,546
2015-05-17,546
2015-05-18,546
2015-05-19,546
2015-05-20,546
2015-05-21,519
2015-05-22,519
2015-05-23,519
2015-05-24,519
2015-05-25,519
2015-05-26,519
2015-05-27,495
2015-05-28,495
2015-05-29,495
2015-05-30,495
2015-05-31,471
2015-06-01,471
2015-06-02,471
2015-06-03,471
2015-06-04,471
2015-06-05,449
2015-06-06,449
2015-06-07,449
2015-06-08,449
2015-06-09,449
2015-06-10,429
2015-06-11,429
2015-06-12,429
2015-06-13,429
2015-06-14,429
2015-06-15,408
2015-06-16,408
2015-06-17,408
2015-06-18,408
2015-06-19,408
2015-06-20,388
2015-06-21,388
2015-06-22,388
2015-06-23,388
2015-06-24,388
2015-06-25,369
2015-06-26,369
2015-06-27,369
2015-06-28,369
2015-06-29,369
2015-06-30,369
2015-07-01,351
2015-07-02,351
2015-07-03,351
2015-07-04,351
2015-07-05,351
2015-07-06,351
2015-07-07,334
2015-07-08,334
2015-07-09,334
2015-07-10,334
2015-07-11,334
2015-07-12,319
2015-07-13,319
2015-07-14,319
2015-07-15,319
2015-07-16,319
2015-07-17,304
2015-07-18,304
2015-07-19,304
2015-07-20,304
2015-07-21,304
2015-07-22,290
2015-07-23,290
2015-07-24,290
2015-07-25,290
2015-07-26,290
2015-07-27,277
2015-07-28,277
2015-07-29,277
2015-07-30,277
2015-07-31,277
2015-08-01,264
2015-08-02,264
2015-08-03,264
2015-08-04,264
2015-08-05,251
2015-08-06,251
2015-08-07,251
2015-08-08,251
2015-08-09,240
2015-08-10,240
2015-08-11,240
2015-08-12,240
2015-08-13,229
2015-08-14,229
2015-08-15,229
2015-08-16,229
2015-08-17,218
2015-08-18,218
2015-08-19,218
2015-08-20,218
2015-08-21,218
2015-08-22,208
2015-08-23,208
2015-08-24,208
2015-08-25,208
2015-08-26,208
2015-08-27,197
2015-08-28,197
2015-08-29,197
2015-08-30,197
2015-08-31,197
2015-09-01,188
2015-09-02,188
2015-09-03,188
2015-09-04,188
2015-09-05,188
2015-09-06,188
2015-09-07,181
2015-09-08,181
2015-09-09,181
2015-09-10,181
2015-09-11,181
2015-09-12,173
2015-09-13,173
2015-09-14,173
2015-09-15,173
2015-09-16,173
2015-09-17,168
2015-09-18,168
2015-09-19,168
2015-09-20,168
2015-09-21,168
2015-09-22,168
2015-09-23,166
2015-09-24,166
2015-09-25,166
2015-09-27,166
2015-09-28,166
2015-09-29,166
2015-09-30,165
2015-10-05,165
2015-10-06,165
2015-10-07,157
2015-10-08,157
2015-10-09,157
2015-10-10,157
2015-10-11,157
2015-10-12,157
2015-10-13,150
2015-10-14,150
2015-10-15,150
2015-10-16,150
2015-10-17,150
2015-10-18,145
2015-10-19,145
2015-10-20,145
2015-10-22,145
2015-10-23,138
2015-10-24,138
2015-10-25,138
2015-10-26,138
2015-10-27,138
2015-10-29,136
2015-10-30,136
2015-10-31,136
2015-11-01,136
2015-11-02,136
2015-11-03,136
2015-11-04,136
2015-11-05,136
2015-11-06,136
2015-11-07,136
2015-11-08,136
2015-11-09,140
2015-11-10,140
2015-11-11,140
2015-11-12,140
2015-11-13,140
2015-11-14,140
2015-11-15,140
2015-11-16,142
2015-11-17,142
2015-11-18,142
2015-11-19,142
2015-11-20,142
2015-11-21,142
2015-11-22,140
2015-11-23,140
2015-11-24,140
2015-11-25,140
2015-11-26,140
2015-11-27,140
2015-11-28,140
2015-11-29,142
2015-11-30,142
2015-12-01,142
2015-12-02,142
2015-12-03,142
2015-12-04,142
2015-12-05,142
2015-12-06,142
2015-12-07,142
2015-12-08,142
2015-12-09,142
2015-12-10,142
2015-12-11,142
2015-12-13,140
2015-12-14,140
2015-12-15,140
2015-12-16,140
2015-12-17,140
2015-12-18,141
