date_obj,Justiciar%20faceguard price
2018-06-06,100000000
2018-06-07,103019608
2018-06-08,103019608
2018-06-09,103019608
2018-06-10,106863215
2018-06-11,106863215
2018-06-12,111791169
2018-06-13,117026149
2018-06-14,122455951
2018-06-15,128002141
2018-06-16,134171744
2018-06-17,140114484
2018-06-18,133458309
2018-06-19,126800834
2018-06-20,126800834
2018-06-21,120468465
2018-06-22,114445041
2018-06-23,114445041
2018-06-24,108722788
2018-06-25,103286648
2018-06-26,103286648
2018-06-27,98610981
2018-06-28,93680431
2018-06-29,88996409
2018-06-30,84546588
2018-07-01,80319258
2018-07-02,76425781
2018-07-03,72604491
2018-07-04,68975131
2018-07-05,68975131
2018-07-06,68282977
2018-07-07,71483786
2018-07-08,72754491
2018-07-09,73981318
2018-07-10,76627285
2018-07-11,80446316
2018-07-12,83074693
2018-07-13,79293417
2018-07-14,75346295
2018-07-15,73163106
2018-07-16,71590566
2018-07-17,69455687
2018-07-18,66596600
2018-07-19,67549141
2018-07-20,69143801
2018-07-21,69595534
2018-07-22,68557320
2018-07-23,70919062
2018-07-24,69282439
2018-07-25,66021724
2018-07-26,62739532
2018-07-27,60086137
2018-07-28,61365514
2018-07-29,63708918
2018-07-30,65144227
2018-07-31,68297074
2018-08-01,68297074
2018-08-02,71166416
2018-08-03,69484891
2018-08-04,70749106
2018-08-05,72305592
2018-08-06,72143854
2018-08-07,71705094
2018-08-08,68891096
2018-08-09,65659324
2018-08-10,62376357
2018-08-11,62163740
2018-08-12,61369467
2018-08-14,55394293
2018-08-16,49993349
2018-08-17,50088911
2018-08-18,50898332
2018-08-19,50799140
2018-08-20,52230105
2018-08-21,54684350
2018-08-22,55492122
2018-08-23,55308677
2018-08-24,53031075
2018-08-25,50451340
2018-08-26,48159750
2018-08-27,46668223
2018-08-28,48155768
2018-08-29,46236995
2018-08-30,45489491
2018-08-31,46233853
2018-09-01,45725913
2018-09-02,45317171
2018-09-03,44718292
2018-09-04,42683156
2018-09-05,40747460
2018-09-06,40747460
2018-09-07,41394827
2018-09-08,41338284
2018-09-09,39662754
2018-09-10,37763766
2018-09-11,35875577
2018-09-12,34151520
2018-09-13,34373861
2018-09-14,35555727
2018-09-15,37286712
2018-09-16,38306207
2018-09-17,36983323
2018-09-18,35186687
2018-09-19,34497579
2018-09-20,33585019
2018-09-21,34520340
2018-09-22,35503827
2018-09-23,36659649
2018-09-24,37529469
2018-09-25,38096754
2018-09-26,37810266
2018-09-27,37577189
2018-09-28,36777366
2018-09-29,36293950
2018-09-30,36342505
2018-10-02,37968094
2018-10-03,39775185
2018-10-04,41483862
2018-10-05,42042299
2018-10-06,41840485
2018-10-07,40828593
2018-10-08,40293061
2018-10-09,38777384
2018-10-10,37796970
2018-10-11,37774609
2018-10-12,37343716
2018-10-13,37236893
2018-10-14,36668653
