date_obj,Magic%20shortbow%20scroll price
2015-03-26,37321
2015-03-27,37321
2015-03-28,36216
2015-03-29,36216
2015-03-30,36216
2015-03-31,35151
2015-04-01,35151
2015-04-02,35151
2015-04-03,34266
2015-04-04,34266
2015-04-05,34266
2015-04-06,32552
2015-04-07,32552
2015-04-08,32552
2015-04-09,31112
2015-04-10,31112
2015-04-11,31112
2015-04-12,30791
2015-04-13,30791
2015-04-14,30791
2015-04-15,30572
2015-04-16,30572
2015-04-17,30572
2015-04-18,29678
2015-04-19,29678
2015-04-20,29678
2015-04-21,29766
2015-04-22,29766
2015-04-23,29766
2015-04-24,30040
2015-04-25,30040
2015-04-26,30040
2015-04-27,30204
2015-04-28,30204
2015-04-29,30204
2015-04-30,28712
2015-05-01,28712
2015-05-02,28712
2015-05-03,27276
2015-05-04,27276
2015-05-05,27276
2015-05-06,27350
2015-05-07,27350
2015-05-08,27350
2015-05-09,27567
2015-05-10,27567
2015-05-11,27567
2015-05-12,28776
2015-05-13,28776
2015-05-14,28776
2015-05-15,28776
2015-05-16,29945
2015-05-17,29945
2015-05-18,30617
2015-05-19,30617
2015-05-20,30617
2015-05-21,30617
2015-05-22,29209
2015-05-23,29209
2015-05-24,29209
2015-05-25,28498
2015-05-26,28498
2015-05-27,28498
2015-05-28,29639
2015-05-29,29639
2015-05-30,28665
2015-05-31,28665
2015-06-01,28139
2015-06-02,28139
2015-06-03,28139
2015-06-04,29029
2015-06-05,29029
2015-06-06,29121
2015-06-07,29121
2015-06-08,29121
2015-06-09,28121
2015-06-10,28121
2015-06-11,28036
2015-06-12,28036
2015-06-13,27120
2015-06-14,27120
2015-06-15,27120
2015-06-16,26327
2015-06-17,26327
2015-06-18,25947
2015-06-19,25947
2015-06-20,26717
2015-06-21,26717
2015-06-22,27737
2015-06-23,27737
2015-06-24,27945
2015-06-25,27945
2015-06-26,28299
2015-06-27,28299
2015-06-28,28133
2015-06-29,28133
2015-06-30,28622
2015-07-01,28622
2015-07-02,28713
2015-07-03,28713
2015-07-04,28087
2015-07-05,28087
2015-07-06,28087
2015-07-07,27478
2015-07-08,27478
2015-07-09,27478
2015-07-10,27332
2015-07-11,27332
2015-07-12,27332
2015-07-13,27862
2015-07-14,27862
2015-07-15,27234
2015-07-16,27234
2015-07-17,28057
2015-07-18,28057
2015-07-19,28057
2015-07-20,28927
2015-07-21,28927
2015-07-22,27626
2015-07-23,27626
2015-07-24,26569
2015-07-25,26569
2015-07-26,26569
2015-07-27,27117
2015-07-28,27117
2015-07-29,27815
2015-07-30,27815
2015-07-31,27815
2015-08-01,28475
2015-08-02,28475
2015-08-03,29443
2015-08-04,29443
2015-08-05,30136
2015-08-06,30136
2015-08-07,30136
2015-08-08,29258
2015-08-09,29258
2015-08-10,29587
2015-08-11,29587
2015-08-12,29587
2015-08-13,30303
2015-08-14,30303
2015-08-15,30134
2015-08-16,30134
2015-08-17,30568
2015-08-18,30568
2015-08-19,29669
2015-08-20,29669
2015-08-21,28849
2015-08-22,28849
2015-08-23,28823
2015-08-24,28823
2015-08-25,28823
2015-08-26,29246
2015-08-27,29246
2015-08-28,29035
2015-08-29,29035
2015-08-30,29035
2015-08-31,29248
2015-09-01,29248
2015-09-02,29248
