date_obj,Bob's%20black%20shirt price
2016-02-14,6598
2016-02-15,6598
2016-02-16,6598
2016-02-17,6598
2016-02-18,6598
2016-02-19,6488
2016-02-20,6488
2016-02-21,6488
2016-02-22,6488
2016-02-23,6794
2016-02-24,6794
2016-02-25,6794
2016-02-26,6794
2016-02-27,6794
2016-02-28,6935
2016-02-29,6935
2016-03-01,6935
2016-03-02,6935
2016-03-03,6935
2016-03-04,6935
2016-03-05,6751
2016-03-06,6751
2016-03-07,6751
2016-03-08,6751
2016-03-09,6751
2016-03-10,6606
2016-03-11,6606
2016-03-12,6606
2016-03-13,6606
2016-03-14,6606
2016-03-15,6606
2016-03-16,6738
2016-03-17,6738
2016-03-18,6738
2016-03-19,6738
2016-03-20,6738
2016-03-21,6738
2016-03-22,6461
2016-03-23,6461
2016-03-24,6461
2016-03-25,6461
2016-03-26,6225
2016-03-27,6225
2016-03-28,6225
2016-03-29,6225
2016-03-30,6225
2016-03-31,6225
2016-04-01,6342
2016-04-02,6342
2016-04-03,6342
2016-04-04,6342
2016-04-05,6342
2016-04-06,6043
2016-04-07,6043
2016-04-08,6043
2016-04-09,6043
2016-04-10,5778
2016-04-11,5778
2016-04-12,5778
2016-04-13,5778
2016-04-14,5778
2016-04-15,5541
2016-04-16,5541
2016-04-17,5541
2016-04-18,5541
2016-04-19,5541
2016-04-20,5366
2016-04-21,5366
2016-04-22,5366
2016-04-23,5366
2016-04-24,5366
2016-04-25,5291
2016-04-26,5291
2016-04-27,5291
2016-04-28,5291
2016-04-29,5174
2016-04-30,5174
2016-05-01,5174
2016-05-02,5174
2016-05-03,5343
2016-05-04,5343
2016-05-05,5343
2016-05-06,5343
2016-05-07,5593
2016-05-08,5593
2016-05-09,5593
2016-05-10,5593
2016-05-11,5593
2016-05-12,5819
2016-05-13,5819
2016-05-14,5819
2016-05-15,5819
2016-05-16,5819
2016-05-17,5687
2016-05-18,5687
2016-05-19,5687
2016-05-22,5621
2016-05-23,5621
2016-05-24,5621
2016-05-25,5621
2016-05-26,5621
2016-05-27,5792
2016-05-28,5792
2016-05-29,5792
2016-05-30,5792
2016-05-31,5792
2016-06-01,5747
2016-06-02,5747
2016-06-03,5747
2016-06-04,5747
2016-06-05,5747
2016-06-06,5599
2016-06-07,5599
2016-06-08,5599
2016-06-09,5599
2016-06-10,5505
2016-06-11,5505
2016-06-12,5505
2016-06-13,5505
2016-06-14,5505
2016-06-15,5339
2016-06-16,5339
2016-06-17,5339
2016-06-18,5339
2016-06-19,5339
2016-06-20,5163
2016-06-21,5163
2016-06-22,5163
2016-06-23,5163
2016-06-24,4917
2016-06-25,4917
2016-06-26,4917
2016-06-27,4917
2016-06-28,4917
2016-06-29,4687
2016-06-30,4687
2016-07-01,4687
2016-07-02,4687
2016-07-03,4687
2016-07-04,4529
2016-07-05,4529
2016-07-06,4529
2016-07-07,4387
2016-07-08,4387
2016-07-09,4199
2016-07-10,4199
2016-07-11,3999
2016-07-12,3999
2016-07-13,3999
2016-07-14,3809
2016-07-15,3809
2016-07-16,3809
2016-07-17,3809
2016-07-18,3640
2016-07-23,3583
2016-07-24,3583
2016-07-25,3583
2016-07-26,3509
2016-07-27,3509
2016-07-28,3509
2016-07-29,3376
2016-07-30,3376
2016-07-31,3376
2016-08-01,3376
2016-08-02,3376
2016-08-03,3227
2016-08-04,3227
2016-08-05,3227
2016-08-06,3227
2016-08-07,3075
2016-08-08,3075
2016-08-09,3075
2016-08-10,3075
2016-08-11,2953
2016-08-12,2953
2016-08-13,2953
2016-08-14,2953
2016-08-15,2953
2016-08-16,2975
2016-08-17,2975
2016-08-18,2975
2016-08-19,2975
2016-08-20,2975
2016-08-21,2975
2016-08-22,2862
2016-08-23,2862
2016-08-24,2862
2016-08-25,2862
2016-08-26,2862
2016-08-28,2724
2016-08-31,2724
2016-09-01,2665
2016-09-02,2665
2016-09-03,2665
2016-09-04,2665
2016-09-05,2665
2016-09-06,2665
2016-09-07,2600
2016-09-08,2600
2016-09-09,2600
2016-09-10,2600
2016-09-11,2600
2016-09-12,2600
2016-09-13,2556
2016-09-14,2556
2016-09-15,2556
2016-09-16,2556
2016-09-17,2556
2016-09-18,2556
2016-09-19,2494
2016-09-20,2494
2016-09-21,2494
2016-09-22,2494
2016-09-23,2494
2016-09-24,2494
2016-09-25,2494
2016-09-26,2494
2016-09-27,2494
2016-09-28,2494
2016-09-29,2494
2016-09-30,2494
2016-10-01,2494
2016-10-02,2494
2016-10-03,2413
2016-10-04,2413
2016-10-05,2413
2016-10-06,2413
2016-10-07,2413
2016-10-08,2413
2016-10-09,2413
2016-10-10,2376
2016-10-11,2376
2016-10-12,2376
2016-10-13,2376
2016-10-14,2376
2016-10-15,2376
2016-10-16,2376
2016-10-17,2385
2016-10-18,2385
2016-10-19,2385
2016-10-20,2385
2016-10-21,2385
2016-10-22,2385
2016-10-23,2477
2016-10-24,2477
2016-10-25,2477
2016-10-26,2477
2016-10-27,2477
2016-10-28,2477
2016-10-29,2465
2016-10-30,2465
2016-10-31,2465
2016-11-01,2465
2016-11-02,2509
2016-11-03,2630
2016-11-04,2760
2016-11-05,2760
2016-11-06,2895
2016-11-07,3035
