date_obj,Purple%20sweets price
2015-03-26,2680
2015-03-27,2674
2015-03-28,2635
2015-03-29,2506
2015-03-30,2402
2015-03-31,2319
2015-04-01,2284
2015-04-02,2268
2015-04-03,2215
2015-04-04,2196
2015-04-05,2136
2015-04-06,2056
2015-04-07,2070
2015-04-08,2033
2015-04-09,2098
2015-04-10,2203
2015-04-11,2254
2015-04-12,2216
2015-04-13,2141
2015-04-14,2094
2015-04-15,2079
2015-04-16,2085
2015-04-17,2080
2015-04-18,2073
2015-04-19,2081
2015-04-20,2072
2015-04-21,2068
2015-04-22,2104
2015-04-23,2163
2015-04-24,2266
2015-04-25,2299
2015-04-26,2306
2015-04-27,2312
2015-04-28,2379
2015-04-29,2400
2015-04-30,2391
2015-05-01,2419
2015-05-02,2347
2015-05-03,2358
2015-05-04,2318
2015-05-05,2286
2015-05-06,2262
2015-05-07,2281
2015-05-08,2377
2015-05-09,2367
2015-05-10,2383
2015-05-11,2389
2015-05-12,2378
2015-05-13,2353
2015-05-14,2358
2015-05-15,2382
2015-05-16,2387
2015-05-17,2387
2015-05-18,2400
2015-05-19,2429
2015-05-20,2427
2015-05-21,2429
2015-05-22,2406
2015-05-23,2371
2015-05-24,2358
2015-05-25,2290
2015-05-26,2211
2015-05-27,2129
2015-05-28,2173
2015-05-29,2219
2015-05-30,2216
2015-05-31,2155
2015-06-01,2157
2015-06-02,2155
2015-06-03,2131
2015-06-04,2130
2015-06-05,2133
2015-06-06,2089
2015-06-07,2071
2015-06-08,2053
2015-06-09,2055
2015-06-10,2130
2015-06-11,2201
2015-06-12,2226
2015-06-13,2247
2015-06-14,2192
2015-06-15,2186
2015-06-16,2217
2015-06-17,2204
2015-06-18,2198
2015-06-19,2221
2015-06-20,2217
2015-06-21,2247
2015-06-22,2217
2015-06-23,2208
2015-06-24,2208
2015-06-25,2202
2015-06-26,2236
2015-06-27,2277
2015-06-28,2283
2015-06-29,2388
2015-06-30,2508
2015-07-01,2634
2015-07-02,2765
2015-07-03,2894
2015-07-04,3039
2015-07-05,3188
2015-07-06,3336
2015-07-07,3503
2015-07-08,3677
2015-07-09,3860
2015-07-10,3907
2015-07-11,4027
2015-07-12,4158
2015-07-13,4284
2015-07-14,4223
2015-07-15,4179
2015-07-16,4067
2015-07-17,4039
2015-07-18,3994
2015-07-19,3907
2015-07-20,3754
2015-07-21,3649
2015-07-22,3591
2015-07-23,3471
2015-07-24,3387
2015-07-25,3362
2015-07-26,3340
2015-07-27,3341
2015-07-28,3428
2015-07-29,3386
2015-07-30,3345
2015-07-31,3366
2015-08-01,3310
2015-08-02,3284
2015-08-03,3345
2015-08-04,3513
2015-08-05,3689
2015-08-06,3840
2015-08-07,3654
2015-08-08,3601
2015-08-09,3611
2015-08-10,3511
2015-08-11,3540
